rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl
1332.1442,3610,1020,450.0,3686400,30,0.8451136648654938,0.22851969401041666,0.0003,290,0.2,0.00681709498167038,-0.008657219152404043,0.09539242927319719,-3.88904487632215,0.02100288
1298.7301,3736,1019,441.72,3809280,31,0.8569310456514359,0.23636474609375,0.0003,300,0.2,0.021924328058958054,-0.008808201105851671,0.09369414204392039,-3.886260564712187,0.021658964
1295.1735,3862,1017,442.68,3932160,32,0.8398210108280182,0.23576416015625,0.0003,310,0.2,0.0033410899341106415,-0.00910891778412406,0.09424863827366305,-3.8746734454855325,0.02217298
1258.5065,3988,1016,420.82,4055040,33,0.809025913476944,0.24135660807291667,0.0003,320,0.2,0.007028423249721527,-0.007774083524188124,0.11556200552324299,-3.8507552133873104,0.022431092
1266.3508,4114,1015,426.12,4177920,34,0.8479447364807129,0.23752360026041666,0.0003,330,0.2,0.03371162712574005,-0.007790872524989633,0.11104907177883433,-3.8345144738132757,0.0221981
1291.4087,4240,1014,432.78,4300800,35,0.8811522871255875,0.238623046875,0.0003,340,0.2,0.07987378537654877,-0.007724724105009954,0.09725261786516057,-3.8241291059429448,0.022258751
1248.9008,4363,1013,422.4,4423680,36,0.8787476643919945,0.24459147135416667,0.0003,350,0.2,0.16177308559417725,-0.008193931355775324,0.10808044887603804,-3.806906508890291,0.022892775
1307.8782,4487,1013,430.4,4546560,37,0.8523860424757004,0.24396891276041666,0.0003,360,0.2,0.01137956790626049,-0.008138880366165419,0.1053110103152964,-3.796192746683955,0.022411764
1316.9358,4613,1012,435.96,4669440,38,0.8597927242517471,0.24585123697916667,0.0003,370,0.2,0.05536101013422012,-0.008314715185882353,0.1034552223647673,-3.794235529427727,0.023532268
1360.6034,4746,1009,444.04,4792320,39,0.8672240674495697,0.25054036458333334,0.0003,380,0.2,-0.0018047448247671127,-0.00828200131549238,0.11007601060865757,-3.7825488359232744,0.024159256
