rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss
1383.2612,34,417.8666666666667,4192,996,4177920,0.26178385416666666,0.02832523174583912,-0.007626086500319313,0.025841184,0.06573400591893006,330,0.784905418753624,0.2,0.0003,-3.6989874008049566
1331.7911,35,396.06666666666666,4330,993,4300800,0.26738362630208334,0.035616014152765274,-0.007758617331680095,0.025981393,0.07467698289736291,340,0.7448402941226959,0.2,0.0003,-3.7051447568585476
1455.5875,36,424.73333333333335,4455,992,4423680,0.2649641927083333,0.024755073711276054,-0.007532131686239154,0.025842387,0.07880173225455413,350,0.7714920043945312,0.2,0.0003,-3.678698706490298
1532.9935,37,450.0,4580,992,4546560,0.2589599609375,0.013285823166370392,-0.007766029600061302,0.025498055,0.06162339514970275,360,0.7549695372581482,0.2,0.0003,-3.69232478218774
1411.1614,38,420.1333333333333,4708,991,4669440,0.2634969075520833,0.00032747816294431686,-0.008313174884339485,0.025884748,0.0598560117186571,370,0.6947987079620361,0.2,0.0003,-3.659735492716233
1453.6206,39,426.1333333333333,4849,988,4792320,0.26542561848958335,0.06559143215417862,-0.007474978626790593,0.02665848,0.07171043607546987,380,0.8144266456365585,0.2,0.0003,-3.6499815702438356
1492.3672,40,433.73333333333335,4975,987,4915200,0.266259765625,-0.011122521013021469,-0.0075329266169561985,0.026295248,0.07366865012930551,390,0.7332683205604553,0.2,0.0003,-3.6214566408966977
1422.0457,41,412.46666666666664,5119,984,5038080,0.2677978515625,0.014571446925401688,-0.0075365800064597956,0.027581904,0.07688960539725183,400,0.7820284813642502,0.2,0.0003,-3.6171251037095984
1536.9293,42,450.0,5245,983,5160960,0.2710107421875,0.009932074695825577,-0.007618248430086775,0.02731809,0.07101595027304332,410,0.8176668286323547,0.2,0.0003,-3.593186722584069
1545.5775,43,445.06666666666666,5370,983,5283840,0.27134847005208335,0.06356756389141083,-0.007288487549928202,0.02724609,0.06483902571601599,420,0.7623670846223831,0.2,0.0003,-3.5847742325812577
1280.1063,44,366.8666666666667,5497,983,5406720,0.26750732421875,0.030351009219884872,-0.006929823777360677,0.026497865,0.062106571086721185,430,0.741523414850235,0.2,0.0003,-3.5822575131555396
1422.0012,45,408.2,5624,983,5529600,0.2743424479166667,0.027628101408481598,-0.00703456591025315,0.028114615,0.07236342930807343,440,0.7827277779579163,0.2,0.0003,-3.567739960886538
1378.219,46,387.2,5751,982,5652480,0.2780615234375,0.0018033701926469803,-0.006546549545716213,0.0289141,0.07725045375220362,450,0.7928966879844666,0.2,0.0003,-3.5492758777240914
1249.3406,47,365.53333333333336,5875,982,5775360,0.2708430989583333,0.03877916932106018,-0.006467130804885528,0.027981132,0.05932579824332303,460,0.821990892291069,0.2,0.0003,-3.535722988595565
1405.7753,48,399.4,6001,982,5898240,0.27441650390625,-0.032817572355270386,-0.007050609880249492,0.028458782,0.06892785493982956,470,0.789610430598259,0.2,0.0003,-3.518268705730637
1469.8181,49,429.06666666666666,6131,982,6021120,0.2776570638020833,-0.0068125296384096146,-0.0073439272480694245,0.02798673,0.06689743751461114,480,0.7594377249479294,0.2,0.0003,-3.5198385673885544
1442.6461,50,404.2,6271,979,6144000,0.28042154947916664,-0.005978669971227646,-0.0070254578140278075,0.028706273,0.07477868432799975,490,0.8179761469364166,0.2,0.0003,-3.500703898842136
1428.9086,51,399.4,6395,979,6266880,0.27559977213541664,0.03272606432437897,-0.006982296882051741,0.028652988,0.06940573386571486,500,0.7779077738523483,0.2,0.0003,-3.47525731133918
1502.6388,52,425.2,6522,979,6389760,0.28003662109375,0.09604246914386749,-0.00660736215817451,0.029519843,0.06540342988979925,510,0.7988905608654022,0.2,0.0003,-3.4587469960624975
1394.42,53,393.93333333333334,6647,979,6512640,0.26903401692708334,0.022828128188848495,-0.006136286337829612,0.02784141,0.05541231362265535,520,0.8091946840286255,0.2,0.0003,-3.4833383369942506
1554.5234,54,450.0,6773,979,6635520,0.27598714192708335,0.029782027006149292,-0.006820089763962945,0.02968276,0.0636554573996788,530,0.8172292709350586,0.2,0.0003,-3.4585179432233173
1432.7706,55,407.06666666666666,6900,979,6758400,0.27299886067708334,-0.0154804065823555,-0.0067609304338172175,0.028350305,0.06137601905502379,540,0.6758549213409424,0.2,0.0003,-3.4519006748497487
1346.906,56,373.93333333333334,7024,979,6881280,0.27325276692708333,-0.03825505077838898,-0.006741819591685877,0.028454373,0.055251462727561984,550,0.7997447848320007,0.2,0.0003,-3.4576020927603044
