time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates
24,2905,2949120,1014,1088.3525,443.4,-4.001565472967923,0.19459530278574674,0.08346229791641235,0.020095635,0.0003,-0.010170690212750438,0.631903350353241,0.2,0.218623046875,230
25,3030,3072000,1013,1075.3938,431.94,-3.9939435927942397,0.17153062560925417,0.03670120984315872,0.01964185,0.0003,-0.010083631600440034,0.6509120166301727,0.2,0.21637613932291666,240
26,3167,3194880,1008,1116.1,449.08,-3.977073270653685,0.18266754821524955,0.02858530357480049,0.019649165,0.0003,-0.009998310279776585,0.6946026384830475,0.2,0.21677815755208332,250
27,3304,3317760,1004,1146.6678,445.72,-3.963483076343934,0.17949085985892452,0.0616946741938591,0.020271031,0.0003,-0.010267640849548721,0.6913932859897614,0.2,0.22132242838541666,260
28,3431,3440640,1002,1139.8508,444.2,-3.9516442848121125,0.17622825751216928,0.003662198781967163,0.020148752,0.0003,-0.010120605444268828,0.5880936682224274,0.2,0.22045003255208334,270
29,3558,3563520,1001,1163.4121,448.66,-3.9313972085838516,0.17903464816724105,0.10583405941724777,0.020567784,0.0003,-0.010163960420231887,0.6304196119308472,0.2,0.22742757161458332,280
30,3682,3686400,1001,1178.1377,445.52,-3.913597855704526,0.1705724083977596,0.09729769825935364,0.02080668,0.0003,-0.009737405132721809,0.6886219084262848,0.2,0.22687418619791666,290
31,3808,3809280,1000,1220.3422,446.72,-3.9038954462483524,0.168653368097924,0.07072021067142487,0.020773679,0.0003,-0.00923898884974733,0.728706568479538,0.2,0.22465983072916668,300
32,3932,3932160,999,1225.3997,450.0,-3.887507806258897,0.15922879719505242,0.022445261478424072,0.020692816,0.0003,-0.009160592551203687,0.7176148891448975,0.2,0.22708984375,310
33,4056,4055040,999,1164.2887,433.38,-3.884852924955388,0.17271649189079957,0.04521436616778374,0.021219488,0.0003,-0.009569460118467153,0.7001067101955414,0.2,0.2304736328125,320
