time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
3280,3072000,25,450.0,1206.0817,936,0.7727853804826736,0.10788300218722725,0.06728371977806091,0.10526692708333334,-2.0388934899528977e-06,3500,0.015804678,0.0003,-2.2341159665895005,0.2
3416,3194880,26,450.0,1152.2094,935,0.827012374997139,0.09706371300989607,0.0170038640499115,0.1177392578125,-0.0011536678035251194,3510,0.017271053,0.0003,-2.1424332663851477,0.2
3551,3317760,27,450.0,1131.4744,934,0.7917375564575195,0.10766498099525051,0.04287075251340866,0.11879964192708334,-0.0007425718088961731,3520,0.012841391,0.0003,-2.2369422567635775,0.2
3686,3440640,28,450.0,1161.0917,933,0.8420126438140869,0.08369803286169675,0.010971419513225555,0.11094075520833334,-0.0009340374587372935,3530,0.017589033,0.0003,-2.160592913410316,0.2
3821,3563520,29,450.0,1159.1206,932,0.7104146182537079,0.10979010036588685,0.049933161586523056,0.10971272786458333,-0.0005867551290915193,3540,0.020053864,0.0003,-2.222782210583488,0.2
3969,3686400,30,450.0,1129.54,928,0.778845950961113,0.09835413299008602,0.08716642111539841,0.11539306640625,-0.0012947673322454042,3550,0.0124177,0.0003,-2.2025830470584333,0.2
4105,3809280,31,450.0,1121.9882,927,0.7920028269290924,0.10569787113357355,0.06839607656002045,0.10389567057291667,-0.0006891473045440459,3560,0.014809024,0.0003,-2.1878664659832916,0.2
4240,3932160,32,450.0,1179.1266,927,0.7610205709934235,0.11690886924123334,0.032786525785923004,0.11011474609375,-0.0006313861312143369,3570,0.012654674,0.0003,-2.2271660492941736,0.2
4376,4055040,33,450.0,1192.9331,926,0.878014586865902,0.06656113174448061,0.022286908701062202,0.12135416666666667,-0.001589905958117015,3580,0.015766418,0.0003,-2.2243739318226776,0.2
4511,4177920,34,450.0,1193.9143,926,0.7996649742126465,0.11629481223610734,0.03789806738495827,0.11152262369791667,-0.0004295312867179746,3590,0.013308171,0.0003,-2.2490048100426794,0.2
