rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1355.0759,4573,4423680,36,967,420.06,-0.008649661776889844,0.023431055,350,0.2,0.7394249141216278,0.034539833664894104,0.0962465455547984,0.0003,-3.758953988539676,0.25130615234375
1377.3896,4701,4546560,37,967,438.12,-0.008320839757398063,0.023386234,360,0.2,0.8218944221735001,0.03262064605951309,0.10343534020454778,0.0003,-3.781391080742081,0.25099609375
1348.0956,4829,4669440,38,966,422.44,-0.007817660956479813,0.023404332,370,0.2,0.7775108963251114,0.08980770409107208,0.10816417363646906,0.0003,-3.757801937535405,0.24779866536458334
1402.8625,4957,4792320,39,966,435.52,-0.008010445881397269,0.023361819,380,0.2,0.8294056951999664,0.03810924291610718,0.09187347770746176,0.0003,-3.7414051230996845,0.2524007161458333
1373.155,5114,4915200,40,960,424.46,-0.008572510836632621,0.023945399,390,0.2,0.7440667152404785,0.02066325582563877,0.1072471879713703,0.0003,-3.7329832270368932,0.2542496744791667
1357.0989,5272,5038080,41,955,421.06,-0.007925451640179139,0.02438711,400,0.2,0.8027326166629791,0.057297736406326294,0.1106290507709491,0.0003,-3.716858992713193,0.25386393229166665
1452.3276,5400,5160960,42,955,440.48,-0.007945240303840062,0.024468975,410,0.2,0.8127125948667526,0.022847380489110947,0.10291163622159123,0.0003,-3.7126471365367375,0.2531534830729167
1368.9619,5529,5283840,43,955,416.06,-0.008036738903089523,0.024621395,420,0.2,0.7312538623809814,-0.0037665441632270813,0.09973388893621934,0.0003,-3.7049330344299474,0.2548193359375
1411.8187,5657,5406720,44,955,429.44,-0.007959402892320213,0.025350332,430,0.2,0.7559354305267334,0.0024100709706544876,0.10759061147808097,0.0003,-3.679945333339274,0.26149169921875
1391.2834,5814,5529600,45,950,422.38,-0.008310738099062291,0.02581813,440,0.2,0.7542113959789276,-0.007603257894515991,0.10530260430120203,0.0003,-3.663630932569504,0.2636962890625
1414.611,5943,5652480,46,950,426.64,-0.007965350917717539,0.026401984,450,0.2,0.8101537376642227,0.017549259588122368,0.11335451467360448,0.0003,-3.63414952489237,0.26611979166666666
1403.3264,6080,5775360,47,949,420.62,-0.00759223537098175,0.025868464,460,0.2,0.8044054061174393,-0.007470572367310524,0.10345722335012397,0.0003,-3.617979029752314,0.26269856770833333
1439.218,6209,5898240,48,949,429.22,-0.007574736319784278,0.02573244,470,0.2,0.787469208240509,0.011176951229572296,0.10305707797864064,0.0003,-3.615059396798412,0.26423258463541666
1399.1226,6341,6021120,49,949,419.1,-0.007018494552033493,0.025718106,480,0.2,0.755586564540863,-0.011174509301781654,0.1164575438547763,0.0003,-3.595217340650658,0.2631201171875
1363.1963,6469,6144000,50,949,410.08,-0.007217808736768348,0.026396748,490,0.2,0.7394258081912994,-0.010473804548382759,0.10862547191558405,0.0003,-3.5888070925697684,0.26526774088541666
1373.9137,6598,6266880,51,949,418.22,-0.008008511354667765,0.025621084,500,0.2,0.8219699710607529,0.02555626630783081,0.10874408623067817,0.0003,-3.5779457073286176,0.26388346354166664
1428.73,6728,6389760,52,949,429.7,-0.007531137525481123,0.026034793,510,0.2,0.8460631817579269,0.07136751711368561,0.12462390344880987,0.0003,-3.557893155813217,0.265068359375
