rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
1295.3973,3194880,1005,431.8,3176,26,0.07792956056505015,-0.008630723952410334,0.0003,0.8919533640146255,0.22466389973958334,0.2,-3.95186819160978,250,0.02060807,0.07285137474536896
1323.9722,3317760,1004,437.08,3302,27,0.08792526339248677,-0.008862447385617998,0.0003,0.8599700927734375,0.22645100911458332,0.2,-3.944781360849738,260,0.021305438,0.05471990630030632
1293.603,3440640,1003,417.34,3429,28,0.07900490593305828,-0.009043165681808508,0.0003,0.8679927289485931,0.23125325520833334,0.2,-3.9329293116678796,270,0.021444654,-0.022940851747989655
1366.0458,3563520,1001,439.16,3556,29,0.07934736730559962,-0.008797297692332602,0.0003,0.9078237488865852,0.234697265625,0.2,-3.915229454822838,280,0.022246042,0.029424186795949936
1388.6653,3686400,1000,441.62,3683,30,0.08018863573641283,-0.0085773787540226,0.0003,0.8559672236442566,0.23354248046875,0.2,-3.91802386863778,290,0.022372046,0.007820313796401024
1311.6217,3809280,999,421.3,3810,31,0.08456046324393052,-0.008187093150433308,0.0003,0.8019223511219025,0.23691487630208333,0.2,-3.8956699013585845,300,0.022379152,0.02202175185084343
1338.1355,3932160,997,424.5,3940,32,0.08525455476003117,-0.009083722370511775,0.0003,0.8726591020822525,0.24103434244791666,0.2,-3.885175495048364,310,0.02301545,0.028621235862374306
1383.3026,4055040,997,440.1,4065,33,0.08333513500576373,-0.0085459454011531,0.0003,0.8857885077595711,0.240830078125,0.2,-3.8532614974305033,320,0.022858826,0.01902204379439354
1348.8862,4177920,996,422.38,4192,34,0.07655829073264613,-0.008835374030198484,0.0003,0.9025012701749802,0.24752848307291667,0.2,-3.819172583917777,330,0.023797866,0.06256771087646484
1372.5532,4300800,995,433.1,4319,35,0.08548153101854647,-0.008105849021218697,0.0003,0.8920561745762825,0.24538492838541667,0.2,-3.8096910913909476,340,0.02342684,0.026001298800110817
1346.2415,4423680,994,419.12,4449,36,0.08856907539520761,-0.008162197883290598,0.0003,0.862324446439743,0.25144856770833335,0.2,-3.798033616853257,350,0.023844155,0.012807734310626984
1362.9346,4546560,993,427.04,4574,37,0.08551799199345017,-0.00801213545767799,0.0003,0.9084093198180199,0.2520361328125,0.2,-3.7844653578971825,360,0.023851156,-0.010644108057022095
1351.5273,4669440,990,428.28,4715,38,0.08271823802856185,-0.00779969567306883,0.0003,0.8948860764503479,0.251357421875,0.2,-3.772337648595373,370,0.02415231,0.029606495052576065
1333.412,4792320,989,420.26,4843,39,0.08911635365579665,-0.007684629270139946,0.0003,0.8798834010958672,0.25314778645833336,0.2,-3.7514664041250945,380,0.024643011,0.006833120249211788
1377.4075,4915200,983,436.16,4999,40,0.08407497718158993,-0.008154131876314447,0.0003,0.9035135358572006,0.25887858072916664,0.2,-3.7503667858491343,390,0.025081366,0.012168044224381447
1402.8555,5038080,979,443.14,5141,41,0.08011851308556894,-0.00797524877169053,0.0003,0.8721297383308411,0.25485921223958335,0.2,-3.7332537517199915,400,0.024691438,0.013352612033486366
1380.5066,5160960,979,434.5,5268,42,0.07203180605744516,-0.008009663006305345,0.0003,0.8882845714688301,0.25568277994791666,0.2,-3.7216558261215686,410,0.025227582,0.04149097204208374
1345.8431,5283840,978,423.1,5398,43,0.08500747780674525,-0.008052274386172939,0.0003,0.8675818294286728,0.26349772135416666,0.2,-3.7245858846729,420,0.026314287,0.028441721573472023
1369.9705,5406720,978,422.72,5524,44,0.08511306311867277,-0.007317131872562944,0.0003,0.8831272944808006,0.2576416015625,0.2,-3.710109056048095,430,0.025321841,0.025105252861976624
1367.5958,5529600,978,423.58,5650,45,0.09910395252877303,-0.007049900950545028,0.0003,0.8767759278416634,0.26037841796875,0.2,-3.6959800089274846,440,0.025242917,0.054626043885946274
1351.6223,5652480,978,418.14,5776,46,0.09368266818525929,-0.007620069820389593,0.0003,0.880144976079464,0.25639404296875,0.2,-3.700761108348767,450,0.02567922,0.00635279156267643
1351.187,5775360,978,421.44,5902,47,0.09223558264314002,-0.008004922497414857,0.0003,0.8986700773239136,0.26146809895833334,0.2,-3.680726856874923,460,0.025842333,0.05577287822961807
1371.0043,5898240,978,426.94,6028,48,0.09220893803814155,-0.00784919871644585,0.0003,0.9009360074996948,0.2575439453125,0.2,-3.6712157427395384,470,0.025231153,0.025732215493917465
1362.2255,6021120,978,428.34,6153,49,0.09318975884908771,-0.007348881635868262,0.0003,0.8597543239593506,0.25516357421875,0.2,-3.6505572009459137,480,0.025359076,0.04088529571890831
1372.7036,6144000,978,425.64,6281,50,0.11448176714853617,-0.007287602467216251,0.0003,0.8768897280097008,0.25745849609375,0.2,-3.649281329897543,490,0.025691347,-0.0008807703852653503
1395.3644,6266880,977,433.92,6408,51,0.10343554761066723,-0.007576978101333225,0.0003,0.8692667037248611,0.26106852213541665,0.2,-3.6506075877323747,500,0.026394365,0.043735846877098083
1417.2872,6389760,977,433.76,6534,52,0.09117241391882999,-0.007527146201809955,0.0003,0.8939710408449173,0.26359619140625,0.2,-3.6331902402763565,510,0.02670226,0.022394459694623947
1384.6892,6512640,977,423.46,6661,53,0.08608706471815822,-0.007663048791855544,0.0003,0.8643845319747925,0.26181396484375,0.2,-3.625009975445767,520,0.026739134,0.03994202986359596
1367.8927,6635520,976,416.32,6792,54,0.09225504717755637,-0.0077484367966402104,0.0003,0.8651596754789352,0.2627360026041667,0.2,-3.6245320694645247,530,0.026516674,0.014648811891674995
1403.6853,6758400,976,429.54,6918,55,0.09242305575312154,-0.007511262768366578,0.0003,0.8719102442264557,0.2606429036458333,0.2,-3.623281436053415,540,0.025629755,-0.010290110483765602
1370.8896,6881280,976,423.12,7044,56,0.09318106389371678,-0.008042200601836764,0.0003,0.8815020024776459,0.26030843098958334,0.2,-3.623731585604449,550,0.026188342,0.021664418280124664
1364.5725,7004160,973,420.54,7196,57,0.09836348183293012,-0.007046561429912496,0.0003,0.8871590867638588,0.25587076822916666,0.2,-3.624162888539334,560,0.025317315,0.0001928173005580902
1432.6333,7127040,972,433.56,7326,58,0.08696840853643759,-0.007468899053419591,0.0003,0.8923042193055153,0.25532877604166665,0.2,-3.609685788080096,570,0.025306778,0.011113692075014114
1457.87,7249920,972,440.98,7453,59,0.10442236237776038,-0.007855237777736572,0.0003,0.8974786102771759,0.2601497395833333,0.2,-3.607998204442362,580,0.026261335,0.016474541276693344
1425.0435,7372800,972,442.76,7580,60,0.09791420736000873,-0.00812275532075546,0.0003,0.8204406797885895,0.2609781901041667,0.2,-3.5974394676958523,590,0.025996692,0.007052253000438213
1371.8628,7495680,972,416.48,7709,61,0.09162699277590339,-0.007210969632045211,0.0003,0.8304032683372498,0.2580257161458333,0.2,-3.5680318987493713,600,0.026163133,0.03960578143596649
1335.2216,7618560,972,409.4,7837,62,0.09890067090357964,-0.007883921061287158,0.0003,0.8722264617681503,0.2633772786458333,0.2,-3.583071422340969,610,0.026498914,0.034539420157670975
1432.0225,7741440,971,429.04,7964,63,0.09777392599494003,-0.007326857246104434,0.0003,0.8889132514595985,0.2620458984375,0.2,-3.5586371976385514,620,0.026367001,0.02776874601840973
