rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/learning_rate
410.26666666666665,958,14499840,118,1546.7476,15127,1170,-2.5273703242465855,0.010691439732909203,0.034186404,-0.004507656845007659,0.8175744712352753,0.2,0.28211832682291665,0.05101677002950358,0.0003
340.6,958,14622720,119,1304.7557,15255,1180,-2.532656747226914,0.05106474831700325,0.03339897,-0.005241535174366921,0.8274669051170349,0.2,0.28395914713541665,0.05850560475407595,0.0003
375.8,958,14745600,120,1438.9994,15383,1190,-2.526265126802027,-0.026254035532474518,0.033438683,-0.005175839262386337,0.8025928288698196,0.2,0.28368815104166667,0.06086516231165054,0.0003
404.26666666666665,958,14868480,121,1549.7664,15510,1200,-2.518314236489435,-0.00669290404766798,0.031853642,-0.004821960175219526,0.8204558491706848,0.2,0.27730387369791665,0.058344341584403686,0.0003
382.6,958,14991360,122,1458.2284,15639,1210,-2.4966137613666555,0.014220320619642735,0.033991523,-0.004395548419306578,0.8149604052305222,0.2,0.2815096028645833,0.05920631896275154,0.0003
364.26666666666665,958,15114240,123,1399.6344,15767,1220,-2.512525782225033,0.050536517053842545,0.034253675,-0.004868487754423161,0.7643768042325974,0.2,0.28353434244791664,0.0568175834602395,0.0003
349.0,958,15237120,124,1337.514,15896,1230,-2.4887859850004315,-0.006913112476468086,0.03511046,-0.0054123321777539484,0.8184588700532913,0.2,0.28381184895833333,0.0651774631976635,0.0003
354.1333333333333,958,15360000,125,1366.3185,16022,1240,-2.4781006660188236,0.02833372727036476,0.03372128,-0.004321720554823211,0.8470429182052612,0.2,0.27770100911458334,0.06326179222790719,0.0003
407.1333333333333,958,15482880,126,1547.6921,16151,1250,-2.4731492307657996,0.0005250070244073868,0.032960016,-0.0047581643911932285,0.8051622658967972,0.2,0.2780615234375,0.05850909490114039,0.0003
369.53333333333336,958,15605760,127,1407.0305,16279,1260,-2.471727766295274,-0.004452463239431381,0.03356219,-0.004732407035438276,0.8563304245471954,0.2,0.2797672526041667,0.05635338703177695,0.0003
363.53333333333336,958,15728640,128,1395.0497,16405,1270,-2.4260215591080487,0.04852958768606186,0.03423415,-0.005205217392698008,0.8374310880899429,0.2,0.28301513671875,0.06540508958879702,0.0003
417.8,957,15851520,129,1593.272,16557,1280,-2.435038708678136,0.00931459292769432,0.032577243,-0.004632737672485139,0.8600737005472183,0.2,0.27446044921875,0.05083138678387816,0.0003
379.4,957,15974400,130,1399.8044,16683,1290,-2.450540384824077,-0.008774415589869022,0.03277631,-0.004370052006500676,0.8022597283124924,0.2,0.27576253255208333,0.05593233638297534,0.0003
348.6,957,16097280,131,1323.8961,16811,1300,-2.4115370474321147,0.017127158120274544,0.033611067,-0.0043724547405569565,0.8044254630804062,0.2,0.2784375,0.055777940815217635,0.0003
366.8,957,16220160,132,1403.2576,16937,1310,-2.3979155086601773,0.01801794022321701,0.03382246,-0.004870559760571875,0.8423432260751724,0.2,0.2782763671875,0.06031367663788842,0.0003
379.53333333333336,957,16343040,133,1437.5676,17064,1320,-2.398499475102872,-0.015832966193556786,0.034857288,-0.00469300589354134,0.7948770374059677,0.2,0.28535563151041665,0.06282845325372667,0.0003
412.06666666666666,957,16465920,134,1564.5409,17190,1330,-2.3919941861803333,0.0008951704949140549,0.033651132,-0.004326560058379982,0.8440802246332169,0.2,0.27826416015625,0.05432781577486215,0.0003
356.6,957,16588800,135,1349.9005,17318,1340,-2.3396429910262424,0.00917238462716341,0.035062607,-0.004628978386363087,0.8035271316766739,0.2,0.27964192708333335,0.051965082163442276,0.0003
433.26666666666665,957,16711680,136,1658.0421,17446,1350,-2.3476450697518887,0.017061419785022736,0.034006882,-0.004492765857127476,0.8002343773841858,0.2,0.281806640625,0.04928035967243583,0.0003
375.6666666666667,957,16834560,137,1433.8776,17572,1360,-2.341480745803565,0.01874282769858837,0.034328263,-0.004796824469898032,0.8152682930231094,0.2,0.2821248372395833,0.06047119631131257,0.0003
385.53333333333336,958,16957440,138,1481.2961,17698,1370,-2.3369077490642667,0.0038192905485630035,0.032710858,-0.004218928405398401,0.818915069103241,0.2,0.27539713541666666,0.047069201324654086,0.0003
386.6,958,17080320,139,1489.1262,17824,1380,-2.3150026884488764,-0.014454232528805733,0.033754393,-0.004852108966418503,0.7840391546487808,0.2,0.27626139322916665,0.05195609355449657,0.0003
301.6,958,17203200,140,1152.7186,17952,1390,-2.2902158939341706,0.0332617461681366,0.034449697,-0.0037440763905821463,0.8263110667467117,0.2,0.28074544270833335,0.0680077415031216,0.0003
439.93333333333334,958,17326080,141,1684.6919,18081,1400,-2.2638279708723226,0.016125330701470375,0.035273112,-0.004080568165803319,0.8272908627986908,0.2,0.2829744466145833,0.07720749780336822,0.0003
384.0,958,17448960,142,1492.3707,18209,1410,-2.27906164964661,0.0003684787079691887,0.034578342,-0.004408724004873269,0.8258659243583679,0.2,0.2798152669270833,0.05487409866858797,0.0003
394.8,958,17571840,143,1517.1516,18336,1420,-2.2513114947701496,-0.016066789627075195,0.034210052,-0.004822795542807701,0.8468359857797623,0.2,0.27788167317708334,0.06090536274918122,0.0003
384.3333333333333,958,17694720,144,1477.1427,18465,1430,-2.236780985556543,0.018127979710698128,0.033468224,-0.0040008176493120115,0.8491202145814896,0.2,0.27582275390625,0.05733443037985125,0.0003
381.53333333333336,958,17817600,145,1484.575,18592,1440,-2.2292686098068955,0.030613329261541367,0.035757456,-0.004452180055565502,0.8338408023118973,0.2,0.28298502604166664,0.05800642568882419,0.0003
379.3333333333333,958,17940480,146,1454.131,18720,1450,-2.215206111781299,0.0024010706692934036,0.03459142,-0.004774253348332422,0.85052290558815,0.2,0.282001953125,0.06322614495603678,0.0003
390.2,958,18063360,147,1496.3969,18848,1460,-2.21569062155361,0.0050813062116503716,0.03448201,-0.004438458527329203,0.8022040128707886,0.2,0.2796761067708333,0.05660371401567924,0.0003
427.06666666666666,958,18186240,148,1644.7557,18976,1470,-2.1783021301589907,0.018773488700389862,0.034180142,-0.004648082359969218,0.8291656523942947,0.2,0.2790730794270833,0.05708327923241692,0.0003
366.8,958,18309120,149,1394.1986,19104,1480,-2.179221584058056,0.039378661662340164,0.035183083,-0.004561310676920887,0.7615773975849152,0.2,0.27915364583333335,0.059106386321388225,0.0003
334.53333333333336,958,18432000,150,1304.7229,19230,1490,-2.143692585652073,0.0032922551035881042,0.03617767,-0.003806983223936792,0.8189203292131424,0.2,0.28023600260416665,0.05866762713747448,0.0003
369.53333333333336,958,18554880,151,1451.2211,19358,1500,-2.1364272503989437,-0.0035347100347280502,0.035191752,-0.0043849838085649635,0.8273051381111145,0.2,0.27874674479166667,0.05349575305813536,0.0003
412.0,958,18677760,152,1576.1089,19487,1510,-2.125540603188177,-0.006793800741434097,0.03577738,-0.004354852351146595,0.8517308235168457,0.2,0.27871337890625,0.06637120499222268,0.0003
379.0,958,18800640,153,1465.3303,19623,1520,-2.144265579568843,-0.011086643673479557,0.035188388,-0.004189067383504152,0.8324514478445053,0.2,0.2794034830729167,0.060264787881654534,0.0003
349.6666666666667,958,18923520,154,1353.1478,19752,1530,-2.0769954781048,0.014877866953611374,0.03533318,-0.0037501150831061145,0.817845419049263,0.2,0.27408772786458335,0.07137613639645375,0.0003
343.46666666666664,958,19046400,155,1341.405,19880,1540,-2.1207516904051107,0.016130689531564713,0.035525106,-0.004158244175881312,0.8487678617238998,0.2,0.2757999674479167,0.05922902951526339,0.0003
395.93333333333334,958,19169280,156,1561.7235,20007,1550,-2.0922956547078986,0.03482803329825401,0.0348879,-0.0033211816831377897,0.8319795280694962,0.2,0.2749552408854167,0.06836917261842852,0.0003
311.73333333333335,958,19292160,157,1235.2712,20134,1560,-2.0783952761255207,0.003781244158744812,0.03542931,-0.004225276665905161,0.8195891827344894,0.2,0.27520345052083334,0.07519960908284702,0.0003
364.3333333333333,958,19415040,158,1404.5026,20263,1570,-2.0921965764587123,-0.02765253186225891,0.035311136,-0.003951510169918038,0.8194461762905121,0.2,0.27340006510416665,0.06841629551495619,0.0003
444.6666666666667,957,19537920,159,1745.6873,20401,1580,-2.106044127785911,0.02220136485993862,0.03554861,-0.0042268114717110925,0.815598338842392,0.2,0.28050374348958335,0.05577397003818381,0.0003
372.0,957,19660800,160,1427.345,20528,1590,-2.072377345226705,0.001317054033279419,0.0356288,-0.003851045207235681,0.8438266515731812,0.2,0.27660807291666667,0.07181480081446352,0.0003
391.3333333333333,957,19783680,161,1519.5558,20655,1600,-2.082934602163732,0.051340501755476,0.035909295,-0.00440647431898166,0.8192627727985382,0.2,0.2786572265625,0.07734923470319094,0.0003
444.3333333333333,957,19906560,162,1725.4034,20784,1610,-2.0587603394997616,0.06877677142620087,0.034896858,-0.004118357170834012,0.8514136523008347,0.2,0.27365966796875,0.05834643254476153,0.0003
399.6666666666667,957,20029440,163,1559.0952,20914,1620,-2.040386725217104,0.018321476876735687,0.036450174,-0.0039185295069061495,0.8364135026931763,0.2,0.2744246419270833,0.07774719441345951,0.0003
326.53333333333336,957,20152320,164,1271.3279,21041,1630,-2.0428596819750964,0.0022668372839689255,0.035648536,-0.0036602787207205742,0.845847100019455,0.2,0.2775187174479167,0.06506231748855498,0.0003
408.8666666666667,957,20275200,165,1596.4475,21170,1640,-2.009452814559142,0.024672333151102066,0.035343044,-0.003470322711843134,0.8551876395940781,0.2,0.27229899088541665,0.06164935175331872,0.0003
267.6,957,20398080,166,1083.5566,21298,1650,-2.025101895487557,0.018005702644586563,0.03522035,-0.003640036102776018,0.8520367592573166,0.2,0.27661783854166666,0.05584716445691205,0.0003
330.2,956,20520960,167,1323.3337,21444,1660,-2.013116615942369,0.02395378053188324,0.034376327,-0.0036617813078858794,0.8669054359197617,0.2,0.27269612630208334,0.05816889343065365,0.0003
387.53333333333336,956,20643840,168,1486.9376,21573,1670,-2.007785151967158,0.026232000440359116,0.034957927,-0.004135054456182843,0.8522401601076126,0.2,0.2736100260416667,0.09275814568347414,0.0003
353.53333333333336,956,20766720,169,1413.9585,21701,1680,-2.0101021903753282,0.030731091275811195,0.034552816,-0.003996779508336962,0.8633453547954559,0.2,0.2686490885416667,0.0629803351846931,0.0003
332.26666666666665,956,20889600,170,1322.5306,21834,1690,-2.0123976687404017,0.04772922396659851,0.035702903,-0.00435631766057971,0.8794258609414101,0.2,0.27307861328125,0.059815620507094235,0.0003
393.26666666666665,956,21012480,171,1566.408,21962,1700,-1.998031219461312,0.03280104696750641,0.036116086,-0.0036957537600634774,0.8245148658752441,0.2,0.27551432291666667,0.08484239550923424,0.0003
368.06666666666666,956,21135360,172,1456.8973,22089,1710,-2.0178455716061094,0.001074511557817459,0.033335805,-0.004103506813686787,0.8541294932365417,0.2,0.26615559895833335,0.05665224476057726,0.0003
367.1333333333333,956,21258240,173,1450.5463,22216,1720,-1.9781609681497017,0.0761326253414154,0.03569288,-0.00424139224883523,0.8681256771087646,0.2,0.27194091796875,0.07258261123492654,0.0003
