time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance
42,968,5330,1331.2766,5160960,436.58,0.0005,-0.005567013296420858,-3.8150561100865406,410,0.1118768761579607,0.004286583513021469,0.028812313,0.2,0.2645703125,0.7915965914726257
43,967,5461,1344.5194,5283840,431.44,0.0005,-0.0050002996895455,-3.80678731298695,420,0.11880577511231726,0.03171193599700928,0.028842999,0.2,0.26820963541666665,0.8439358323812485
44,967,5590,1323.9575,5406720,427.28,0.0005,-0.005023357606736075,-3.802059995743136,430,0.11225418112978029,0.00881965085864067,0.02877211,0.2,0.2680159505208333,0.8229718208312988
45,966,5720,1391.9962,5529600,441.94,0.0005,-0.004702770306794264,-3.797984484558304,440,0.1102394050124955,0.004450865089893341,0.029118069,0.2,0.265419921875,0.8492417186498642
46,966,5850,1380.9095,5652480,442.58,0.0005,-0.005267421017955106,-3.7995784508436916,450,0.1235729028704615,0.013716064393520355,0.030050395,0.2,0.26892333984375,0.7729038298130035
47,965,5979,1381.0724,5775360,441.24,0.0005,-0.005870601628679045,-3.780798984480401,460,0.1121493518447581,0.01739140972495079,0.029460879,0.2,0.270693359375,0.8025160729885101
48,965,6109,1367.5732,5898240,432.82,0.0005,-0.0048053479234113185,-3.7849461459492644,470,0.10898208581255554,0.029200097545981407,0.029198855,0.2,0.26362548828125,0.8344534188508987
49,965,6238,1360.2206,6021120,435.92,0.0005,-0.005218914959629425,-3.7737604915971557,480,0.09151838608066706,0.03773752227425575,0.028104214,0.2,0.2631477864583333,0.8676241338253021
50,964,6367,1286.6871,6144000,419.68,0.0005,-0.004727350614830357,-3.746741111315787,490,0.09944810834761787,0.008032523095607758,0.029506309,0.2,0.2675252278645833,0.8537618219852448
51,964,6498,1368.4784,6266880,436.28,0.0005,-0.004722188035890819,-3.741745061688125,500,0.09413140681455844,-0.016523726284503937,0.028367935,0.2,0.26240478515625,0.8644156455993652
52,963,6629,1366.3035,6389760,437.58,0.0005,-0.004745988528969368,-3.7447731301188467,510,0.11825933342731636,0.005879325792193413,0.02954389,0.2,0.26518880208333334,0.8601373881101608
53,963,6760,1357.2404,6512640,431.74,0.0005,-0.003941540371385296,-3.730649855795006,520,0.1199724656995386,0.0499233603477478,0.0285017,0.2,0.2644523111979167,0.8512650728225708
54,959,6914,1375.3746,6635520,435.84,0.0005,-0.005092775236850381,-3.7381644630556305,530,0.10439872112881858,0.027913980185985565,0.028749917,0.2,0.2642342122395833,0.8413800150156021
55,959,7043,1354.3008,6758400,426.3,0.0005,-0.0048695333406552285,-3.7417800168444715,540,0.11211236206455699,0.06593883037567139,0.028797355,0.2,0.2628702799479167,0.8118228614330292
56,959,7173,1394.8159,6881280,433.64,0.0005,-0.005100850148258663,-3.7333657855043807,550,0.10966820131463464,0.018476279452443123,0.029626941,0.2,0.26580240885416667,0.849973201751709
57,959,7302,1391.9374,7004160,439.92,0.0005,-0.004203867516586494,-3.724989850173394,560,0.12018905699204575,0.06566563993692398,0.029227026,0.2,0.2646964518229167,0.8412050157785416
58,958,7432,1338.5441,7127040,419.82,0.0005,-0.004129978306997752,-3.715928972090284,570,0.12318936675602647,0.06491339951753616,0.029881148,0.2,0.2643611653645833,0.8225465565919876
59,958,7561,1368.2861,7249920,434.64,0.0005,-0.004279543597240263,-3.701716836951673,580,0.10895827126640749,0.023970244452357292,0.029225977,0.2,0.264599609375,0.8460104912519455
60,958,7692,1388.0272,7372800,432.52,0.0005,-0.00496533439749328,-3.69547569796443,590,0.11453655364001558,0.013329584151506424,0.029058792,0.2,0.2604573567708333,0.849335715174675
61,958,7822,1426.9945,7495680,444.64,0.0005,-0.003971058873721631,-3.6855931378528477,600,0.12536493935787196,0.021827805787324905,0.030455627,0.2,0.265849609375,0.8221824169158936
62,958,7950,1470.833,7618560,447.82,0.0005,-0.004119935936032561,-3.6863676640888055,610,0.10558559369315237,0.07584632188081741,0.029579151,0.2,0.26042236328125,0.8494734466075897
63,958,8080,1442.4148,7741440,443.18,0.0005,-0.005065253831586839,-3.6918960117424526,620,0.12071319908020087,-0.014453649520874023,0.030109588,0.2,0.2678068033854167,0.8148754239082336
64,954,8239,1433.4034,7864320,436.36,0.0005,-0.004555033535477075,-3.6889948459838826,630,0.12061184600262398,0.005999434739351273,0.029111156,0.2,0.26256591796875,0.7881130427122116
65,954,8370,1437.8348,7987200,434.1,0.0005,-0.0050275993735158404,-3.699815892825524,640,0.1193231667925526,0.10025268793106079,0.029079774,0.2,0.2554150390625,0.7831318825483322
66,951,8520,1431.4471,8110080,427.3,0.0005,-0.004418492554044254,-3.6769245946904023,650,0.12848083873444313,0.029632266610860825,0.028930387,0.2,0.25709635416666665,0.7994910478591919
67,951,8650,1478.0093,8232960,448.74,0.0005,-0.003945440362255492,-3.660981165791551,660,0.12993778144019114,-0.005260363221168518,0.030304095,0.2,0.2620166015625,0.851156547665596
68,951,8779,1441.0123,8355840,427.78,0.0005,-0.003988651826336233,-3.636584836691618,670,0.10772192964204198,0.014501424506306648,0.030089982,0.2,0.26078857421875,0.8036914467811584
69,951,8911,1466.8573,8478720,443.32,0.0005,-0.0038732288676510507,-3.6442116066192587,680,0.12603681321362578,-0.0007629916071891785,0.030179469,0.2,0.26162109375,0.7979744374752045
70,951,9040,1404.6155,8601600,424.8,0.0005,-0.003893191079162837,-3.6388517694796123,690,0.12169974543959446,0.026275042444467545,0.030446284,0.2,0.2610115559895833,0.8082038760185242
71,951,9170,1435.9172,8724480,433.4,0.0005,-0.004085491481449329,-3.632695808460315,700,0.11822392875813724,-0.0013354457914829254,0.030680561,0.2,0.2619580078125,0.8149294555187225
72,951,9300,1420.8918,8847360,428.6,0.0005,-0.00445629026015619,-3.6571348659570018,710,0.11370900763669245,0.04336157441139221,0.029107686,0.2,0.2575390625,0.767131969332695
73,951,9430,1390.3757,8970240,418.76,0.0005,-0.003876892778207548,-3.623769491898517,720,0.11785427250293044,0.018162894994020462,0.030490391,0.2,0.2619425455729167,0.7783557772636414
74,951,9561,1446.7812,9093120,433.9,0.0005,-0.004332215615759197,-3.6089621302857995,730,0.11938330032125426,0.052770160138607025,0.030096691,0.2,0.260126953125,0.8475956320762634
75,950,9692,1434.96,9216000,433.68,0.0005,-0.004443738984712884,-3.602421367689967,740,0.12198337829914332,0.0038073118776082993,0.030923871,0.2,0.26073079427083334,0.794715479016304
76,950,9828,1438.9027,9338880,436.9,0.0005,-0.0038902180855620826,-3.6061176882435877,750,0.16176569226197898,0.09505000710487366,0.031099873,0.2,0.26224853515625,0.7494493424892426
77,950,9957,1442.3566,9461760,439.7,0.0005,-0.004616843380887682,-3.5920553524792194,760,0.12083871139785818,0.03825291246175766,0.029906137,0.2,0.26378743489583334,0.7432682812213898
78,950,10088,1430.7753,9584640,432.68,0.0005,-0.0037211266113081364,-3.582029330916703,770,0.11635310664578961,0.10597724467515945,0.030801356,0.2,0.26345703125,0.8393030613660812
79,949,10219,1493.3022,9707520,445.92,0.0005,-0.0038603228562412066,-3.5819297235955796,780,0.12157768579141702,0.027851540595293045,0.031514548,0.2,0.26538492838541666,0.8289760053157806
80,949,10350,1423.6229,9830400,439.5,0.0005,-0.004268230251827845,-3.576034625681738,790,0.11873926344220914,0.04011628031730652,0.03132007,0.2,0.2653499348958333,0.7751665264368057
81,949,10479,1444.9353,9953280,435.48,0.0005,-0.0028691919648978605,-3.537134627898534,800,0.1186593372716258,0.04885959252715111,0.032084696,0.2,0.2667667643229167,0.8603217750787735
82,949,10609,1418.7351,10076160,428.82,0.0005,-0.0038137030064171996,-3.554655034504831,810,0.12242274286041113,0.016611816361546516,0.032813452,0.2,0.2697998046875,0.8224057555198669
83,949,10740,1420.3071,10199040,434.66,0.0005,-0.003761206301769562,-3.5523635973532994,820,0.15734029737111996,0.0439864881336689,0.03229426,0.2,0.2681640625,0.8560207188129425
84,949,10870,1430.3198,10321920,434.88,0.0005,-0.003994360937291883,-3.552868852193157,830,0.11573081034206552,0.017304597422480583,0.03164571,0.2,0.26795328776041666,0.8047723472118378
85,949,11000,1385.4933,10444800,409.26,0.0005,-0.0037881488751615204,-3.5159267818679414,840,0.12085694552835775,0.04061725735664368,0.03227502,0.2,0.26765869140625,0.8102365583181381
