time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
970,4669440,433.32,1380.0175,4809,38,0.2,-0.010154545307159424,-3.8119015323370693,0.09196365037171442,0.0003,0.9000366479158401,0.023633616,370,0.24980224609375,-0.00844636082289071
970,4792320,438.1,1362.0565,4938,39,0.2,0.03939557448029518,-3.7987966831152638,0.08679571733140619,0.0003,0.8913812562823296,0.023750206,380,0.24877360026041667,-0.00896850589255943
968,4915200,440.54,1383.891,5076,40,0.2,0.051132336258888245,-3.775681082904339,0.09187193619092189,0.0003,0.8884817138314247,0.023866761,390,0.24921223958333333,-0.008075657829558623
968,5038080,436.96,1382.2874,5203,41,0.2,0.004030067473649979,-3.767960930901269,0.098550740526213,0.0003,0.8693023025989532,0.024828775,400,0.2527693684895833,-0.00806917292190216
968,5160960,415.56,1312.811,5330,42,0.2,-0.010149197652935982,-3.771103743078808,0.08866008398564494,0.0003,0.8713199347257614,0.02417291,410,0.25086588541666666,-0.008622368175480611
968,5283840,444.6,1415.0298,5456,43,0.2,0.0526127889752388,-3.7498425386473535,0.09692096800126213,0.0003,0.8622585833072662,0.02459151,420,0.2575252278645833,-0.009210478104353872
966,5406720,434.42,1395.3237,5593,44,0.2,0.09151345491409302,-3.7477213372290135,0.09877519634823936,0.0003,0.853315457701683,0.024654573,430,0.25578206380208335,-0.008543362654151376
966,5529600,419.92,1364.1718,5722,45,0.2,0.03564576432108879,-3.729017285940548,0.09218907933381464,0.0003,0.8554378300905228,0.024610106,440,0.25425048828125,-0.008522235183663724
965,5652480,432.54,1398.5284,5855,46,0.2,0.03701159730553627,-3.734839121202628,0.10173787277638136,0.0003,0.8700868189334869,0.02469101,450,0.25377522786458334,-0.00874066208694785
965,5775360,440.78,1397.9204,5982,47,0.2,0.011714862659573555,-3.713127309282621,0.10174248609221347,0.0003,0.8599594235420227,0.025385205,460,0.26071044921875,-0.008472687597550248
964,5898240,444.7,1435.8717,6112,48,0.2,0.04194445163011551,-3.660617500655353,0.09594518839856998,0.0003,0.8615045696496964,0.025101406,470,0.26261474609375,-0.008089198496994262
964,6021120,417.06,1334.5164,6240,49,0.2,0.06357657164335251,-3.6773570510496696,0.10097959003876894,0.0003,0.8496585041284561,0.02565333,480,0.2620442708333333,-0.008145851684870043
964,6144000,427.7,1402.0032,6368,50,0.2,-0.012935253791511059,-3.6543860840176543,0.10926867588544459,0.0003,0.8800970911979675,0.025671104,490,0.26167643229166665,-0.008103879604471634
964,6266880,436.92,1398.9329,6497,51,0.2,0.07223182171583176,-3.652912189103663,0.11259287048456221,0.0003,0.8473597913980484,0.025898878,500,0.2601822916666667,-0.008188617604961717
964,6389760,433.56,1404.6772,6627,52,0.2,-0.030984535813331604,-3.6262401002645492,0.10121495554296417,0.0003,0.8625523597002029,0.025123505,510,0.25945149739583334,-0.007775085121120355
963,6512640,428.9,1406.6957,6756,53,0.2,0.07848548889160156,-3.6304589463894565,0.10049198960094752,0.0003,0.8477962166070938,0.026536731,520,0.26318440755208333,-0.008756592234749404
963,6635520,429.94,1394.104,6885,54,0.2,0.009943317621946335,-3.629679331059257,0.10998345923770103,0.0003,0.8491404354572296,0.0257317,530,0.25731770833333334,-0.008100324993126075
963,6758400,435.46,1389.5222,7013,55,0.2,0.0016290657222270966,-3.605930495125552,0.11581322217360139,0.0003,0.8854739591479301,0.025031758,540,0.25822509765625,-0.007173398906834336
962,6881280,430.6,1393.1846,7150,56,0.2,0.0470561720430851,-3.6121941539645195,0.10934010489591553,0.0003,0.8634146153926849,0.026529554,550,0.2630086263020833,-0.008328994711634247
962,7004160,426.76,1399.1227,7280,57,0.2,0.058815956115722656,-3.613021190054715,0.10430449992491049,0.0003,0.8438510000705719,0.02642242,560,0.26466552734375,-0.008270106944940684
962,7127040,426.06,1403.715,7407,58,0.2,0.03529342636466026,-3.592926326319575,0.1200026343933617,0.0003,0.8643449693918228,0.025734518,570,0.259951171875,-0.008012585151742921
962,7249920,425.3,1380.707,7535,59,0.2,-0.022638024762272835,-3.590765567695101,0.09950307973888509,0.0003,0.8307837545871735,0.026080895,580,0.26238037109375,-0.008301664690019
961,7372800,424.58,1381.4419,7664,60,0.2,0.030131857842206955,-3.5800558960065247,0.11632136836521871,0.0003,0.8652576059103012,0.02672819,590,0.26556803385416666,-0.007875435244410861
961,7495680,431.04,1398.5106,7792,61,0.2,0.08882132917642593,-3.5762186543395122,0.10839008900084689,0.0003,0.8511924892663956,0.026572295,600,0.2619401041666667,-0.0077327433172013115
