rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_range
431.24,15,1840,1843200,1001,1101.3816,0.01659679040312767,0.09088556460783973,140,0.20227376302083333,-4.06753509581089,0.017614866,0.6790151298046112,0.0003,-0.010843286602042403,0.2
425.92,16,1969,1966080,998,1127.0339,0.015157338231801987,0.09599321622013425,150,0.20784016927083335,-4.051911733200153,0.018629456,0.6922543346881866,0.0003,-0.009964319274258742,0.2
421.94,17,2100,2088960,994,1181.7848,0.05441446229815483,0.09107621428353013,160,0.21345621744791668,-4.029913683645427,0.019051306,0.6870031356811523,0.0003,-0.010501718606707679,0.2
432.86,18,2231,2211840,990,1193.3529,1.6208738088607788e-05,0.08465854675062777,170,0.2125439453125,-4.014989206269384,0.018800816,0.7763332575559616,0.0003,-0.01036322075931821,0.2
432.96,19,2363,2334720,987,1249.313,0.029116250574588776,0.08471299034000064,180,0.21416259765625,-3.997108007098238,0.019271923,0.7529247403144836,0.0003,-0.010233806920023198,0.2
425.06,20,2494,2457600,985,1225.4496,0.031100627034902573,0.08131991382377843,190,0.21929280598958334,-3.979359771957,0.020145694,0.7220459282398224,0.0003,-0.009846159288633013,0.2
426.44,21,2624,2580480,983,1265.5778,0.03340272605419159,0.0875639017370607,200,0.22846272786458333,-3.9540969669943054,0.020876465,0.7610203474760056,0.0003,-0.009490276790717568,0.2
444.98,22,2757,2703360,980,1341.3433,0.0032124649733304977,0.08458698385724953,210,0.22720621744791666,-3.933959707270066,0.020438125,0.7430866658687592,0.0003,-0.009636862256156746,0.2
429.0,23,2890,2826240,977,1289.0094,0.03968576714396477,0.08599801889494604,220,0.23086181640625,-3.912660344305138,0.020970754,0.7450323402881622,0.0003,-0.009851591219915766,0.2
427.3,24,3023,2949120,975,1306.8888,0.015486255288124084,0.09542039758826529,230,0.23897542317708334,-3.879458271500965,0.022199715,0.7427533864974976,0.0003,-0.009049099851120748,0.2
424.1,25,3153,3072000,974,1328.7941,0.03697926923632622,0.09258653444499941,240,0.23755615234375,-3.8667470705260834,0.021890538,0.7319072186946869,0.0003,-0.008505614226948333,0.2
416.04,26,3285,3194880,972,1321.4005,0.0806317925453186,0.09030965418758569,250,0.24391764322916668,-3.846647072235743,0.022763705,0.767845630645752,0.0003,-0.0089810888674765,0.2
432.24,27,3416,3317760,971,1366.7936,0.03798270970582962,0.08019440181922012,260,0.24689290364583333,-3.8216409793744486,0.022956979,0.7972521334886551,0.0003,-0.009077571817342686,0.2
432.8,28,3546,3440640,970,1384.5708,0.014921676367521286,0.07377830147442485,270,0.24948974609375,-3.7937672720476985,0.023620626,0.7260996699333191,0.0003,-0.008638484936036549,0.2
433.38,29,3677,3563520,968,1398.175,0.04414999485015869,0.07451729860457514,280,0.24770182291666668,-3.7711620386317373,0.023539651,0.718703955411911,0.0003,-0.008639286385374968,0.2
433.82,30,3808,3686400,968,1427.5459,0.01999984122812748,0.07896991387659606,290,0.24959309895833334,-3.75432335190475,0.023641141,0.7966224402189255,0.0003,-0.008678088265921056,0.2
429.02,31,3937,3809280,967,1388.9497,0.02059999294579029,0.07319029706244086,300,0.25372965494791666,-3.748276333399117,0.02324887,0.7561826258897781,0.0003,-0.008438239086147709,0.2
429.64,32,4067,3932160,966,1411.0133,0.044925205409526825,0.08097574240047833,310,0.25457438151041667,-3.741248919169108,0.02381741,0.7491763830184937,0.0003,-0.008473937872762084,0.2
408.24,33,4199,4055040,965,1350.2512,-0.022581979632377625,0.08330788781754866,320,0.25392252604166665,-3.7360920629029475,0.024258398,0.7057613730430603,0.0003,-0.008055138198117979,0.2
