rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,690.4161,6553600,21896,299,40,-1.0354906917585237e-11,-7.05813363310881e-11,0.8801172748208046,0.02586529590189457,0.0,0.055178049187852594,0.2,0.0003,0.0,390
450.0,696.4444,6717440,22463,299,41,-1.325916096015902e-11,-6.738446245435626e-11,0.8639257401227951,0.04109974578022957,0.0,0.06083854436466936,0.2,0.0003,0.0,400
450.0,696.48517,6881280,23038,298,42,-1.452392219306325e-11,-9.606651474314276e-11,0.8532356023788452,0.013124078512191772,0.0,0.05023236587725478,0.2,0.0003,0.0,410
450.0,692.6834,7045120,23613,298,43,-1.5231004722151716e-11,-3.457557795627508e-11,0.8594123423099518,0.02470739558339119,0.0,0.06670692124307606,0.2,0.0003,0.0,420
450.0,697.02325,7208960,24186,298,44,-2.1329073222787918e-11,-7.346216079895384e-11,0.8842776343226433,0.017056334763765335,0.0,0.051973014254854205,0.2,0.0003,0.0,430
450.0,693.97186,7372800,24752,297,45,-2.101235850027498e-11,4.1101770875684454e-11,0.8648039251565933,0.07157175987958908,0.0,0.05898798957799954,0.2,0.0003,0.0,440
450.0,696.572,7536640,25319,297,46,-1.3906145366581805e-11,-1.3996782399772202e-10,0.8728726506233215,0.015444600954651833,0.0,0.05386640687465842,0.2,0.0003,0.0,450
450.0,693.3156,7700480,25880,297,47,-1.5332179186130997e-11,-2.373099050601013e-11,0.8597512543201447,0.035548362880945206,0.0,0.06199737083303262,0.2,0.0003,0.0,460
450.0,696.62,7864320,26446,297,48,-1.3510414831602604e-11,-1.53431756189093e-11,0.861048012971878,0.018740255385637283,0.0,0.05407565167657594,0.2,0.0003,0.0,470
450.0,697.2081,8028160,27006,297,49,-2.016928934697282e-11,3.994045982835814e-11,0.8837392702698708,0.016140827909111977,0.0,0.052578652836891705,0.2,0.0003,0.0,480
450.0,697.18774,8192000,27569,297,50,-1.4280150194817225e-11,-6.382379069691524e-11,0.8625142723321915,0.035965338349342346,0.0,0.06334202574464143,0.2,0.0003,0.0,490
450.0,697.1503,8355840,28141,296,51,-1.4267299903854319e-12,-5.560409499594243e-07,0.8701432049274445,0.009960489347577095,5.4931640625e-06,0.05738333169481848,0.2,0.0003,0.0060295216,500
