rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
450.0,1257.7114,73,905,8970240,9903,-2.63608449999243,0.013514626,0.2,6830,0.12065022786458333,0.0003,-0.001981248132284842,0.09410682745328813,0.08625386655330658,0.835093230009079
450.0,1223.9971,74,905,9093120,10038,-2.6163876828427117,0.014202421,0.2,6840,0.11844645182291667,0.0003,-0.0019632027696631364,0.11784972616645974,0.055121153593063354,0.7652226686477661
450.0,1199.2466,75,905,9216000,10172,-2.642080786464115,0.013806533,0.2,6850,0.11412190755208333,0.0003,-0.0020211673431246406,0.09045156775585686,0.06676603108644485,0.8316799998283386
450.0,1283.2307,76,906,9338880,10306,-2.6553641292701164,0.013867439,0.2,6860,0.12349609375,0.0003,-0.0014892070087686685,0.10893998156665476,0.04183923825621605,0.8056825399398804
450.0,1284.4458,77,903,9461760,10469,-2.62842306026568,0.01370761,0.2,6870,0.11570719401041667,0.0003,-0.0015720508198804359,0.09593374984472272,0.041741758584976196,0.8028702139854431
450.0,1237.3751,78,903,9584640,10604,-2.6532679183532792,0.012199278,0.2,6880,0.1148486328125,0.0003,-0.0014516374601650265,0.1027312271015641,0.027100374922156334,0.7935421615839005
450.0,1166.2607,79,903,9707520,10742,-2.6285487929855784,0.01174199,0.2,6890,0.10735595703125,0.0003,-0.0012148486531683982,0.09156657154172232,0.033782489597797394,0.8130695819854736
450.0,1200.0757,80,903,9830400,10876,-2.6135595443223916,0.013192427,0.2,6900,0.11677652994791667,0.0003,-0.0016665473613951083,0.09799821849119325,0.016023263335227966,0.7964880913496017
450.0,1311.6327,81,901,9953280,11042,-2.61260453770558,0.011369935,0.2,6910,0.10809000651041667,0.0003,-0.0012194850285201634,0.1085539802988933,0.03976289927959442,0.7844789624214172
450.0,1278.2521,82,901,10076160,11179,-2.634370124824345,0.011969984,0.2,6920,0.11905110677083333,0.0003,-0.0014730448757897345,0.10860083198793291,0.01617029681801796,0.7935389131307602
450.0,1208.8132,83,901,10199040,11315,-2.6225246968492866,0.012647748,0.2,6930,0.1177392578125,0.0003,-0.0014928816481672887,0.108051432469656,0.026709511876106262,0.8209461271762848
450.0,1193.305,84,901,10321920,11449,-2.615914926044643,0.011538188,0.2,6940,0.11476725260416666,0.0003,-0.0012658627239943599,0.10180342669404732,-0.0054168496280908585,0.8194732666015625
450.0,1300.3798,85,901,10444800,11584,-2.5662720815464852,0.011506408,0.2,6950,0.1174169921875,0.0003,-0.000890882608564425,0.11478635603782701,0.03835124149918556,0.7713836580514908
