time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate
700,7741440,63,1498.871,427.2,11055,0.013644810765981674,0.7400596737861633,1730,-1.276158967508624,0.13118949443111586,-0.005400424949439184,0.2,0.1645436,0.4457470703125,0.0002
700,7864320,64,1325.6477,379.1333333333333,11232,-0.0524180643260479,0.7603340446949005,1740,-1.314290132780249,0.12219237552887838,-0.005665287799050323,0.2,0.16323917,0.4451472981770833,0.0002
700,7987200,65,1344.3164,384.6,11410,-0.007028033956885338,0.7476361393928528,1750,-1.2852422187415262,0.12902075300643143,-0.006288378307805639,0.2,0.15985723,0.44524576822916667,0.0002
699,8110080,66,1467.9939,417.26666666666665,11592,0.008370492607355118,0.7241520583629608,1760,-1.292972473942985,0.13980285725498107,-0.006672627211810322,0.2,0.16151506,0.44531087239583333,0.0002
699,8232960,67,1294.4169,364.4,11770,0.011700838804244995,0.7496873438358307,1770,-1.2997930966038256,0.13358984709746438,-0.006473070030970121,0.2,0.1691521,0.44558349609375,0.0002
699,8355840,68,1414.1083,401.46666666666664,11948,0.0506514310836792,0.7399590611457825,1780,-1.286559457189093,0.1306159764363353,-0.005520110268080316,0.2,0.16325776,0.4422078450520833,0.0002
699,8478720,69,1237.5521,352.26666666666665,12126,0.029881175607442856,0.7597848773002625,1790,-1.2830080069694667,0.12824671484801609,-0.006665073175202755,0.2,0.16042623,0.44153157552083333,0.0002
699,8601600,70,1416.4895,404.46666666666664,12303,0.004666972905397415,0.7562255412340164,1800,-1.2656766094453633,0.13354545685947716,-0.0062168668864736295,0.2,0.17022806,0.44287027994791667,0.0002
699,8724480,71,1561.1313,438.73333333333335,12480,0.015095645561814308,0.7478775978088379,1810,-1.263642948558554,0.13793470512192774,-0.007322211049546847,0.2,0.16471788,0.44095296223958336,0.0002
698,8847360,72,1328.8834,374.93333333333334,12662,-0.0287792831659317,0.7243935763835907,1820,-1.283980013014128,0.13624079094801952,-0.006162278216288541,0.2,0.16021904,0.44418212890625,0.0002
698,8970240,73,1484.3231,420.2,12839,0.01271016150712967,0.7315347790718079,1830,-1.3091648474801332,0.14229410017006255,-0.0075413557764962506,0.2,0.15888052,0.4408772786458333,0.0002
698,9093120,74,1418.7489,402.93333333333334,13022,0.06688853353261948,0.7409346103668213,1840,-1.2914715233972918,0.13498364819048828,-0.006717214005414765,0.2,0.16108729,0.44475179036458334,0.0002
697,9216000,75,1517.7833,430.2,13204,0.0015011727809906006,0.7100972831249237,1850,-1.2952464508637787,0.13991104903126447,-0.007166416659383685,0.2,0.16377665,0.44462890625,0.0002
697,9338880,76,1537.4235,429.4,13383,0.0659124106168747,0.7394768297672272,1860,-1.262570658068483,0.13511438708306134,-0.006193889431106072,0.2,0.16206369,0.4420442708333333,0.0002
697,9461760,77,1555.788,426.8,13562,0.043347232043743134,0.7327728867530823,1870,-1.2550288571820905,0.13437550756837785,-0.006430190201123575,0.2,0.16374356,0.43903076171875,0.0002
697,9584640,78,1482.6736,416.6666666666667,13743,0.01635425165295601,0.7392128705978394,1880,-1.2617498434366037,0.1285490225586303,-0.0063159436626422875,0.2,0.15971285,0.437197265625,0.0002
697,9707520,79,1408.4082,401.6666666666667,13923,-0.009312352165579796,0.7303072214126587,1890,-1.256456946025913,0.14085615538526328,-0.006248418426997281,0.2,0.16510467,0.4384375,0.0002
696,9830400,80,1132.1389,318.1333333333333,14106,0.05004405602812767,0.7327249050140381,1900,-1.2481290946373096,0.13440877030836418,-0.006081659705899559,0.2,0.16437219,0.4392138671875,0.0002
696,9953280,81,1362.1222,388.8666666666667,14290,-0.0018046163022518158,0.7165161073207855,1910,-1.2393287007883191,0.14221969202985443,-0.005929686311731833,0.2,0.16131367,0.43756510416666666,0.0002
695,10076160,82,1515.0719,421.26666666666665,14478,0.0032186415046453476,0.7467226386070251,1920,-1.260908867859592,0.13375298161467072,-0.00631742258758095,0.2,0.15918143,0.44114095052083335,0.0002
