time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range
7741440,979,7904,63,450.0,1566.4513,0.0003,620,-0.008186736439784,0.02661767,0.11386124789714813,0.829716682434082,0.26505452473958335,-3.5772221010302503,0.08028038886918996,0.2
7864320,979,8032,64,445.1333333333333,1548.0493,0.0003,630,-0.008094428554277328,0.026337806,-0.014417817816138268,0.8867101222276688,0.25858479817708335,-3.554257449383537,0.07162055370715582,0.2
7987200,979,8157,65,450.0,1591.8269,0.0003,640,-0.007379496918395792,0.026521178,0.050004370510578156,0.8571072220802307,0.2587125651041667,-3.554590178988874,0.07355950135473298,0.2
8110080,979,8283,66,423.53333333333336,1488.8234,0.0003,650,-0.007493005132225032,0.026554035,0.012026255019009113,0.8157451301813126,0.2612434895833333,-3.5301092844083906,0.07161894535839868,0.2
8232960,979,8408,67,446.26666666666665,1545.2789,0.0003,660,-0.007875973553036602,0.027154056,-0.0007112696766853333,0.8692135959863663,0.2619173177083333,-3.5173264108101527,0.08826274209321128,0.2
8355840,979,8533,68,436.06666666666666,1520.5566,0.0003,670,-0.007913049689592905,0.026835736,-0.018261054530739784,0.897576667368412,0.26294514973958333,-3.51161291025579,0.08140427482304706,0.2
8478720,979,8659,69,425.46666666666664,1435.347,0.0003,680,-0.007531651085525178,0.026630571,0.02417176589369774,0.905280739068985,0.2627335611979167,-3.4954665114854775,0.07418502115736676,0.2
8601600,979,8785,70,403.2,1348.5604,0.0003,690,-0.008094188707270102,0.02698757,0.028986459597945213,0.9113148972392082,0.26456868489583335,-3.487929799792667,0.0810483029535923,0.2
8724480,978,8913,71,432.26666666666665,1463.0306,0.0003,700,-0.007949404563966407,0.02738417,0.06952805072069168,0.9173044636845589,0.2653068033854167,-3.4756143335253,0.07479163417888533,0.2
8847360,978,9040,72,423.4,1481.0424,0.0003,710,-0.00747976480761281,0.027104067,0.04120468348264694,0.9212760701775551,0.262802734375,-3.45197252381593,0.0667303796721535,0.2
8970240,978,9167,73,421.3333333333333,1458.1317,0.0003,720,-0.007080456058301934,0.026842706,0.024577461183071136,0.9010550901293755,0.2620654296875,-3.4518801818042992,0.08119952125571823,0.2
9093120,978,9291,74,450.0,1516.5958,0.0003,730,-0.007282693298687567,0.027051946,0.026282254606485367,0.8765788376331329,0.2653531901041667,-3.4465153461073834,0.08297619424090953,0.2
9216000,977,9424,75,448.6666666666667,1528.192,0.0003,740,-0.007515826117517766,0.027614053,0.0037946244701743126,0.8924290612339973,0.2657267252604167,-3.4428625268861652,0.08379218574244685,0.2
9338880,977,9549,76,424.73333333333335,1441.0726,0.0003,750,-0.0076759358661820445,0.027913013,0.03700008988380432,0.864883229136467,0.26750081380208335,-3.42037386264652,0.09276789955595935,0.2
9461760,977,9675,77,450.0,1508.0094,0.0003,760,-0.007287548333124505,0.027166791,-0.008391392417252064,0.902468852698803,0.2651163736979167,-3.4289517500499884,0.08102325418716645,0.2
9584640,977,9802,78,412.53333333333336,1432.3407,0.0003,770,-0.007918284454208334,0.0274537,0.02261601760983467,0.8867639228701591,0.26646321614583335,-3.4125583811476825,0.07445887192875186,0.2
9707520,977,9927,79,433.4,1536.2489,0.0003,780,-0.0075819884633801845,0.02832127,0.061947211623191833,0.8826755881309509,0.268134765625,-3.411537912202378,0.09206038176460424,0.2
9830400,977,10053,80,450.0,1567.872,0.0003,790,-0.007721293726917793,0.028229376,-0.010788392275571823,0.8994864672422409,0.26775797526041667,-3.404908925096194,0.07698796382503739,0.2
9953280,977,10179,81,450.0,1547.691,0.0003,800,-0.006725359452836225,0.027820703,0.04352916404604912,0.8877374604344368,0.26430419921875,-3.3981790842612583,0.07636439953474716,0.2
10076160,977,10309,82,354.6,1241.9963,0.0003,810,-0.008275077880731866,0.028267542,-0.004833560436964035,0.8962589427828789,0.2673421223958333,-3.4163544830928245,0.07511808481729532,0.2
10199040,977,10434,83,437.3333333333333,1515.614,0.0003,820,-0.0070190788382691,0.027634403,0.006745859980583191,0.8821720704436302,0.26548583984375,-3.3947339851160843,0.09573743139529446,0.2
10321920,977,10561,84,432.46666666666664,1505.62,0.0003,830,-0.007434278341400689,0.027998062,0.021027658134698868,0.8873820304870605,0.2675146484375,-3.374040583893657,0.09192477515107991,0.2
10444800,977,10687,85,421.73333333333335,1489.3474,0.0003,840,-0.007425503442458042,0.02909815,0.051010411232709885,0.891728863120079,0.2701896158854167,-3.354534802498917,0.10115228456600259,0.2
10567680,977,10812,86,411.73333333333335,1457.4647,0.0003,850,-0.007204999085194383,0.028541088,0.009146230295300484,0.8908757865428925,0.26858968098958336,-3.337821053005755,0.08136778614284898,0.2
10690560,977,10937,87,412.93333333333334,1446.1903,0.0003,860,-0.007051150708281663,0.02788436,0.03845074027776718,0.9014397710561752,0.26329996744791667,-3.3432862698907653,0.09724705004972445,0.2
10813440,977,11061,88,390.73333333333335,1367.7716,0.0003,870,-0.007292893241713803,0.028916458,0.004426904022693634,0.8538902401924133,0.26719482421875,-3.3479677454878884,0.09013236904300963,0.2
10936320,977,11187,89,450.0,1575.5131,0.0003,880,-0.007203287801582216,0.027818877,0.0020920131355524063,0.86958447098732,0.2649894205729167,-3.3493487709388137,0.09538437467250332,0.2
11059200,975,11342,90,447.2,1559.903,0.0003,890,-0.0070657075963148,0.02682021,-0.015437675639986992,0.8398129492998123,0.25722412109375,-3.353520899862051,0.08377273077790354,0.2
11182080,975,11466,91,378.73333333333335,1325.3063,0.0003,900,-0.006620882380810447,0.027251251,0.0321531742811203,0.8736002445220947,0.26164388020833335,-3.338013712527851,0.09454114738987604,0.2
11304960,975,11592,92,428.1333333333333,1481.7329,0.0003,910,-0.00790966257646384,0.028623471,-0.004838177934288979,0.8652596324682236,0.2644962565104167,-3.3289514032751324,0.08449136925725421,0.2
11427840,973,11740,93,435.8666666666667,1523.976,0.0003,920,-0.006900912207802321,0.02751795,0.1552990972995758,0.9069550111889839,0.2582576497395833,-3.3503283227855962,0.08414929950978452,0.2
11550720,973,11865,94,429.26666666666665,1493.8542,0.0003,930,-0.006972072083670658,0.02691142,0.011538909748196602,0.8846391141414642,0.2552880859375,-3.3314136178294818,0.07567157749595936,0.2
11673600,973,11994,95,377.73333333333335,1323.7166,0.0003,940,-0.007600003752704651,0.02768967,0.004949336871504784,0.8747239857912064,0.26174072265625,-3.3146173499027887,0.09665737875475315,0.2
11796480,973,12118,96,385.1333333333333,1344.094,0.0003,950,-0.0069565627419554705,0.028442048,-0.010930303484201431,0.9084607511758804,0.26319254557291666,-3.300357829630375,0.0973294360282307,0.2
11919360,973,12243,97,442.2,1556.7948,0.0003,960,-0.0070668903589224405,0.028432583,0.05752437561750412,0.8857561349868774,0.26415852864583333,-3.278391177666684,0.0961446738219335,0.2
12042240,973,12367,98,448.8666666666667,1547.8878,0.0003,970,-0.007228211182815964,0.0279483,0.049745168536901474,0.878787562251091,0.2646183268229167,-3.290962944490214,0.08856907922934625,0.2
12165120,973,12493,99,433.8666666666667,1526.5272,0.0003,980,-0.007348466136081697,0.028148266,0.050569236278533936,0.9030372202396393,0.2657853190104167,-3.2781949644039075,0.08765438011786804,0.2
12288000,973,12618,100,436.73333333333335,1534.9976,0.0003,990,-0.007115894334862484,0.027614545,0.023425012826919556,0.8567586541175842,0.2599129231770833,-3.2964290133615335,0.0830457918405591,0.2
12410880,973,12744,101,412.06666666666666,1441.762,0.0003,1000,-0.007491290650517233,0.02849853,0.03485577180981636,0.884468138217926,0.2652132161458333,-3.2627710839857658,0.09163227026248932,0.2
12533760,973,12870,102,399.1333333333333,1366.0256,0.0003,1010,-0.007150032731278771,0.028761115,0.051789022982120514,0.8739213347434998,0.26450764973958335,-3.271279524937272,0.11178128696080725,0.2
12656640,973,12995,103,408.8,1429.6763,0.0003,1020,-0.007288000306798495,0.027726583,0.03234212473034859,0.9058220237493515,0.2595133463541667,-3.2647159711768228,0.08830838765987815,0.2
12779520,973,13122,104,431.8666666666667,1486.0132,0.0003,1030,-0.006724166810533158,0.029530628,0.013337500393390656,0.8813442289829254,0.2673616536458333,-3.2557700881982843,0.10376094611371324,0.2
12902400,974,13245,105,450.0,1606.6204,0.0003,1040,-0.007342028573687761,0.028779304,0.011572862043976784,0.8859600350260735,0.26454752604166665,-3.2587649425615868,0.09233107759646372,0.2
13025280,974,13371,106,432.6,1513.2994,0.0003,1050,-0.006935279634308245,0.028350202,0.017647916451096535,0.853201225399971,0.26439453125,-3.2551003192861874,0.09608582848173683,0.2
13148160,974,13496,107,435.3333333333333,1553.7072,0.0003,1060,-0.007495716499676443,0.029156437,0.029940323904156685,0.8664880990982056,0.2636572265625,-3.261522565918664,0.09163501700793858,0.2
13271040,974,13622,108,429.26666666666665,1498.6034,0.0003,1070,-0.007151561235823465,0.029177655,-0.010898035019636154,0.8600652366876602,0.2648087565104167,-3.2507313510154683,0.10488516205693789,0.2
13393920,974,13746,109,442.3333333333333,1547.561,0.0003,1080,-0.0068921315470712825,0.028415142,0.03288479894399643,0.8480667769908905,0.26515380859375,-3.2484133540342253,0.08910105984090479,0.2
13516800,974,13872,110,445.46666666666664,1553.3304,0.0003,1090,-0.007368949990723195,0.028871493,0.015811700373888016,0.8768321052193642,0.26336669921875,-3.2372406058261793,0.08391030174524834,0.2
13639680,974,13998,111,437.73333333333335,1552.043,0.0003,1100,-0.0065867072896192745,0.028251117,0.047528017312288284,0.9055714532732964,0.262578125,-3.216977292050918,0.08744133112952113,0.2
