rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
1328.8961,982,29,3563520,436.93333333333334,3628,0.2,0.11559051966284944,-0.010034383568705986,0.02497398667037487,280,0.0002,0.01747202,-3.8872003871326646,0.19972819010416668,0.8149968385696411
1277.6158,981,30,3686400,443.06666666666666,3757,0.2,0.11072572518023663,-0.00976429246542466,0.004726791754364967,290,0.0002,0.01768094,-3.880247806198895,0.20206461588541666,0.8446891903877258
1298.195,980,31,3809280,427.46666666666664,3886,0.2,0.09560981219653816,-0.01005726847354405,0.029388226568698883,300,0.0002,0.01791894,-3.853074481325845,0.20387939453125,0.8217804431915283
1271.3107,979,32,3932160,424.6666666666667,4016,0.2,0.10324121986695294,-0.010223750255542351,0.030269131064414978,310,0.0002,0.018196817,-3.84498982205987,0.20687418619791667,0.8638774454593658
1306.5582,978,33,4055040,424.06666666666666,4145,0.2,0.10917206863863006,-0.009729978888881306,0.010160043835639954,320,0.0002,0.017738186,-3.8429705739890534,0.20545003255208333,0.878261961042881
1302.9783,977,34,4177920,417.1333333333333,4274,0.2,0.12173745473905001,-0.009308438773180872,0.09397445619106293,330,0.0002,0.018122017,-3.8229931855698425,0.20662353515625,0.8496369123458862
1336.7311,976,35,4300800,450.0,4403,0.2,0.11662171859381487,-0.009688885290609808,0.06754813343286514,340,0.0002,0.01823663,-3.8194275427485507,0.20650797526041667,0.8623350858688354
1401.9713,976,36,4423680,444.6666666666667,4531,0.2,0.122214344983513,-0.008998111045536158,0.0301232747733593,350,0.0002,0.01859494,-3.7937322844192387,0.20939208984375,0.8605120033025742
1430.726,975,37,4546560,450.0,4660,0.2,0.10537994910681543,-0.00965188027964056,0.04247412830591202,360,0.0002,0.018604588,-3.7710366401821376,0.21056233723958334,0.8293662965297699
1276.6661,975,38,4669440,420.06666666666666,4788,0.2,0.11528528814815217,-0.009305857071328015,0.060127414762973785,370,0.0002,0.018741416,-3.7719607650488616,0.212978515625,0.8236937522888184
1337.2645,974,39,4792320,419.6,4916,0.2,0.11677325767290313,-0.009112380991106572,0.0919509157538414,380,0.0002,0.018713275,-3.7466458296154936,0.20927734375,0.7998522818088531
1378.7928,974,40,4915200,430.0,5046,0.2,0.1248487685949658,-0.009847302906952488,0.059055790305137634,390,0.0002,0.019290844,-3.734238428833584,0.21519856770833334,0.8372697532176971
1344.1085,972,41,5038080,421.0,5178,0.2,0.11197385327356946,-0.009158382706439927,0.05551993101835251,400,0.0002,0.018745583,-3.7297070187081895,0.21121500651041666,0.8153525292873383
1378.1008,972,42,5160960,433.93333333333334,5307,0.2,0.10125011227093637,-0.00963016305956747,0.037375494837760925,410,0.0002,0.018850047,-3.7114333679402867,0.21434733072916667,0.8024546802043915
1369.0111,971,43,5283840,425.6,5437,0.2,0.09641651284007821,-0.008908439198785345,0.030259273946285248,420,0.0002,0.0191077,-3.6922187963376443,0.21408203125,0.844763457775116
1290.0018,970,44,5406720,420.06666666666666,5568,0.2,0.12325776777657059,-0.009183055456536143,0.04761693254113197,430,0.0002,0.01965809,-3.6739268224686383,0.220625,0.8483645617961884
1344.6067,970,45,5529600,408.6,5699,0.2,0.10123472587855455,-0.009157607932368896,0.027563124895095825,440,0.0002,0.019770918,-3.652064825259149,0.21717936197916668,0.8707688301801682
1356.9982,969,46,5652480,429.4,5829,0.2,0.11206117312569404,-0.009922639655154247,0.04097096621990204,450,0.0002,0.01955197,-3.6490769238521654,0.21991861979166666,0.8348706364631653
1450.1549,969,47,5775360,450.0,5959,0.2,0.11100878345096135,-0.009638089970242921,0.03840181976556778,460,0.0002,0.020033948,-3.6403065224488578,0.22161702473958333,0.8343138545751572
1452.0221,968,48,5898240,450.0,6090,0.2,0.128645766285869,-0.009422611104988998,0.03450758382678032,470,0.0002,0.01975132,-3.635570880162219,0.2204345703125,0.8245433866977692
1503.7919,968,49,6021120,450.0,6219,0.2,0.12565047751103217,-0.008918682181617139,0.01356043852865696,480,0.0002,0.01958644,-3.6159859840075175,0.22020670572916667,0.7987473458051682
1442.5887,967,50,6144000,443.0,6349,0.2,0.1314095602875265,-0.00894213930483602,-0.00409325398504734,490,0.0002,0.01982094,-3.6056200828154883,0.21903483072916666,0.7884391695261002
1422.6083,966,51,6266880,429.6,6481,0.2,0.1339450023509562,-0.008509440777458318,0.030347559601068497,500,0.0002,0.019673657,-3.594175726088385,0.21795735677083333,0.8467762768268585
1503.1841,966,52,6389760,450.0,6611,0.2,0.11696843202992264,-0.00935593877670423,0.026345357298851013,510,0.0002,0.019373616,-3.5792977048580847,0.21898518880208334,0.8531289398670197
1451.4882,966,53,6512640,443.0,6741,0.2,0.13684481271188512,-0.009211242086615433,0.026114771142601967,520,0.0002,0.019897493,-3.56201227987806,0.22256591796875,0.8106964379549026
1526.5332,965,54,6635520,450.0,6870,0.2,0.12136885263598136,-0.008770147947234363,0.02586556412279606,530,0.0002,0.019592058,-3.533866897945603,0.21849609375,0.7952214181423187
1462.9006,965,55,6758400,441.06666666666666,7000,0.2,0.13426602187396686,-0.008901564490576372,0.0894218385219574,540,0.0002,0.020089796,-3.530043561098476,0.22062662760416665,0.7745221853256226
1480.5382,964,56,6881280,436.8666666666667,7131,0.2,0.13352900088667716,-0.009581642805727219,-0.00208294577896595,550,0.0002,0.02033111,-3.507362914507588,0.22416666666666665,0.7895167171955109
1384.5781,964,57,7004160,411.06666666666666,7259,0.2,0.11870911002372547,-0.008759907556959661,0.041922565549612045,560,0.0002,0.019838035,-3.4809254610414304,0.22009847005208333,0.8019326776266098
1522.8395,962,58,7127040,440.93333333333334,7403,0.2,0.14074015964904296,-0.008543523683022917,0.0242641381919384,570,0.0002,0.019853286,-3.4666838662823043,0.21866780598958332,0.7617269605398178
1480.3751,962,59,7249920,442.3333333333333,7533,0.2,0.1227975551780158,-0.008433000581292921,0.06346816569566727,580,0.0002,0.01933519,-3.470362702670197,0.21553059895833335,0.7567629516124725
1505.8164,961,60,7372800,449.53333333333336,7669,0.2,0.12524209379829698,-0.009171621062923805,-0.01912746950984001,590,0.0002,0.019007912,-3.4813154999663434,0.21480143229166668,0.7458030879497528
1549.2649,960,61,7495680,450.0,7801,0.2,0.12837224073130832,-0.00931318114756626,0.07543615251779556,600,0.0002,0.019814936,-3.4599877941111723,0.219130859375,0.7694785892963409
1513.3472,960,62,7618560,450.0,7931,0.2,0.1282163889973405,-0.009044080077777229,0.0994853526353836,610,0.0002,0.019929921,-3.464066790603101,0.21993570963541667,0.7389309704303741
1519.0077,957,63,7741440,450.0,8087,0.2,0.10022147883437962,-0.009484350279029361,-0.0008173743262887001,620,0.0002,0.019793952,-3.4308670029168327,0.21796468098958333,0.7879490852355957
1462.7747,955,64,7864320,425.26666666666665,8231,0.2,0.10741941922429153,-0.009285816134530857,0.15625742077827454,630,0.0002,0.02006646,-3.453448484626909,0.21842447916666666,0.7395313084125519
1455.9447,955,65,7987200,432.06666666666666,8362,0.2,0.12858296551193538,-0.0088056822994137,0.018508080393075943,640,0.0002,0.018963289,-3.4151912041629355,0.21379801432291667,0.7644140869379044
1530.1415,954,66,8110080,450.0,8493,0.2,0.11750701652432326,-0.008991321979750258,0.011106444522738457,650,0.0002,0.019255351,-3.3990386689205963,0.21600504557291667,0.7910165041685104
1552.1727,954,67,8232960,450.0,8624,0.2,0.12862946214828602,-0.008373238693238819,0.005911797285079956,660,0.0002,0.019768031,-3.3750020757069192,0.21629150390625,0.7705583572387695
1543.935,954,68,8355840,450.0,8755,0.2,0.10976088267348436,-0.009665465444627444,0.00399380549788475,670,0.0002,0.020256814,-3.375224662423134,0.21982584635416666,0.788147047162056
1542.2561,953,69,8478720,450.0,8895,0.2,0.11737724438299968,-0.009135934146155099,0.020844923332333565,680,0.0002,0.01941249,-3.336222440811495,0.2167626953125,0.7966000586748123
1540.457,952,70,8601600,439.26666666666665,9028,0.2,0.11155470280107693,-0.008414677171564714,0.004882583394646645,690,0.0002,0.01958584,-3.293021862283349,0.22037190755208333,0.8027693033218384
1508.5044,952,71,8724480,438.93333333333334,9160,0.2,0.09655422489260673,-0.008628036964376709,-0.0243940781801939,700,0.0002,0.019820161,-3.287220248132944,0.2161376953125,0.826878234744072
