time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
37,1449.9119,4546560,419.6666666666667,780,5824,-0.024012842792205145,0.2,0.0002,0.06261011,0.4493603515625,0.03784427408301175,0.8205216228961945,360,0.00447649322450161,-3.267931720726192
38,1443.4825,4669440,420.2,780,5985,-0.023479484076688095,0.2,0.0002,0.0662348,0.4564314778645833,0.043136534163034715,0.8286689221858978,370,-0.009991848841309547,-3.2298179008935888
39,1501.7806,4792320,434.46666666666664,779,6148,-0.024021928484859623,0.2,0.0002,0.064906,0.45138916015625,0.03818366893751469,0.8085660934448242,380,-0.027028458192944527,-3.230804120848576
40,1394.2931,4915200,405.53333333333336,779,6307,-0.02342573197402089,0.2,0.0002,0.06648744,0.45680826822916665,0.03985319059875716,0.794102743268013,390,-0.025191061198711395,-3.188832662490507
41,1365.1323,5038080,385.0,779,6465,-0.02278001429108675,0.2,0.0002,0.06898109,0.46023763020833336,0.042120471302550866,0.8265043199062347,400,-0.026860849931836128,-3.165612968256076
42,1412.2395,5160960,398.2,779,6625,-0.023194380490028078,0.2,0.0002,0.0690207,0.46280843098958335,0.04167895790238011,0.8710969537496567,410,-0.01789027266204357,-3.1342309445515273
43,1352.1095,5283840,385.6,778,6785,-0.022774879012358723,0.2,0.0002,0.0708235,0.4635319010416667,0.04323131509365339,0.8839659988880157,420,-0.029669370502233505,-3.117106703494986
44,1483.023,5406720,422.8,778,6945,-0.022911419599434643,0.2,0.0002,0.073570855,0.46945068359375,0.04234599104539181,0.8295272886753082,430,-0.013311047106981277,-3.0943429301306606
45,1446.9597,5529600,407.53333333333336,778,7103,-0.02229905432236289,0.2,0.0002,0.07129598,0.4649275716145833,0.03736044999083485,0.8527620434761047,440,-0.02212217077612877,-3.087557440151771
46,1492.1445,5652480,426.1333333333333,778,7263,-0.021882705673148546,0.2,0.0002,0.072440796,0.47009440104166667,0.04343440017066314,0.8314774334430695,450,-0.007194751873612404,-3.05346544581155
47,1393.7018,5775360,394.26666666666665,777,7427,-0.02271203912537506,0.2,0.0002,0.0747502,0.4731884765625,0.03586839650924958,0.8440077304840088,460,0.002131265588104725,-3.0336213710034885
48,1398.964,5898240,395.73333333333335,777,7587,-0.02147154907497679,0.2,0.0002,0.076255605,0.47719156901041665,0.04621306936195955,0.8207131773233414,470,-0.02359442040324211,-2.9995809955025714
49,1445.7914,6021120,407.6,777,7747,-0.021261067037327545,0.2,0.0002,0.07659948,0.4767431640625,0.04352173116649889,0.8672223836183548,480,-0.037109144032001495,-2.9674137259523072
50,1326.7335,6144000,374.06666666666666,776,7908,-0.022716528002789952,0.2,0.0002,0.07769323,0.47654541015625,0.03720543774395386,0.8772625401616096,490,-0.03378213569521904,-2.940882133419315
51,1487.0753,6266880,425.46666666666664,776,8068,-0.02241766796477653,0.2,0.0002,0.07977494,0.4783447265625,0.03589091064587895,0.9151628315448761,500,-0.034944046288728714,-2.920733438419799
52,1414.5754,6389760,401.53333333333336,776,8228,-0.02172051806158076,0.2,0.0002,0.07831837,0.47769775390625,0.03779695082533484,0.8939357921481133,510,-0.023912139236927032,-2.902613133105139
53,1416.7994,6512640,397.2,776,8386,-0.021760619737721452,0.2,0.0002,0.081230454,0.4834513346354167,0.03815541277217562,0.8572966009378433,520,-0.016955215483903885,-2.8823979013164838
54,1452.4166,6635520,397.46666666666664,776,8547,-0.020311675304922876,0.2,0.0002,0.08129311,0.4851302083333333,0.043347350183491166,0.8541031181812286,530,-0.00800338201224804,-2.8590711467464764
