time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/entropy_loss
519,103.19,-339.1745,184320,45,354,861.4506116867066,145.12994384765625,0.6447795629501343,-0.00874825493156095,0.2,440,0.0003,0.013988765,0.13046875,-3.8211394671350716
519,102.9,-320.72046,188416,46,362,739.9093643188477,233.9791717529297,0.667167454957962,-0.007361717245294131,0.2,450,0.0003,0.011316167,0.09892578125,-3.8015938572585584
519,102.49,-325.11542,192512,47,370,932.1349563598633,477.7137756347656,0.6000847220420837,-0.009744117590162204,0.2,460,0.0003,0.01226719,0.1012451171875,-3.756318594142795
519,103.05,-325.4884,196608,48,378,807.1180857896804,290.4825439453125,0.661890834569931,-0.0052630394733569116,0.2,470,0.0003,0.011748322,0.108447265625,-3.773228144273162
519,104.59,-340.77087,200704,49,386,819.1560300827026,476.7613220214844,0.6428559124469757,-0.006901546044537099,0.2,480,0.0003,0.012918074,0.1322509765625,-3.713767070323229
519,103.35,-338.0022,204800,50,394,776.326257276535,184.0053253173828,0.6299796402454376,-0.008834087495415588,0.2,490,0.0003,0.013451971,0.1142333984375,-3.7087778721004723
519,101.74,-325.33438,208896,51,402,788.4935937404632,161.55899047851562,0.6455281376838684,-0.007967304635531035,0.2,500,0.0003,0.0130026005,0.10703125,-3.7524984311312437
519,101.77,-319.50134,212992,52,409,675.4132825136185,170.7003631591797,0.6556146442890167,-0.008760146458007512,0.2,510,0.0003,0.013518867,0.11376953125,-3.7255491491407158
519,102.33,-325.63522,217088,53,417,602.5599861621856,292.7493896484375,0.7054029405117035,-0.008556382279493846,0.2,520,0.0003,0.014016939,0.1339111328125,-3.711139676719904
519,103.06,-328.178,221184,54,425,813.811733007431,496.8157958984375,0.6563302278518677,-0.009685977655317401,0.2,530,0.0003,0.013812595,0.1086181640625,-3.682217859104276
519,103.41,-327.36893,225280,55,433,633.7342984437943,255.24562072753906,0.6808792352676392,-0.007665188501778175,0.2,540,0.0003,0.01349433,0.1210693359375,-3.7216426484286784
519,102.4,-318.89398,229376,56,441,691.522808623314,121.15827178955078,0.6953193843364716,-0.008905231540484237,0.2,550,0.0003,0.012199277,0.0918212890625,-3.6333105649799107
519,102.91,-315.63934,233472,57,449,734.3919730663299,142.81912231445312,0.6286233365535736,-0.00826860684537678,0.2,560,0.0003,0.0128725935,0.1022705078125,-3.682905461639166
519,104.24,-318.22214,237568,58,457,628.7374531507492,220.1789093017578,0.6647109687328339,-0.009322629363668965,0.2,570,0.0003,0.01273839,0.091259765625,-3.7212219022214414
519,103.6,-315.86023,241664,59,464,468.3491800785065,116.48245239257812,0.6879946887493134,-0.00886113936030597,0.2,580,0.0003,0.01583344,0.121142578125,-3.7105191856622697
519,102.86,-309.74268,245760,60,472,672.7080440759659,408.9792785644531,0.6756911873817444,-0.007203260457754368,0.2,590,0.0003,0.015397512,0.1393798828125,-3.690581030771136
519,102.38,-307.38956,249856,61,480,818.7605623722077,359.3500061035156,0.6144278049468994,-0.007791268116852735,0.2,600,0.0003,0.011707114,0.1158447265625,-3.6531063370406627
519,102.86,-307.986,253952,62,488,649.348180103302,366.7391052246094,0.6831429302692413,-0.00827662995980063,0.2,610,0.0003,0.012160565,0.0986572265625,-3.6365575015544893
519,103.15,-320.61115,258048,63,496,818.409864974022,458.6851806640625,0.6136809289455414,-0.005904031258251052,0.2,620,0.0003,0.015556488,0.1109619140625,-3.6578171964734794
519,102.27,-318.0011,262144,64,504,683.6925747394562,384.2666931152344,0.6725520491600037,-0.0076592913872445935,0.2,630,0.0003,0.013159555,0.102001953125,-3.652746457979083
519,101.93,-307.03043,266240,65,512,758.2369789123535,298.6629638671875,0.6155242919921875,-0.009697980932105565,0.2,640,0.0003,0.013636928,0.1001708984375,-3.654761581867933
519,102.89,-314.21213,270336,66,519,581.1308945894241,214.50277709960938,0.7048066854476929,-0.010092016245835111,0.2,650,0.0003,0.01485569,0.13203125,-3.6543366704136133
519,102.32,-320.24384,274432,67,527,724.0803396224976,409.68902587890625,0.6333087384700775,-0.01013947907849797,0.2,660,0.0003,0.014660064,0.122119140625,-3.6355607602745295
519,103.43,-330.92978,278528,68,535,724.3273413419723,233.7244873046875,0.6243274509906769,-0.008701255771666184,0.2,670,0.0003,0.01364433,0.107568359375,-3.564282909408212
520,103.01,-327.9723,282624,69,543,698.6651720523835,281.4716491699219,0.6783033907413483,-0.009442809790198226,0.2,680,0.0003,0.0124080805,0.0916259765625,-3.525969076156616
520,101.56,-324.37277,286720,70,551,789.742909002304,214.23133850097656,0.6718279421329498,-0.008807433430774836,0.2,690,0.0003,0.0140702445,0.1235595703125,-3.5486843030899764
520,101.92,-320.72952,290816,71,559,656.1335578203201,182.3172607421875,0.6908263564109802,-0.008270501359947956,0.2,700,0.0003,0.01405444,0.1016357421875,-3.5684648524969815
520,102.64,-325.9723,294912,72,567,665.0843118190766,238.05966186523438,0.6321891844272614,-0.010761816253216238,0.2,710,0.0003,0.013303658,0.113232421875,-3.5460474539548157
520,101.59,-324.59528,299008,73,574,755.9190370082855,447.3072509765625,0.6762140095233917,-0.005710176954926283,0.2,720,0.0003,0.013156155,0.1033447265625,-3.461101791635156
520,100.83,-318.50342,303104,74,582,818.0334396839141,289.9241638183594,0.6343915462493896,-0.008270171734329779,0.2,730,0.0003,0.014844565,0.1278076171875,-3.5216023843735456
520,101.06,-317.58554,307200,75,590,591.0705258846283,324.789794921875,0.6769561171531677,-0.008331877222371987,0.2,740,0.0003,0.015763557,0.1178955078125,-3.5203796297311785
520,101.52,-321.65048,311296,76,598,849.3568961143494,319.9049987792969,0.6061981320381165,-0.007637747917760862,0.2,750,0.0003,0.016000487,0.1214111328125,-3.4953202977776527
520,101.37,-321.06848,315392,77,606,870.6873620033264,271.2579345703125,0.6140909790992737,-0.005880713830629247,0.2,760,0.0003,0.01111881,0.0893798828125,-3.4889397460967304
520,102.91,-332.02884,319488,78,614,1015.1031540870666,511.637939453125,0.5747994780540466,-0.006654619981418364,0.2,770,0.0003,0.013574304,0.1070556640625,-3.4434023432433607
520,103.65,-331.11185,323584,79,621,786.9703418254852,439.04608154296875,0.6742337644100189,-0.00801052849565167,0.2,780,0.0003,0.015549278,0.1291259765625,-3.521771351620555
520,102.66,-325.6474,327680,80,629,852.7027453899384,546.0653686523438,0.6464239954948425,-0.007399025878839893,0.2,790,0.0003,0.014526479,0.112646484375,-3.4479760117828846
520,101.93,-323.09213,331776,81,637,893.1960643291474,372.7077941894531,0.6261481940746307,-0.010759307043554146,0.2,800,0.0003,0.014079019,0.1150146484375,-3.4928489036858084
520,102.33,-317.471,335872,82,645,757.4494796276092,199.42279052734375,0.6694003045558929,-0.0065970868148724545,0.2,810,0.0003,0.014729929,0.10654296875,-3.4496040273457766
520,102.11,-323.39902,339968,83,653,626.8873836517334,187.10494995117188,0.6938207745552063,-0.006948306553385919,0.2,820,0.0003,0.009714092,0.0828857421875,-3.4515304625034333
520,101.4,-308.9679,344064,84,661,737.4760702133178,492.1712951660156,0.6810672581195831,-0.00680310944953817,0.2,830,0.0003,0.012824353,0.1041015625,-3.452852259203792
520,102.44,-316.09863,348160,85,669,542.67045109272,313.87945556640625,0.702764242887497,-0.009669670857692835,0.2,840,0.0003,0.016488418,0.1338134765625,-3.4202814657241105
520,101.53,-319.93552,352256,86,676,724.2510245323181,342.79736328125,0.6669511198997498,-0.0073366715609154195,0.2,850,0.0003,0.015284726,0.13037109375,-3.402239665389061
520,101.76,-322.33054,356352,87,684,771.5304790973663,240.83363342285156,0.6364119946956635,-0.010737111289199675,0.2,860,0.0003,0.011605889,0.1022216796875,-3.4035999964922667
520,102.63,-327.5231,360448,88,692,543.9806806564332,198.4231414794922,0.7395621240139008,-0.006662062319810503,0.2,870,0.0003,0.015373825,0.1096923828125,-3.3250070359557866
520,102.07,-323.44656,364544,89,700,681.3748069763184,373.7327880859375,0.6710063219070435,-0.007231074332958087,0.2,880,0.0003,0.013971512,0.114892578125,-3.266227648407221
520,100.83,-324.03558,368640,90,708,652.467087650299,249.56968688964844,0.68931645154953,-0.008536564057067153,0.2,890,0.0003,0.011327807,0.0729736328125,-3.3074694205075503
520,100.73,-323.15482,372736,91,716,611.9962641000748,294.9606018066406,0.7198286652565002,-0.007565500392229296,0.2,900,0.0003,0.015297253,0.12705078125,-3.251796802505851
520,101.67,-319.4226,376832,92,723,713.035486960411,685.25830078125,0.6393391191959381,-0.0068853276654408544,0.2,910,0.0003,0.01256471,0.0857666015625,-3.2267061214894057
520,101.89,-311.6747,380928,93,731,696.7403865337371,208.97015380859375,0.6377777457237244,-0.008863071151426993,0.2,920,0.0003,0.01260818,0.1034912109375,-3.2425164949148892
520,102.38,-310.6439,385024,94,739,788.8164377212524,498.51788330078125,0.6676388382911682,-0.005964893732743804,0.2,930,0.0003,0.011592777,0.0890380859375,-3.23018344193697
520,100.74,-304.2542,389120,95,747,752.4598377466202,304.7635803222656,0.6549848914146423,-0.007731295222765766,0.2,940,0.0003,0.013862601,0.10546875,-3.3011861495673656
520,102.89,-316.92792,393216,96,755,710.7903311729431,300.5631408691406,0.6417634785175323,-0.008282279369450408,0.2,950,0.0003,0.016740557,0.1216796875,-3.195744188502431
520,100.97,-308.5966,397312,97,763,682.0689314126969,243.61807250976562,0.6344327926635742,-0.00886627855579718,0.2,960,0.0003,0.013230564,0.1032958984375,-3.2338312059640884
520,101.58,-312.6534,401408,98,771,632.7788246393204,319.689208984375,0.6849512755870819,-0.008544059116320567,0.2,970,0.0003,0.014705075,0.115478515625,-3.226553601026535
520,99.49,-308.29285,405504,99,779,598.8868124008179,263.5218200683594,0.6910525262355804,-0.008015040040481836,0.2,980,0.0003,0.014960106,0.1209228515625,-3.164955760911107
520,100.11,-304.8767,409600,100,786,692.160493516922,228.9455108642578,0.665183424949646,-0.007091208745987387,0.2,990,0.0003,0.013942018,0.1081787109375,-3.1907236099243166
520,100.39,-301.8335,413696,101,794,629.6264394044877,246.22091674804688,0.6680265367031097,-0.008517503413168015,0.2,1000,0.0003,0.014994463,0.1115478515625,-3.2386923246085644
520,99.44,-294.1964,417792,102,802,543.0709469795227,164.68666076660156,0.7504437565803528,-0.0091719257125078,0.2,1010,0.0003,0.016089628,0.127783203125,-3.1684251818805933
520,100.93,-308.99286,421888,103,810,545.6911508083343,129.51922607421875,0.6518351435661316,-0.00900817332585575,0.2,1020,0.0003,0.012834957,0.0940673828125,-3.1472622584551573
520,101.18,-315.53165,425984,104,818,832.4643937587738,395.6162414550781,0.6546601057052612,-0.008900612387151341,0.2,1030,0.0003,0.01460663,0.13466796875,-3.244412437826395
520,102.76,-320.4984,430080,105,826,421.919517993927,197.2562255859375,0.7431486248970032,-0.006408577067850274,0.2,1040,0.0003,0.0163378,0.1218017578125,-3.2431961432099343
520,102.92,-319.0397,434176,106,834,726.9025795698166,567.5140380859375,0.6389523446559906,-0.006886736365413526,0.2,1050,0.0003,0.0137052145,0.11201171875,-3.16028126552701
520,103.81,-319.50412,438272,107,841,675.4169010400772,292.3377685546875,0.6435622572898865,-0.008487768429404241,0.2,1060,0.0003,0.013835972,0.1087158203125,-3.1628676570951937
520,104.24,-312.47827,442368,108,849,579.5132174491882,217.1502685546875,0.6524049043655396,-0.010687430854341073,0.2,1070,0.0003,0.013065152,0.1083740234375,-3.1139007452875376
520,103.73,-309.41272,446464,109,857,535.8652814388275,200.87661743164062,0.6778425574302673,-0.008052184797270457,0.2,1080,0.0003,0.015489917,0.1279296875,-3.1456672210246324
520,102.86,-309.69165,450560,110,865,614.6228436946869,128.49502563476562,0.6862391531467438,-0.010189878776873228,0.2,1090,0.0003,0.015968164,0.114892578125,-3.075937784835696
520,101.67,-305.247,454656,111,873,633.2058118343353,231.2728729248047,0.6433376967906952,-0.00844484573972295,0.2,1100,0.0003,0.013724556,0.100244140625,-3.148951734602451
520,101.03,-297.5076,458752,112,881,498.7712533712387,154.28929138183594,0.7050316333770752,-0.00934767564831418,0.2,1110,0.0003,0.014476873,0.1112060546875,-3.1250974092632533
520,100.44,-296.1195,462848,113,889,485.4799935102463,230.84474182128906,0.6974504888057709,-0.007610713886242593,0.2,1120,0.0003,0.01659153,0.129150390625,-3.0991660431027412
520,100.76,-300.92407,466944,114,897,552.9762087583542,200.7779998779297,0.6563189327716827,-0.009752380303871178,0.2,1130,0.0003,0.013229322,0.102783203125,-3.0616629768162964
520,101.24,-311.92395,471040,115,905,607.6993049383163,410.7731018066406,0.6719064116477966,-0.007285360937021324,0.2,1140,0.0003,0.012942481,0.099951171875,-3.0974764216691257
520,102.17,-312.24124,475136,116,912,560.9368621349334,180.93666076660156,0.6986039876937866,-0.007412240859412123,0.2,1150,0.0003,0.014984028,0.1251220703125,-3.0831381548196077
520,102.4,-308.31848,479232,117,920,625.877080130577,100.60396575927734,0.6722171008586884,-0.009344010207860265,0.2,1160,0.0003,0.0148991225,0.1203369140625,-2.9943412117660047
520,98.34,-284.5822,483328,118,928,608.5974280834198,354.08856201171875,0.700526773929596,-0.004742294441530248,0.2,1170,0.0003,0.01647094,0.1134521484375,-3.069637368991971
