rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range
1527.0188,15746,959,438.66,123,15114240,0.030347085,0.018197041004896164,1220,-3.1879265279943745,0.11244860054250845,0.0003,0.7232143878936768,-0.008212549936852156,0.26880533854166666,0.2
1543.1523,15875,959,441.68,124,15237120,0.028515754,0.0722816064953804,1230,-3.205909006347259,0.11088504559088809,0.0003,0.7985514253377914,-0.00792248281236122,0.26182454427083335,0.2
1501.7908,16004,959,435.06,125,15360000,0.02914259,0.01994595304131508,1240,-3.185387527110676,0.12655815558217,0.0003,0.7233704030513763,-0.007979844217876841,0.26562744140625,0.2
1481.7434,16132,959,425.44,126,15482880,0.029165236,0.07270250469446182,1250,-3.185151464616259,0.11048807848836684,0.0003,0.7644726783037186,-0.00821596426657076,0.264111328125,0.2
1496.5865,16259,959,434.86,127,15605760,0.028930789,0.00994984433054924,1260,-3.1812314108386635,0.10941709103203417,0.0003,0.7860480695962906,-0.00837832413956979,0.26380533854166666,0.2
1519.0836,16386,959,439.64,128,15728640,0.029012242,0.060342125594615936,1270,-3.2062815727417666,0.10919321806645409,0.0003,0.7688665986061096,-0.008703908912521001,0.264130859375,0.2
1516.836,16515,959,435.12,129,15851520,0.028959239,0.02133314125239849,1280,-3.142306591570377,0.12043539942863087,0.0003,0.7820604592561722,-0.007834412269809642,0.26308024088541665,0.2
1474.2848,16644,959,429.52,130,15974400,0.028090697,0.02099582739174366,1290,-3.167170861102641,0.10355339582597177,0.0003,0.8147636950016022,-0.007774516120243788,0.2587158203125,0.2
1524.1168,16773,959,443.72,131,16097280,0.028593358,0.03285767883062363,1300,-3.1602337528641025,0.11328030023588023,0.0003,0.8042140752077103,-0.007784393280229172,0.25938313802083335,0.2
1556.903,16903,959,445.18,132,16220160,0.028645037,0.05425608903169632,1310,-3.1638723951453964,0.11550426723105678,0.0003,0.8112107366323471,-0.007552628652307855,0.26477213541666667,0.2
1502.3738,17034,959,432.48,133,16343040,0.029650709,0.000488966703414917,1320,-3.169472896469136,0.12022101452797264,0.0003,0.7773863822221756,-0.00729581540358898,0.26549153645833334,0.2
1527.6205,17165,959,443.88,134,16465920,0.029357158,0.004353851079940796,1330,-3.162029412649572,0.1328786188014783,0.0003,0.8017527461051941,-0.007698867558465281,0.2641495768229167,0.2
1565.2108,17320,957,448.84,135,16588800,0.029432738,0.05709511786699295,1340,-3.1568039429808654,0.11855569325125544,0.0003,0.7730465531349182,-0.007886522662138304,0.2640234375,0.2
1479.005,17448,957,428.38,136,16711680,0.028393086,0.05015319958329201,1350,-3.1592416279638806,0.11341455263143871,0.0003,0.7575794905424118,-0.0076881379658667965,0.2621337890625,0.2
1500.7477,17577,957,431.78,137,16834560,0.028916717,0.03436007723212242,1360,-3.123172198186318,0.11456309694214724,0.0003,0.8140700459480286,-0.007830037107202467,0.26690348307291667,0.2
1519.4371,17715,957,443.58,138,16957440,0.029271714,0.024538664147257805,1370,-3.124523453352352,0.11273805910624408,0.0003,0.8072701841592789,-0.007871018641720488,0.2652888997395833,0.2
1485.4087,17845,957,426.56,139,17080320,0.029204786,0.05828944593667984,1380,-3.0939898578077556,0.10078158829235084,0.0003,0.7968140095472336,-0.006698894110929056,0.26052734375,0.2
1529.3259,17975,957,440.16,140,17203200,0.029288465,0.05549382418394089,1390,-3.1125576532259585,0.10502044193664915,0.0003,0.8092914968729019,-0.007688699014070152,0.26633382161458335,0.2
1507.7134,18122,956,432.0,141,17326080,0.029242992,0.05334312096238136,1400,-3.1246556052193046,0.10844287900787701,0.0003,0.8133904486894608,-0.007341051570498773,0.26091796875,0.2
1511.2183,18252,955,432.68,142,17448960,0.029114256,0.010234866291284561,1410,-3.119583806519707,0.10205439188978441,0.0003,0.8194457441568375,-0.007318444159706511,0.2588142903645833,0.2
1504.9125,18393,955,436.62,143,17571840,0.029583989,0.07461544871330261,1420,-3.1294245196382207,0.10609501563434605,0.0003,0.8281108438968658,-0.007652360219338637,0.2648543294270833,0.2
1539.1626,18520,955,441.74,144,17694720,0.028928148,0.02462688274681568,1430,-3.1185470119118692,0.09966131600905404,0.0003,0.8107380121946335,-0.007316550854805731,0.2622859700520833,0.2
1558.2936,18649,955,446.04,145,17817600,0.029757801,0.027010612189769745,1440,-3.1434144689515233,0.10389293437173668,0.0003,0.8012711107730865,-0.008432785302199288,0.26633056640625,0.2
1516.7007,18778,955,444.44,146,17940480,0.029372394,0.042507354170084,1450,-3.107978283725679,0.10933068378954583,0.0003,0.8032151013612747,-0.0076255091298844495,0.26162923177083336,0.2
1552.4309,18907,955,444.04,147,18063360,0.02887536,0.01623080112040043,1460,-3.1188115011776487,0.10353756445081672,0.0003,0.8367344439029694,-0.0074509532307335275,0.25829671223958334,0.2
1524.2478,19037,955,434.1,148,18186240,0.029066268,0.023881010711193085,1470,-3.124558090592424,0.11388519486009803,0.0003,0.8166012316942215,-0.00790133478782991,0.25814208984375,0.2
1544.3375,19165,955,443.36,149,18309120,0.029508693,0.030959535390138626,1480,-3.131656165694197,0.11137391602814507,0.0003,0.8270604163408279,-0.00775021111479873,0.2605208333333333,0.2
1543.6382,19299,955,437.58,150,18432000,0.028582934,0.052726469933986664,1490,-3.1357085691640774,0.10325629398362555,0.0003,0.8266273438930511,-0.0075727844361426835,0.2559098307291667,0.2
1506.8096,19429,954,428.74,151,18554880,0.029148776,0.023096196353435516,1500,-3.1402216047421097,0.11788668286802324,0.0003,0.7940967381000519,-0.008212992115738112,0.25958089192708333,0.2
1537.346,19560,954,440.42,152,18677760,0.028265385,0.047926951199769974,1510,-3.0994396267955504,0.09933783788859728,0.0003,0.8348919004201889,-0.006870037012934821,0.2511905924479167,0.2
1515.615,19716,953,432.14,153,18800640,0.028360862,-0.01515774056315422,1520,-3.102748591862619,0.1061805282694695,0.0003,0.8252880424261093,-0.007294155164181575,0.25516927083333335,0.2
1540.3274,19845,953,444.68,154,18923520,0.028537897,0.030193297192454338,1530,-3.103223866770665,0.10669759303864945,0.0003,0.809274211525917,-0.007094073512865483,0.25432454427083334,0.2
