time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
804,22,3359,436.48,2703360,1164.7804,-3.832393136496345,0.0003,0.46273600260416664,0.2,0.065792926,0.07757164757145801,0.00493520125746727,210,-0.019962169188765984,0.7155186235904694
802,23,3520,439.82,2826240,1185.896,-3.801653054493169,0.0003,0.4689697265625,0.2,0.06650741,0.07571775741458017,0.00713769905269146,220,-0.019289961169827924,0.7521485984325409
800,24,3682,440.5,2949120,1154.2672,-3.793816640699903,0.0003,0.46962809244791665,0.2,0.06779173,0.0748868025871828,-0.020391693338751793,230,-0.018749653315626346,0.7765990048646927
799,25,3842,436.88,3072000,1193.1832,-3.756114887620012,0.0003,0.47557373046875,0.2,0.07109421,0.0724923856399255,-0.03329648822546005,240,-0.019256794918601373,0.7611307501792908
797,26,4005,441.12,3194880,1208.1282,-3.7585727187494435,0.0003,0.4788712565104167,0.2,0.07161752,0.07987569966872494,0.05477626621723175,250,-0.019028032973067942,0.7823303639888763
791,27,4189,446.96,3317760,1227.6635,-3.740481781500081,0.0003,0.4788313802083333,0.2,0.071199335,0.07240429441915087,-0.011883359402418137,260,-0.01860767072740297,0.7916053086519241
790,28,4350,444.46,3440640,1204.5194,-3.725095169196526,0.0003,0.4795711263020833,0.2,0.071851395,0.06879595031927845,-0.01100960187613964,270,-0.0191210888367641,0.796332523226738
789,29,4512,425.52,3563520,1211.8877,-3.703572072386742,0.0003,0.48374104817708335,0.2,0.0732691,0.0741515657143221,-0.03748195618391037,280,-0.01837699201560099,0.7774524986743927
788,30,4673,435.44,3686400,1224.3533,-3.6773394778122506,0.0003,0.48651041666666667,0.2,0.07472911,0.07464319596634596,-0.010191520676016808,290,-0.01726934673537471,0.8033136874437332
787,31,4839,433.9,3809280,1212.3048,-3.656512651902934,0.0003,0.4904866536458333,0.2,0.07730039,0.07784237636117419,0.034708235412836075,300,-0.01844853426267946,0.7849175035953522
785,32,5003,430.6,3932160,1227.248,-3.6158485670015215,0.0003,0.49845540364583335,0.2,0.08025519,0.06532392074562571,-0.023723412305116653,310,-0.01741697443185937,0.8165501207113266
784,33,5167,433.12,4055040,1235.9426,-3.6057304885983466,0.0003,0.50195068359375,0.2,0.08218519,0.06387689852980354,-0.03640354424715042,320,-0.016853474801931344,0.8148332983255386
783,34,5330,442.74,4177920,1282.9053,-3.5716953345139824,0.0003,0.502265625,0.2,0.08282937,0.06795752719937202,0.0007604993879795074,330,-0.01695140788372252,0.8323604464530945
782,35,5493,417.98,4300800,1196.206,-3.5837802363187077,0.0003,0.4982478841145833,0.2,0.082934305,0.06788744546414818,-0.0013587269932031631,340,-0.017615624474213595,0.8024493306875229
782,36,5655,448.88,4423680,1277.5331,-3.5727220285559693,0.0003,0.5015738932291667,0.2,0.08253266,0.07290962681911575,-0.037165720015764236,350,-0.017173106661509032,0.8220471441745758
781,37,5821,444.08,4546560,1269.9363,-3.5597481622298557,0.0003,0.49884195963541667,0.2,0.08230569,0.06308137883514671,0.024979615584015846,360,-0.017007614798409728,0.8037908524274826
779,38,5987,448.4,4669440,1274.9331,-3.540773404762149,0.0003,0.5020279947916667,0.2,0.08694447,0.06934382747815107,0.008047927170991898,370,-0.01706925319213042,0.82364921271801
778,39,6152,428.24,4792320,1227.7957,-3.5239555713906885,0.0003,0.49925618489583334,0.2,0.084775254,0.0701186647398572,-0.0029267817735671997,380,-0.016866239989819103,0.8196938782930374
778,40,6315,415.3,4915200,1233.3844,-3.5094448061535757,0.0003,0.5030485026041667,0.2,0.08615532,0.06038881738447041,-0.04554433375597,390,-0.01693862376145262,0.8148495554924011
777,41,6480,442.14,5038080,1289.8936,-3.52388428936402,0.0003,0.5033414713541666,0.2,0.08686353,0.08097404765731578,-0.01654781773686409,400,-0.016079949133515282,0.7959331721067429
776,42,6646,446.56,5160960,1331.3352,-3.469939311556518,0.0003,0.5072224934895834,0.2,0.088866934,0.07182068564414901,0.007515200413763523,410,-0.015684190485750756,0.816128134727478
775,43,6811,443.76,5283840,1326.4634,-3.4734730015695097,0.0003,0.5025423177083334,0.2,0.08660997,0.07845013990168809,-0.0010226676240563393,420,-0.01568409805754224,0.8050986230373383
775,44,6974,436.86,5406720,1307.5428,-3.459544179402292,0.0003,0.5051350911458333,0.2,0.089488894,0.07953131532980479,0.014024771749973297,430,-0.015890690657652157,0.7809037566184998
774,45,7139,441.16,5529600,1337.5774,-3.440693610322972,0.0003,0.5062898763020833,0.2,0.091042966,0.07261882038888871,0.015388496220111847,440,-0.015431130474031912,0.8262673765420914
773,46,7308,428.98,5652480,1294.5415,-3.431973874767621,0.0003,0.5047428385416667,0.2,0.09024954,0.07751091514073778,0.020914224907755852,450,-0.015413371387179116,0.8261355459690094
772,47,7471,438.26,5775360,1352.5425,-3.406375885220865,0.0003,0.5057893880208333,0.2,0.09132827,0.06889640815536646,-0.000791158527135849,460,-0.01583240519269869,0.8205457478761673
772,48,7637,443.74,5898240,1346.7797,-3.416762509929637,0.0003,0.5042374674479166,0.2,0.09138439,0.0705621347737421,0.02228756994009018,470,-0.015093503997244018,0.8022744953632355
771,49,7803,428.36,6021120,1280.0183,-3.356876604432861,0.0003,0.5101399739583333,0.2,0.09428129,0.07525128825674376,0.040432874113321304,480,-0.015365047737413989,0.8144826740026474
770,50,7969,435.18,6144000,1315.3179,-3.3352796327322722,0.0003,0.514609375,0.2,0.096101165,0.0803707564349558,0.007583823055028915,490,-0.014334050604532725,0.804276317358017
770,51,8134,429.88,6266880,1345.2141,-3.324172396734357,0.0003,0.5139933268229167,0.2,0.096349485,0.07902774449331143,0.01984088122844696,500,-0.014151896936158058,0.8211731761693954
769,52,8298,442.56,6389760,1363.8755,-3.3151455005134145,0.0003,0.5131526692708334,0.2,0.099138975,0.0795539717269033,-0.004425510764122009,510,-0.014097406878408946,0.8318751156330109
769,53,8462,434.66,6512640,1355.6039,-3.3252779548987745,0.0003,0.5107755533854167,0.2,0.09580636,0.07866488821377668,0.037365060299634933,520,-0.015149485298176538,0.8228999972343445
769,54,8627,425.46,6635520,1294.0966,-3.290617215273281,0.0003,0.5147688802083333,0.2,0.09878143,0.09115018718153199,0.12433480471372604,530,-0.013469696163889846,0.7789968997240067
768,55,8794,424.6,6758400,1311.2097,-3.2689892631024122,0.0003,0.5147200520833334,0.2,0.09787555,0.09447195727814688,0.0027481457218527794,540,-0.013057345212922277,0.8390999138355255
768,56,8957,425.7,6881280,1329.8081,-3.2258938951045275,0.0003,0.5177652994791667,0.2,0.10260418,0.08099164962312595,0.017213765531778336,550,-0.013632823250397148,0.8374991565942764
766,57,9138,439.78,7004160,1361.5452,-3.214259328904251,0.0003,0.5139786783854167,0.2,0.101162225,0.08126514270174084,-0.030407477170228958,560,-0.013313147155373978,0.8336343169212341
765,58,9305,419.52,7127040,1302.9722,-3.2254449256633717,0.0003,0.5142195638020833,0.2,0.10050597,0.07808360081316398,0.010951647534966469,570,-0.012989148530105013,0.8159927129745483
765,59,9467,440.16,7249920,1378.3352,-3.232787032450239,0.0003,0.5160693359375,0.2,0.101188704,0.08772528367640917,0.01675320789217949,580,-0.013270158154591627,0.8192667663097382
765,60,9634,438.08,7372800,1381.8374,-3.218279792033136,0.0003,0.5111311848958333,0.2,0.101890974,0.08260263653777657,0.0030545759946107864,590,-0.013659952357014239,0.8203115463256836
764,61,9800,438.26,7495680,1349.08,-3.2187568096444013,0.0003,0.5115128580729167,0.2,0.09882543,0.08876173592090102,0.006650788709521294,600,-0.013522200326497114,0.8261353671550751
764,62,9967,425.32,7618560,1337.629,-3.1875287482266623,0.0003,0.5118123372395833,0.2,0.10229516,0.0901702913720995,-0.011770416051149368,610,-0.013691769721978442,0.7978220283985138
764,63,10132,435.02,7741440,1358.7872,-3.1488671423867345,0.0003,0.51521484375,0.2,0.10421904,0.09059524050346227,0.03221043571829796,620,-0.013207883971942162,0.8110106438398361
763,64,10297,434.42,7864320,1380.1442,-3.149098016296824,0.0003,0.51573486328125,0.2,0.107960664,0.09132521519437432,0.030953075736761093,630,-0.012411444887008353,0.7939355671405792
761,65,10485,439.9,7987200,1396.6333,-3.1578304874897003,0.0003,0.51071533203125,0.2,0.10549142,0.0966285828143009,-0.04199433699250221,640,-0.012710975742417455,0.7733403146266937
761,66,10650,430.6,8110080,1358.6151,-3.135134642869234,0.0003,0.5157975260416666,0.2,0.106845684,0.11111660575431112,-0.012515809386968613,650,-0.012928602054316798,0.7445574104785919
761,67,10818,432.58,8232960,1369.5597,-3.0927598065758746,0.0003,0.5150447591145834,0.2,0.107867286,0.09683655973538408,0.015314359217882156,660,-0.012285158270842658,0.7897762954235077
760,68,10983,431.42,8355840,1352.2614,-3.125223971903324,0.0003,0.510478515625,0.2,0.10464331,0.08591181093409735,0.060067594051361084,670,-0.01284002463845051,0.7950997948646545
760,69,11149,442.44,8478720,1383.1581,-3.034573575841884,0.0003,0.5183072916666667,0.2,0.111947425,0.08733780060123536,0.0022600963711738586,680,-0.011427401190643043,0.7860312163829803
760,70,11314,430.16,8601600,1375.705,-3.019152351431549,0.0003,0.51765380859375,0.2,0.11237558,0.08279406692221528,0.016596298664808273,690,-0.010823231621628415,0.7999878227710724
759,71,11481,423.5,8724480,1327.8732,-3.0382954337447883,0.0003,0.5185701497395834,0.2,0.11118301,0.0833386624524428,-0.009514713659882545,700,-0.011901713882180047,0.7906250804662704
758,72,11660,434.68,8847360,1365.4956,-3.0074427682658036,0.0003,0.5195157877604166,0.2,0.11308178,0.08189164787598809,-0.021619655191898346,710,-0.011582164582432598,0.8286044746637344
758,73,11825,445.12,8970240,1412.3892,-2.9892307885612053,0.0003,0.5186409505208334,0.2,0.114425786,0.08211676026747834,-0.03142149746417999,720,-0.010740718337153036,0.8237876445055008
758,74,11990,444.58,9093120,1424.4604,-3.028247745682796,0.0003,0.5139200846354167,0.2,0.111508414,0.07559197673952439,-0.009842263534665108,730,-0.011682645242556949,0.8275074362754822
758,75,12156,436.28,9216000,1355.692,-3.0139440006886917,0.0003,0.5132991536458333,0.2,0.11101417,0.0811569652275163,-0.005752796307206154,740,-0.011126090316083718,0.7924485504627228
757,76,12323,444.92,9338880,1433.4441,-2.9766761550803977,0.0003,0.5127018229166667,0.2,0.11491111,0.07983631791207396,-0.03221236169338226,750,-0.011167224462290808,0.8042670041322708
757,77,12490,435.56,9461760,1372.6713,-3.022909956698616,0.0003,0.5110099283854167,0.2,0.11192649,0.0862983592361949,0.03576059639453888,760,-0.011463784223087714,0.8110717236995697
757,78,12657,433.34,9584640,1376.1449,-2.940731119650106,0.0003,0.5149267578125,0.2,0.11999728,0.0806980615062154,-0.026953045278787613,770,-0.011224401610161295,0.8229554146528244
756,79,12824,439.12,9707520,1414.905,-2.966148243397474,0.0003,0.5090958658854167,0.2,0.11418967,0.08831418401484067,0.1135292500257492,780,-0.010892869823710499,0.8042396157979965
756,80,12989,445.3,9830400,1459.0028,-3.022456685428818,0.0003,0.49787516276041666,0.2,0.107914336,0.09244111011760348,-0.016985399648547173,790,-0.01233927057421776,0.8111359179019928
