rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl
1432.7561,9216000,967,430.84,9520,75,0.2689013671875,0.0003,0.7815307378768921,-3.436414285960297,0.035004131495952606,740,0.2,-0.007881238532869853,0.1347690429132005,0.027359637
1386.466,9338880,968,417.84,9647,76,0.2695947265625,0.0003,0.8456535786390305,-3.4404839459558327,0.021883808076381683,750,0.2,-0.007907614959088581,0.12954986904291824,0.027304163
1408.9224,9461760,968,427.82,9774,77,0.2686897786458333,0.0003,0.7811696529388428,-3.4344679333517947,0.03089035674929619,760,0.2,-0.008012905304428082,0.13283999096636157,0.026912477
1488.1328,9584640,967,445.38,9902,78,0.2673868815104167,0.0003,0.8338766843080521,-3.41871931022654,0.0725555270910263,770,0.2,-0.007930553601599968,0.12090861196668508,0.027120262
1423.5314,9707520,967,426.2,10031,79,0.2650634765625,0.0003,0.8066802024841309,-3.413802832998335,-0.005071211606264114,780,0.2,-0.00766330404421448,0.10546700955582007,0.026954254
1410.6558,9830400,967,426.9,10158,80,0.26858154296875,0.0003,0.8255593180656433,-3.403294461828967,0.24821291863918304,790,0.2,-0.007410364522696303,0.14572634066697598,0.027887648
1358.3036,9953280,967,419.66,10288,81,0.26734537760416666,0.0003,0.8317258954048157,-3.385687413128714,0.04481120780110359,800,0.2,-0.007463929443911183,0.11438878587049355,0.026799265
1420.2734,10076160,967,428.32,10414,82,0.2722062174479167,0.0003,0.8395152240991592,-3.364388524306317,0.01646818034350872,810,0.2,-0.007256683042032819,0.12337823481512411,0.028151043
1441.1764,10199040,967,430.38,10542,83,0.2711661783854167,0.0003,0.8412390500307083,-3.368626298494637,0.019422462210059166,820,0.2,-0.007496459082716077,0.11084710235406722,0.027710116
1449.3811,10321920,967,435.84,10669,84,0.2766007486979167,0.0003,0.8032777458429337,-3.344989062435925,0.038922328501939774,830,0.2,-0.007139263567911863,0.14362388156480543,0.028390199
1399.5535,10444800,967,419.18,10800,85,0.27387044270833333,0.0003,0.8426532596349716,-3.339830230412384,0.06910137832164764,840,0.2,-0.00803191350486183,0.14553824780232388,0.028934415
1379.9778,10567680,966,417.0,10929,86,0.27385904947916667,0.0003,0.8032645732164383,-3.3391470900923013,0.006711948662996292,850,0.2,-0.006888349015362109,0.1527309956258978,0.028673613
1441.46,10690560,966,434.32,11060,87,0.27009440104166665,0.0003,0.8593877851963043,-3.341213943772018,0.034816041588783264,860,0.2,-0.007198974534918913,0.14668816531047923,0.02764115
1403.4474,10813440,966,415.12,11186,88,0.2707421875,0.0003,0.8585674613714218,-3.3545790121580166,0.0382901169359684,870,0.2,-0.007355667642908278,0.13120331116864692,0.027884075
1423.3662,10936320,966,425.94,11314,89,0.26944661458333335,0.0003,0.8443811982870102,-3.3589432062457005,0.004481174051761627,880,0.2,-0.007421249020486963,0.1486905916307781,0.02730847
1427.0632,11059200,966,424.28,11443,90,0.2676570638020833,0.0003,0.8273565918207169,-3.3548926806201536,0.061827436089515686,890,0.2,-0.007423081110234004,0.13500770543236285,0.027474813
1456.5383,11182080,966,435.92,11572,91,0.2687076822916667,0.0003,0.8447158336639404,-3.342492227554321,0.10768783092498779,900,0.2,-0.007450440935899678,0.13898412858921802,0.02806356
1507.2393,11304960,966,443.04,11700,92,0.26885904947916667,0.0003,0.8165602087974548,-3.3227525195727745,0.05133245140314102,910,0.2,-0.007252564891832663,0.11693807510106126,0.027394513
1406.2216,11427840,966,414.64,11827,93,0.26833170572916665,0.0003,0.7623096108436584,-3.3355121562629937,0.07123204320669174,920,0.2,-0.0074445782921429785,0.12281617622085227,0.027661216
1433.1285,11550720,966,427.0,11956,94,0.2667488606770833,0.0003,0.8210569471120834,-3.2909820939103764,0.026667829602956772,930,0.2,-0.00662389732381295,0.12645485915748092,0.027469095
1492.9314,11673600,964,436.32,12100,95,0.2727913411458333,0.0003,0.8360286206007004,-3.289109266847372,0.06286647170782089,940,0.2,-0.006947079218619668,0.11943712613341631,0.028550036
1464.3668,11796480,964,433.5,12228,96,0.268447265625,0.0003,0.817579448223114,-3.286960371409853,0.023806922137737274,950,0.2,-0.006740321490812372,0.14512917938351166,0.028164607
1429.3406,11919360,963,423.94,12368,97,0.27075520833333333,0.0003,0.81454236805439,-3.2987403818964958,0.03881087154150009,960,0.2,-0.007384993353043683,0.14419406727907091,0.027487734
1500.7092,12042240,963,442.64,12498,98,0.26468343098958336,0.0003,0.8308419436216354,-3.277402890784045,0.02858535200357437,970,0.2,-0.00712247475409337,0.12062145906966179,0.026933126
1444.8835,12165120,963,425.02,12626,99,0.2717976888020833,0.0003,0.8567050844430923,-3.2801612233246367,0.09124711155891418,980,0.2,-0.007522838789591333,0.1359398209003363,0.028907383
1399.1608,12288000,963,415.48,12755,100,0.27202229817708334,0.0003,0.8535097986459732,-3.2523325758799912,0.04681507498025894,990,0.2,-0.008276137191229887,0.12328946693887702,0.028795743
1451.374,12410880,963,428.44,12883,101,0.27420979817708335,0.0003,0.8361489325761795,-3.2591614048803845,-0.009984221309423447,1000,0.2,-0.007125645750729746,0.16286787082712786,0.028021634
1456.8335,12533760,963,431.78,13010,102,0.27190592447916667,0.0003,0.860009029507637,-3.2553152907267213,0.008201882243156433,1010,0.2,-0.007481601992070258,0.131453023654758,0.028851755
1444.31,12656640,963,428.58,13139,103,0.2707625325520833,0.0003,0.8362815678119659,-3.222935095615685,0.05648932605981827,1020,0.2,-0.006608547233681748,0.1439287126463023,0.028608851
1496.8599,12779520,963,439.86,13267,104,0.26845865885416664,0.0003,0.8172623664140701,-3.1968292305245996,-0.0022776294499635696,1030,0.2,-0.006877516392220665,0.11743551489188879,0.0280526
1427.3024,12902400,963,420.04,13394,105,0.26935221354166666,0.0003,0.806288406252861,-3.2117114687586823,0.04559428244829178,1040,0.2,-0.007634916883425831,0.12838488356772965,0.028406166
1360.197,13025280,963,399.84,13525,106,0.26282145182291666,0.0003,0.8667076975107193,-3.1851810905958216,0.05501937121152878,1050,0.2,-0.006840150870457365,0.13065438596133996,0.028077485
1439.1737,13148160,962,421.8,13653,107,0.26761555989583335,0.0003,0.8590471595525742,-3.183977416915198,0.028798528015613556,1060,0.2,-0.007423784609475964,0.13944783817675974,0.028035637
1441.1852,13271040,962,428.34,13782,108,0.2653702799479167,0.0003,0.8252620548009872,-3.183946033716202,0.01470944844186306,1070,0.2,-0.006947771730362244,0.1269448824041562,0.028071437
1435.821,13393920,962,428.76,13918,109,0.2644954427083333,0.0003,0.8502053916454315,-3.179701176645855,0.0657220110297203,1080,0.2,-0.006597870236003776,0.15720210073088917,0.027438564
1418.0352,13516800,962,423.14,14045,110,0.2694580078125,0.0003,0.8473935723304749,-3.1608058869838715,0.030476663261651993,1090,0.2,-0.0069116586292754315,0.13102607237553457,0.028691692
1393.2439,13639680,962,415.86,14172,111,0.27051513671875,0.0003,0.7852738052606583,-3.1735668284073473,0.041770096868276596,1100,0.2,-0.006995082128305512,0.14423885150492424,0.029071432
1461.4971,13762560,962,437.14,14299,112,0.2728548177083333,0.0003,0.8123764395713806,-3.155651678070426,0.06260240077972412,1110,0.2,-0.007380926209686246,0.14687634653130469,0.028292663
1415.6324,13885440,962,418.28,14428,113,0.272294921875,0.0003,0.8311945647001266,-3.1706615802894036,0.041746363043785095,1120,0.2,-0.007162645917608946,0.14120851803105325,0.028707957
1427.0156,14008320,962,419.04,14555,114,0.2708837890625,0.0003,0.7936408370733261,-3.1841625903422632,0.06713370978832245,1130,0.2,-0.007251165620776495,0.14883721300323183,0.028608346
1488.0778,14131200,962,435.7,14682,115,0.2708821614583333,0.0003,0.8449382334947586,-3.1714894264936446,0.0372622013092041,1140,0.2,-0.007129517348924613,0.15727404758130434,0.028709497
1418.9697,14254080,962,415.3,14809,116,0.26934163411458334,0.0003,0.7664799392223358,-3.1637207851186395,-0.0036025457084178925,1150,0.2,-0.007006363706708119,0.11968439035777313,0.028715543
1422.5425,14376960,962,419.12,14936,117,0.26855550130208333,0.0003,0.8194827139377594,-3.1591609825069704,0.0895417332649231,1160,0.2,-0.006893836209019355,0.13049471355567221,0.028446443
1469.4263,14499840,962,433.2,15065,118,0.2704833984375,0.0003,0.8096054643392563,-3.139075104991595,0.03262060880661011,1170,0.2,-0.00658436756483449,0.13997486131993356,0.029276848
1459.9191,14622720,962,426.62,15192,119,0.2661865234375,0.0003,0.8023040145635605,-3.139011169622342,0.04576494172215462,1180,0.2,-0.006787432000558814,0.1372345188856707,0.02853244
