rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction
436.18,5038080,978,41,1326.7621,5150,-0.008250437470208757,0.0003,0.14612999062752352,0.2,0.023622653,0.08059921115636826,0.8359519988298416,400,-3.770136717980107,0.24792724609375
439.66,5160960,978,42,1348.7706,5274,-0.008980788803813387,0.0003,0.1276007630332606,0.2,0.02385211,0.02783682383596897,0.8321051150560379,410,-3.749547383027772,0.25160400390625
447.64,5283840,977,43,1355.1075,5406,-0.008201089296993208,0.0003,0.1388791001898547,0.2,0.023691265,0.05463135987520218,0.8199587315320969,420,-3.7493241609384618,0.24965983072916667
445.88,5406720,977,44,1366.2426,5531,-0.008302200503737063,0.0003,0.13451212134648813,0.2,0.023634266,0.09623962640762329,0.825668141245842,430,-3.7498822213957705,0.24819498697916667
424.04,5529600,977,45,1297.1516,5657,-0.00835566350452306,0.0003,0.12262963750904116,0.2,0.023634862,0.0410468727350235,0.789674699306488,440,-3.731830731468896,0.25006266276041667
430.58,5652480,976,46,1307.3993,5786,-0.009033082956611906,0.0003,0.11700598310310549,0.2,0.02376938,0.037822410464286804,0.8547402769327164,450,-3.7339176415031154,0.24921061197916666
435.14,5775360,976,47,1342.098,5913,-0.008589440488588783,0.0003,0.12849103940835144,0.2,0.02418233,0.01314622163772583,0.8517508804798126,460,-3.699381439151863,0.25402262369791667
442.06,5898240,975,48,1368.2255,6045,-0.008352060152095267,0.0003,0.12016025432016855,0.2,0.023599505,-0.006664274260401726,0.7903806120157242,470,-3.715079044861098,0.25008056640625
424.82,6021120,975,49,1316.2961,6171,-0.008277187491712539,0.0003,0.1233036631544625,0.2,0.023563826,0.023100528866052628,0.8377344608306885,480,-3.70325364112854,0.24658447265625
443.04,6144000,974,50,1392.523,6305,-0.008487256401761746,0.0003,0.12438464200192054,0.2,0.023740888,0.024861764162778854,0.8318975865840912,490,-3.6864573845639823,0.25029866536458334
443.62,6266880,974,51,1397.2002,6433,-0.00835819302990179,0.0003,0.10942066615292181,0.2,0.024073372,0.007077667862176895,0.8317836970090866,500,-3.6786075194304186,0.25125569661458336
444.96,6389760,974,52,1384.5033,6558,-0.008253051154145699,0.0003,0.12377664846843496,0.2,0.023155002,0.03692327067255974,0.8471037596464157,510,-3.6778622365618747,0.248515625
442.84,6512640,974,53,1393.5225,6684,-0.007941790048177305,0.0003,0.13040975359103565,0.2,0.024344726,0.1661270707845688,0.7881698757410049,520,-3.6733856792002917,0.25303466796875
445.44,6635520,974,54,1417.8632,6810,-0.008623974204723103,0.0003,0.13381889700996302,0.2,0.024183642,0.05877510830760002,0.8086202591657639,530,-3.6744402710472546,0.2535693359375
428.52,6758400,974,55,1337.9844,6935,-0.008163706067819779,0.0003,0.12038358389749192,0.2,0.023984909,0.032357364892959595,0.8125429451465607,540,-3.670423898436129,0.25077392578125
429.88,6881280,973,56,1350.029,7068,-0.008251861907301644,0.0003,0.12819421162848205,0.2,0.024490308,0.007601084187626839,0.8546523749828339,550,-3.649593448874851,0.2534375
