time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/explained_variance
20766,103,1162.5349,372.0,12656640,609,-0.003295344954937415,0.31436767578125,0.2,6620,0.00757554778829217,0.03065119439026906,0.0002,0.11329872,-1.1666670220531523,0.8823955804109573
20965,104,1073.7097,348.0,12779520,609,-0.0036309385219131705,0.30781656901041665,0.2,6630,-0.007441840134561062,0.045653022853777356,0.0002,0.11491874,-1.1783094526237499,0.8624383360147476
21166,105,985.3103,327.8666666666667,12902400,609,-0.0030664053712340924,0.3124471028645833,0.2,6640,-0.0017762936186045408,0.041563611662266645,0.0002,0.119323835,-1.1834616667839388,0.8775167316198349
21366,106,1336.6873,430.53333333333336,13025280,609,-0.0027672445700788256,0.30657552083333334,0.2,6650,0.01948007196187973,0.05179521054729397,0.0002,0.11578258,-1.1618824262637646,0.8619456887245178
21566,107,1395.7833,438.53333333333336,13148160,609,-0.0030583498108444473,0.31175130208333335,0.2,6660,-0.004094047471880913,0.03710188962221006,0.0002,0.12203549,-1.1573823086855313,0.8553865849971771
21767,108,1337.078,432.46666666666664,13271040,609,-0.002332010234531481,0.307099609375,0.2,6670,0.019309308379888535,0.031079551202700107,0.0002,0.11835139,-1.1401858356874437,0.8766355067491531
21969,109,1258.6616,389.73333333333335,13393920,609,-0.003054398607511454,0.3126025390625,0.2,6680,0.008174382150173187,0.05053847818331936,0.0002,0.13548109,-1.1339029114196697,0.8653587102890015
22183,110,1336.2949,411.53333333333336,13516800,609,-0.0024542625927036475,0.30724772135416667,0.2,6690,-0.030729034915566444,0.04523660099403969,0.0002,0.12408272,-1.133198328098903,0.8586698025465012
22384,111,1101.61,341.26666666666665,13639680,609,-0.002449525687103839,0.31012369791666666,0.2,6700,0.011310452595353127,0.058943207567902695,0.0002,0.12053509,-1.1152180799469351,0.8330731689929962
22585,112,1229.0905,396.0,13762560,609,-0.0045082642579442715,0.30755452473958333,0.2,6710,-0.023844238370656967,0.04009960064856841,0.0002,0.1211723,-1.0855693032871931,0.8915759399533272
22794,113,1343.5171,420.06666666666666,13885440,609,-0.0030060455271723185,0.3088330078125,0.2,6720,-0.009277145378291607,0.04040394345956581,0.0002,0.12455886,-1.0795111315728476,0.8577178418636322
22995,114,1182.5475,393.73333333333335,14008320,609,-0.003532890526933746,0.30965494791666665,0.2,6730,0.0008829301223158836,0.049086058233964044,0.0002,0.12654679,-1.0881068871822208,0.8657511621713638
23197,115,1196.4382,375.3333333333333,14131200,609,-0.0013538334682956096,0.30004638671875,0.2,6740,-0.009584877640008926,0.037603977152386205,0.0002,0.12109653,-1.0951231371859709,0.8616146296262741
23399,116,1260.2001,422.26666666666665,14254080,609,-0.003027525841307579,0.3025236002604167,0.2,6750,-0.03710803762078285,0.03827484027213207,0.0002,0.11906045,-1.085620412705466,0.8750750720500946
23601,117,1018.7484,335.8666666666667,14376960,609,-0.003827469257175835,0.3081559244791667,0.2,6760,0.09971822798252106,0.03793291807212654,0.0002,0.124137774,-1.085197785415997,0.8711577951908112
23803,118,1025.4286,344.93333333333334,14499840,609,-0.0028697084880392747,0.3033748372395833,0.2,6770,-0.016599856317043304,0.039117124431694114,0.0002,0.124764904,-1.0650468804656217,0.83338563144207
24005,119,1034.9534,350.46666666666664,14622720,609,-0.003611660481231714,0.29892659505208335,0.2,6780,0.004521421156823635,0.03574030388588805,0.0002,0.120723896,-1.075275557783122,0.869642585515976
24206,120,1182.3881,362.4,14745600,609,-0.0028987555281097836,0.30338704427083335,0.2,6790,-0.007105221506208181,0.037770280395238845,0.0002,0.120585635,-1.087733567605416,0.8971332460641861
24406,121,943.5632,371.2,14868480,609,-0.0019502806143069998,0.29305582682291664,0.2,6800,-0.010747873224318027,0.03170844242583068,0.0002,0.11384257,-1.1013142172402393,0.8670848309993744
24609,122,1171.4236,380.2,14991360,609,-0.0029373218289917226,0.29185872395833334,0.2,6810,-0.007944999262690544,0.029687613590507075,0.0002,0.119982876,-1.090852204238375,0.8707415014505386
24819,123,1079.3788,398.4,15114240,608,-0.002821949465924263,0.2976953125,0.2,6820,-0.0307950247079134,0.04067689308190514,0.0002,0.11731605,-1.0618377208740761,0.7493665218353271
25021,124,1184.524,396.6666666666667,15237120,608,-0.0032603219446734025,0.291484375,0.2,6830,-0.030845127999782562,0.020637272994885433,0.0002,0.107148774,-1.06043745589753,0.9015219360589981
25221,125,1343.6255,413.06666666666666,15360000,609,-0.004043174178401993,0.29248616536458333,0.2,6840,-0.03623002767562866,0.031155966744143674,0.0002,0.11352318,-1.0785440205068637,0.8871920555830002
25422,126,967.3271,314.46666666666664,15482880,609,-0.0038455213591866294,0.29680989583333334,0.2,6850,-0.000181480310857296,0.026947343731471847,0.0002,0.10850891,-1.0571914956221977,0.8966327235102654
25624,127,1150.6178,373.93333333333334,15605760,609,-0.0031017269634147247,0.30137532552083335,0.2,6860,-0.019438287243247032,0.05299541141328215,0.0002,0.11565594,-1.0482121981835613,0.8559507578611374
25827,128,1281.3672,402.4,15728640,608,-0.002485060722868487,0.29435546875,0.2,6870,0.10817302763462067,0.03356198724321985,0.0002,0.11388566,-1.0551719014998526,0.9084353893995285
26028,129,1231.1145,393.46666666666664,15851520,609,-0.003645178630507265,0.2905859375,0.2,6880,-0.011065234430134296,0.043273066698024346,0.0002,0.11948671,-1.0467395566528042,0.8116354197263718
26236,130,1160.1573,399.2,15974400,608,-0.0032558839395596807,0.28954915364583333,0.2,6890,0.011782772839069366,0.03759905450388336,0.0002,0.109685704,-1.0526450797822327,0.8904707804322243
26439,131,1311.4194,421.26666666666665,16097280,608,-0.0032093528257360047,0.27965657552083334,0.2,6900,-0.020627375692129135,0.04055091516210874,0.0002,0.1073231,-1.081327915492778,0.8500450104475021
26642,132,1287.0726,411.0,16220160,608,-0.003694689238968749,0.28630859375,0.2,6910,-0.020741021260619164,0.019521492150647267,0.0002,0.10515038,-1.0661855577956885,0.8376261293888092
26844,133,1016.43915,338.53333333333336,16343040,608,-0.0036598007710184296,0.28307373046875,0.2,6920,-0.014097179286181927,0.03927338778333402,0.0002,0.11100796,-1.0678514780507733,0.8747889995574951
27046,134,1018.3193,365.3333333333333,16465920,608,-0.003283918184524737,0.2890779622395833,0.2,6930,-0.0032215616665780544,0.14558050118026813,0.0002,0.112205714,-1.0626258642257502,0.7961542457342148
27250,135,835.6,314.4,16588800,608,-0.0026465091538026776,0.2831697591145833,0.2,6940,0.0021015573292970657,0.03542270935720505,0.0002,0.10791359,-1.0549282555033763,0.8835922256112099
27456,136,1061.5793,395.4,16711680,608,-0.0037384962343397395,0.2884830729166667,0.2,6950,0.031579889357089996,0.03422603780136342,0.0002,0.108891465,-1.040168917576472,0.911268875002861
27659,137,1263.0338,399.06666666666666,16834560,608,-0.002501772493263464,0.2834855143229167,0.2,6960,-0.006238180678337812,0.02826864840626513,0.0002,0.10852334,-1.054431759407744,0.8546033054590225
27873,138,990.7148,326.6666666666667,16957440,608,-0.0027084926277560345,0.28844889322916667,0.2,6970,-0.0014005168341100216,0.02968246986125602,0.0002,0.11251283,-1.0454321024722109,0.8139769434928894
28075,139,1136.004,402.93333333333334,17080320,608,-0.003607885628856214,0.29111409505208335,0.2,6980,0.0077625904232263565,0.04297084309973191,0.0002,0.11199971,-1.04329359014829,0.8879807740449905
