time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss
7372800,381.26666666666665,1447.1047,701,60,10513,0.0002,0.0958910807967186,0.6738215386867523,0.4179768880208333,2520,-0.007521431790028146,0.14300720750548257,0.2,0.15415554,-1.1407377835021664
7495680,324.73333333333335,1198.6481,700,61,10696,0.0002,0.001157917082309723,0.6778843998908997,0.41821451822916667,2530,-0.006428094917828276,0.1412995179994808,0.2,0.15550184,-1.1238180387206376
7618560,414.3333333333333,1569.5847,700,62,10873,0.0002,0.019657760858535767,0.7108019888401031,0.41614420572916666,2540,-0.007012328480129023,0.13861464797189305,0.2,0.15170714,-1.1504592219274492
7741440,344.73333333333335,1299.7673,700,63,11048,0.0002,0.08081145584583282,0.6649713218212128,0.41837483723958335,2550,-0.006954492898942893,0.145605816776709,0.2,0.15704988,-1.1398306399056066
7864320,368.8666666666667,1418.9868,700,64,11224,0.0002,0.046422459185123444,0.688744455575943,0.4162117513020833,2560,-0.007555721295908977,0.13822132044801644,0.2,0.15149885,-1.1544418645681191
7987200,377.6,1410.0002,700,65,11402,0.0002,0.06654508411884308,0.6915217936038971,0.41665283203125,2570,-0.007042355412486359,0.14101560508366673,0.2,0.15141903,-1.1408895808489372
8110080,324.93333333333334,1236.8085,700,66,11578,0.0002,0.0379101037979126,0.7120361030101776,0.41323486328125,2580,-0.0075885484346933174,0.13977459306518236,0.2,0.15038283,-1.1502744788769632
8232960,394.53333333333336,1451.1448,699,67,11763,0.0002,0.06727848947048187,0.686970978975296,0.41618733723958334,2590,-0.00611543894974299,0.1433537434747753,0.2,0.15283664,-1.1363560411923876
8355840,375.26666666666665,1430.1704,699,68,11938,0.0002,0.004084333777427673,0.6865842044353485,0.415576171875,2600,-0.007597526005556574,0.14271482862425425,0.2,0.15951201,-1.1397680385348699
8478720,408.8,1519.5243,699,69,12116,0.0002,0.013321183621883392,0.7000052332878113,0.4147021484375,2610,-0.006777998661206463,0.14040942618924115,0.2,0.15015933,-1.1437248088698835
8601600,425.53333333333336,1613.6129,699,70,12292,0.0002,0.15826471149921417,0.7136730551719666,0.41769612630208336,2620,-0.006942811835745791,0.14354896039983336,0.2,0.1525665,-1.1307614295308788
8724480,319.6,1200.069,699,71,12470,0.0002,-0.011811856180429459,0.6963261067867279,0.41284912109375,2630,-0.007104475935235921,0.13786321324267192,0.2,0.14850906,-1.1214482025057078
8847360,354.53333333333336,1346.1818,699,72,12649,0.0002,0.024820975959300995,0.7154808938503265,0.41463297526041665,2640,-0.008191796317714762,0.13791184325750994,0.2,0.14857492,-1.15110011835893
8970240,400.8666666666667,1527.6935,699,73,12825,0.0002,0.15608695149421692,0.6876029372215271,0.41458984375,2650,-0.00807013859937797,0.13728194892037815,0.2,0.1535051,-1.1240483504192282
9093120,344.1333333333333,1285.5,699,74,13002,0.0002,0.03861473128199577,0.6731773316860199,0.41498697916666666,2660,-0.007654052545494778,0.1466842300882369,0.2,0.15014009,-1.1274131614125023
9216000,347.8666666666667,1297.6743,699,75,13182,0.0002,0.04694425314664841,0.6955912411212921,0.4117122395833333,2670,-0.008223213839931607,0.13606385353040726,0.2,0.15229063,-1.1250073580505948
9338880,403.8666666666667,1537.5781,699,76,13359,0.0002,0.1585545688867569,0.674828439950943,0.4123453776041667,2680,-0.007283095695293014,0.14143137989051563,0.2,0.15307835,-1.10967923435693
9461760,420.6,1604.0706,698,77,13539,0.0002,0.1136944591999054,0.6645005941390991,0.41118733723958334,2690,-0.006582173296925855,0.14438076464585417,0.2,0.15110275,-1.114423697196568
9584640,369.26666666666665,1405.129,698,78,13718,0.0002,0.053291626274585724,0.6352032124996185,0.4112955729166667,2700,-0.007331611196962816,0.14637791950750398,0.2,0.14812602,-1.1164948730946829
9707520,394.46666666666664,1494.2047,698,79,13896,0.0002,0.06779785454273224,0.6696752309799194,0.41249918619791665,2710,-0.0074518439390340065,0.14357102244199874,0.2,0.15052937,-1.1072680782619864
9830400,349.8666666666667,1291.1245,698,80,14076,0.0002,0.0559711791574955,0.6785377264022827,0.41062093098958335,2720,-0.007265713439786244,0.14344370870598747,0.2,0.15326236,-1.1062790956286093
9953280,402.53333333333336,1502.8513,698,81,14254,0.0002,0.019701091572642326,0.685543954372406,0.41048095703125,2730,-0.007216811767005614,0.13810306878353004,0.2,0.15015689,-1.1039536602826168
10076160,406.53333333333336,1564.3044,698,82,14435,0.0002,0.09279341250658035,0.6729965806007385,0.40890299479166664,2740,-0.0073336222081161395,0.14379736266225032,0.2,0.1592981,-1.0921825922404726
10199040,394.1333333333333,1485.1754,697,83,14615,0.0002,0.02806694060564041,0.6446380019187927,0.40926513671875,2750,-0.007369723757680428,0.15031855214348375,0.2,0.14954327,-1.0936991265198837
10321920,336.26666666666665,1282.4255,697,84,14792,0.0002,-0.0056517720222473145,0.65047487616539,0.40996826171875,2760,-0.00800757805978113,0.14930373543980144,0.2,0.15274101,-1.1050214798717448
10444800,351.8,1310.864,697,85,14969,0.0002,0.03517240285873413,0.6755488514900208,0.40968180338541665,2770,-0.007945775617790786,0.14085497343194825,0.2,0.14682703,-1.1143962138642867
10567680,333.73333333333335,1241.082,697,86,15147,0.0002,0.029085196554660797,0.6718640029430389,0.4080965169270833,2780,-0.007633281747045354,0.14404221924138255,0.2,0.14721711,-1.0974032727566858
10690560,388.6,1501.0858,697,87,15327,0.0002,0.023907244205474854,0.6843623518943787,0.4109912109375,2790,-0.007667755499708922,0.1394823746897358,0.2,0.15173994,-1.1144388963934033
10813440,362.6666666666667,1357.3615,697,88,15504,0.0002,0.015482626855373383,0.6715498864650726,0.4109130859375,2800,-0.008067013483535751,0.14352906949381578,0.2,0.14941159,-1.126127252765
10936320,367.2,1374.9832,697,89,15680,0.0002,0.10686139017343521,0.675599992275238,0.41114664713541665,2810,-0.007999304132026737,0.1442724004459645,0.2,0.1542929,-1.1327216507215052
11059200,408.3333333333333,1525.1786,697,90,15860,0.0002,-0.02206793986260891,0.6772782802581787,0.4114111328125,2820,-0.008373450533144932,0.14575842132539643,0.2,0.15144326,-1.1334028098142395
11182080,412.6,1546.6876,697,91,16038,0.0002,0.08811768889427185,0.6734156608581543,0.40897216796875,2830,-0.00724537140329024,0.14620730134862242,0.2,0.15425467,-1.0939603803058466
11304960,422.26666666666665,1587.2336,697,92,16216,0.0002,0.032088249921798706,0.6714800596237183,0.4089558919270833,2840,-0.0075225365535819344,0.146918823698846,0.2,0.15518537,-1.1161008354121198
11427840,381.8,1436.983,696,93,16395,0.0002,0.019120164215564728,0.675465852022171,0.40776123046875,2850,-0.00713871101865152,0.14309591264968427,0.2,0.15670799,-1.0870987136568875
11550720,396.2,1499.3234,696,94,16573,0.0002,0.017847470939159393,0.699079155921936,0.4064990234375,2860,-0.006944775728861714,0.13624226629549716,0.2,0.14999785,-1.0946984496650596
11673600,331.93333333333334,1279.5469,696,95,16751,0.0002,0.02048870176076889,0.6806774139404297,0.40439208984375,2870,-0.007413236076560376,0.1403765606964589,0.2,0.14796266,-1.1162450606096537
11796480,360.06666666666666,1388.4371,696,96,16927,0.0002,0.11462551355361938,0.6680228412151337,0.4095100911458333,2880,-0.007978922767430655,0.14063062119608125,0.2,0.1549081,-1.110670406371355
11919360,384.4,1441.9462,696,97,17105,0.0002,0.030801869928836823,0.6338499784469604,0.40671875,2890,-0.008093973158568891,0.15517639572916475,0.2,0.15305758,-1.1055065363148848
12042240,400.6666666666667,1542.4196,695,98,17305,0.0002,0.09505225718021393,0.667870968580246,0.4062809244791667,2900,-0.007151465660645045,0.1428284699981062,0.2,0.14673956,-1.1128463899902998
12165120,376.06666666666666,1425.7096,695,99,17483,0.0002,0.15745335817337036,0.6876591145992279,0.40603515625,2910,-0.007684039922660304,0.13915818931418472,0.2,0.14598776,-1.1299232904675107
12288000,368.93333333333334,1395.2164,695,100,17660,0.0002,-0.005459807813167572,0.6822371482849121,0.406865234375,2920,-0.007834485384285775,0.14234326057873356,0.2,0.14473076,-1.1336351927990715
12410880,350.0,1347.7794,695,101,17837,0.0002,0.03685789555311203,0.6494037210941315,0.40784261067708333,2930,-0.007665935885615909,0.14867270206770627,0.2,0.15182598,-1.1307963630526017
12533760,425.0,1605.2528,695,102,18016,0.0002,0.01888645999133587,0.6714454293251038,0.40831136067708335,2940,-0.007915580143083693,0.14330984329940596,0.2,0.14780805,-1.1422452003291497
12656640,362.3333333333333,1385.6656,695,103,18192,0.0002,0.028153620660305023,0.6809909641742706,0.41006103515625,2950,-0.007806753623202288,0.14011969770450378,0.2,0.15109065,-1.1256338224653155
12779520,450.0,1690.5745,695,104,18371,0.0002,-0.010997757315635681,0.6715975105762482,0.4100594075520833,2960,-0.007173419733086727,0.1401114778474827,0.2,0.14942725,-1.1243402676781018
12902400,349.6,1349.2863,695,105,18546,0.0002,0.023130279034376144,0.6649504601955414,0.407060546875,2970,-0.007449605966485251,0.14691511879801206,0.2,0.15041709,-1.1123017178848387
13025280,388.93333333333334,1492.0988,695,106,18721,0.0002,0.053016357123851776,0.6761242747306824,0.40797770182291665,2980,-0.0074447368406981695,0.14084699959882224,0.2,0.14782219,-1.124741862549757
13148160,426.6,1619.2039,695,107,18898,0.0002,0.1126919761300087,0.6985384523868561,0.4046175130208333,2990,-0.0076626618533767515,0.13593330972110076,0.2,0.15243782,-1.118444191267093
13271040,429.1333333333333,1604.0541,695,108,19074,0.0002,-0.025855420157313347,0.6917422115802765,0.40745442708333335,3000,-0.008059290783688387,0.13316400581699175,0.2,0.14850737,-1.14257440320837
13393920,330.0,1257.1973,695,109,19251,0.0002,0.05463605001568794,0.6818167269229889,0.40909261067708336,3010,-0.008295230962315448,0.13806071116850943,0.2,0.149442,-1.1339582797512413
13516800,405.2,1526.4354,695,110,19429,0.0002,0.04709465429186821,0.6879804134368896,0.40562581380208335,3020,-0.007370651971402064,0.13922559447377958,0.2,0.14476775,-1.1298358551971615
13639680,391.8,1515.6289,695,111,19604,0.0002,0.06401430070400238,0.6687503457069397,0.40390869140625,3030,-0.00738775174290519,0.152285618786118,0.2,0.15252319,-1.1167600871343166
13762560,377.3333333333333,1392.9417,695,112,19781,0.0002,0.01902511902153492,0.6801310777664185,0.40759521484375,3040,-0.008481175060239063,0.14327446809135533,0.2,0.14920975,-1.144371830833455
13885440,422.8666666666667,1599.0834,695,113,19956,0.0002,0.09610256552696228,0.6388185322284698,0.40715413411458334,3050,-0.008505375043696403,0.14660236414318206,0.2,0.15085904,-1.130168586373329
14008320,430.53333333333336,1653.0623,695,114,20134,0.0002,-0.00880035012960434,0.6573097109794617,0.40595621744791666,3060,-0.008304240144825599,0.1507859502354404,0.2,0.15103509,-1.1176212776949008
14131200,378.1333333333333,1426.3973,695,115,20310,0.0002,0.043995026499032974,0.6428431570529938,0.40467203776041666,3070,-0.006900823066177206,0.15111850873654475,0.2,0.15500192,-1.1051371548573177
14254080,399.73333333333335,1482.3097,695,116,20487,0.0002,0.0077661387622356415,0.6680583357810974,0.40412027994791666,3080,-0.007838168758498796,0.14780335049523274,0.2,0.1480284,-1.126839296463877
14376960,393.46666666666664,1514.5353,695,117,20665,0.0002,0.09098702669143677,0.6673623621463776,0.40382731119791665,3090,-0.00777810291632098,0.14503986164626742,0.2,0.14956315,-1.1349635367592177
14499840,425.3333333333333,1609.038,695,118,20841,0.0002,0.043661974370479584,0.6950704157352448,0.4036051432291667,3100,-0.008740424347573328,0.13659515516095175,0.2,0.14574051,-1.144943169017012
14622720,388.53333333333336,1493.8647,695,119,21016,0.0002,-0.012143624946475029,0.6620276570320129,0.4035465494791667,3110,-0.008245432871517551,0.14528123358128747,0.2,0.14849424,-1.139533954129244
14745600,412.93333333333334,1562.9851,695,120,21189,0.0002,0.02264299988746643,0.6714359819889069,0.40412353515625,3120,-0.008581737993093459,0.14489729635592086,0.2,0.14997019,-1.1301214259459327
14868480,392.8666666666667,1526.7891,695,121,21363,0.0002,-0.004520285874605179,0.6681222915649414,0.40681070963541666,3130,-0.008377313420108596,0.14907418049144325,0.2,0.1482422,-1.1739306613523512
14991360,389.46666666666664,1479.6824,695,122,21539,0.0002,0.010846763849258423,0.6811329126358032,0.40463460286458336,3140,-0.007857667116404628,0.13778147066914243,0.2,0.14969043,-1.1404888507320234
15114240,408.53333333333336,1547.196,696,123,21714,0.0002,0.033537477254867554,0.6765429079532623,0.40777099609375,3150,-0.008371675335323138,0.1395231291644935,0.2,0.15332733,-1.1398364898345124
15237120,390.2,1492.9596,696,124,21892,0.0002,0.03678485378623009,0.6796004176139832,0.40435628255208333,3160,-0.008192811020671797,0.13820929324710354,0.2,0.14917223,-1.1451183652908852
15360000,411.6666666666667,1565.1602,696,125,22067,0.0002,0.014528242871165276,0.6656742691993713,0.410107421875,3170,-0.00804241391756174,0.14415484224213287,0.2,0.1521897,-1.1624819432881972
15482880,410.8666666666667,1576.4377,695,126,22245,0.0002,-0.012612562626600266,0.661902904510498,0.40349772135416667,3180,-0.006718093393061887,0.14773015489685348,0.2,0.14888887,-1.1358472632213186
15605760,394.3333333333333,1526.5555,696,127,22419,0.0002,0.029114628210663795,0.6718205511569977,0.40330403645833335,3190,-0.00791476071381112,0.13752897882048273,0.2,0.15102218,-1.1261680298112333
