time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance
604,391.3333333333333,1558.5377,112,13762560,22758,0.09466952163022749,0.0002,-0.7270640560984611,0.2,0.090592355,0.23287272135416667,0.0026851780712604523,-0.005544123827451889,10380,0.8042635470628738
604,386.73333333333335,1518.8563,113,13885440,22962,0.08089427826826674,0.0002,-0.7316871137963608,0.2,0.09184514,0.23353841145833334,0.0031466707587242126,-0.005766843855371917,10390,0.8584289848804474
604,387.1333333333333,1548.7805,114,14008320,23169,0.10145496176643064,0.0002,-0.7382463947714617,0.2,0.1094965,0.23798665364583332,0.030981745570898056,-0.005882889446723614,10400,0.8362778425216675
604,385.8,1535.3601,115,14131200,23376,0.10587097742803356,0.0002,-0.7326555769580106,0.2,0.10883131,0.23743408203125,0.009988587349653244,-0.005126282081710088,10410,0.8634763658046722
604,417.6,1712.017,116,14254080,23582,0.08610238912786979,0.0002,-0.735190434261846,0.2,0.08805494,0.23275716145833333,0.03264038264751434,-0.0051371075617801885,10420,0.8604275584220886
604,386.2,1536.3456,117,14376960,23787,0.08449176847158621,0.0002,-0.7400657680847993,0.2,0.08907398,0.23119791666666667,0.012497128918766975,-0.005011069748576726,10430,0.884095586836338
604,402.93333333333334,1657.6016,118,14499840,23994,0.07900979274779578,0.0002,-0.7526236098399386,0.2,0.08593241,0.23404215494791666,-0.008266419172286987,-0.005931731836990366,10440,0.8845464363694191
604,388.06666666666666,1560.8593,119,14622720,24201,0.09257696333375255,0.0002,-0.7512767798065518,0.2,0.08892895,0.23593668619791666,0.090007483959198,-0.004632236709288312,10450,0.8536327630281448
604,377.3333333333333,1541.9409,120,14745600,24405,0.10406496705043537,0.0002,-0.7475711439767232,0.2,0.09979682,0.23760498046875,0.012611787766218185,-0.005192888356641561,10460,0.871751993894577
604,381.26666666666665,1533.7689,121,14868480,24610,0.10198241558352795,0.0002,-0.7489988109174495,0.2,0.09881837,0.23645914713541666,-0.016876084730029106,-0.0055538598846214884,10470,0.8804937675595284
604,405.53333333333336,1633.232,122,14991360,24816,0.09336723929280803,0.0002,-0.7503780349654456,0.2,0.09045338,0.23512776692708334,0.005349062383174896,-0.0060304836498835356,10480,0.8757756501436234
604,386.93333333333334,1582.6882,123,15114240,25020,0.07792708722661094,0.0002,-0.7436311133888861,0.2,0.09098639,0.23500244140625,0.06615940481424332,-0.005423483577105799,10490,0.8746892511844635
603,431.73333333333335,1761.174,124,15237120,25227,0.09521931321306813,0.0002,-0.7466091509039203,0.2,0.08897483,0.23795328776041666,0.03172658756375313,-0.005830484540583711,10500,0.8588035255670547
603,371.53333333333336,1524.0126,125,15360000,25431,0.07558888702789167,0.0002,-0.7427738776089002,0.2,0.08895818,0.23285807291666666,0.013049371540546417,-0.00543832980691756,10510,0.8735967427492142
603,378.46666666666664,1512.3075,126,15482880,25634,0.10686868665832056,0.0002,-0.7457295936904847,0.2,0.0940416,0.23741861979166667,0.0077377185225486755,-0.004907633730266146,10520,0.7822331488132477
603,384.2,1583.1486,127,15605760,25841,0.0840200904761635,0.0002,-0.7378263894390936,0.2,0.09501613,0.23545084635416666,0.03501373901963234,-0.005463192319330119,10530,0.8965205252170563
603,353.6,1426.5087,128,15728640,26055,0.08432415001593957,0.0002,-0.7507774731051177,0.2,0.09229824,0.23670817057291665,0.02887577749788761,-0.005554904416476348,10540,0.868648111820221
603,409.93333333333334,1657.8468,129,15851520,26258,0.08392710478103255,0.0002,-0.7463427305563043,0.2,0.10267304,0.23571614583333333,0.05951423943042755,-0.005962279113009572,10550,0.8885909914970398
603,409.06666666666666,1724.8538,130,15974400,26460,0.09149578096073431,0.0002,-0.7341628554308166,0.2,0.09140342,0.23597086588541666,0.004475796595215797,-0.005338469970611186,10560,0.8332768380641937
602,383.1333333333333,1541.7399,131,16097280,26699,0.08409888138252426,0.0002,-0.7462692573061213,0.2,0.09196422,0.23595865885416667,0.0039724018424749374,-0.005183146435241118,10570,0.8756916746497154
602,384.06666666666666,1533.0432,132,16220160,26901,0.09210737878391229,0.0002,-0.7538006553736826,0.2,0.084441684,0.23368326822916666,-0.0034516658633947372,-0.00473563584289271,10580,0.8582325577735901
602,384.46666666666664,1588.9299,133,16343040,27103,0.10006357851772918,0.0002,-0.7428622862696648,0.2,0.08949124,0.23653645833333334,0.061841268092393875,-0.0052225123243624695,10590,0.8553894311189651
602,414.3333333333333,1654.0691,134,16465920,27320,0.08336122909895494,0.0002,-0.7342200487634788,0.2,0.091066815,0.23435221354166666,-0.0005539171397686005,-0.004193724082476062,10600,0.8635227084159851
602,401.6,1642.7511,135,16588800,27523,0.1187096741258089,0.0002,-0.7275070533420269,0.2,0.09418266,0.23723470052083334,0.20235294103622437,-0.004441325748751599,10610,0.8156998008489609
602,450.0,1859.2238,136,16711680,27730,0.08053051734634209,0.0002,-0.7364218766211221,0.2,0.07993822,0.23166829427083332,0.0036093825474381447,-0.003799585698188821,10620,0.8725748956203461
602,363.73333333333335,1502.6066,137,16834560,27936,0.08612912090946338,0.0002,-0.7309014742138485,0.2,0.08312117,0.23061767578125,-0.006368046626448631,-0.004874235415354633,10630,0.8526144623756409
602,373.1333333333333,1513.9546,138,16957440,28143,0.11082321693359215,0.0002,-0.7367138846451416,0.2,0.08525642,0.23475260416666666,0.0187637098133564,-0.0040490973615366485,10640,0.847492516040802
601,391.4,1593.6364,139,17080320,28382,0.09798946449972087,0.0002,-0.7353509264765308,0.2,0.088103384,0.23739339192708334,0.03780422359704971,-0.0052322371761298805,10650,0.8432981669902802
601,384.93333333333334,1552.5837,140,17203200,28588,0.08975508915216779,0.0002,-0.7368934022511046,0.2,0.08947893,0.23847330729166666,0.00486108660697937,-0.004740637891800361,10660,0.8471980094909668
