time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/clip_range
19496960,301,64575,119,1246.9194,450.0,0.0,0.0,0.9446306936442852,-7.05949787516147e-11,1180,0.0003,-2.2736590036938016e-10,0.0592839749954328,0.01728971302509308,0.2
19660800,301,65110,120,934.9844,450.0,0.0,0.0,0.9474023580551147,-1.1484871720313095e-10,1190,0.0003,-2.8449950055574413e-10,0.059830463802759366,0.03076479211449623,0.2
19824640,301,65651,121,912.2078,450.0,0.0,0.0,0.9456661976873875,2.6291218091500922e-11,1200,0.0003,-2.087972992438202e-10,0.057542548353785604,0.016017016023397446,0.2
19988480,302,66179,122,1070.5327,450.0,0.0,0.0,0.9539503119885921,2.129775111825438e-10,1210,0.0003,-2.255874518223677e-10,0.047779462277526365,0.04822801053524017,0.2
20152320,302,66711,123,1024.1125,450.0,0.0,0.0,0.9431496821343899,-1.3001113075006287e-10,1220,0.0003,-2.2752373606539058e-10,0.062362795641902266,0.05581754446029663,0.2
20316160,302,67239,124,1047.7388,450.0,0.0,0.0,0.9548971951007843,3.6810661185882057e-11,1230,0.0003,-2.2837589318087872e-10,0.04935286453412118,0.007853977382183075,0.2
20480000,302,67780,125,958.8501,450.0,0.0,0.0,0.9422865137457848,-6.718323675158899e-12,1240,0.0003,-2.1443796518528548e-10,0.062354950105818714,0.004724754951894283,0.2
20643840,302,68316,126,935.14014,450.0,0.0,0.0,0.9570028856396675,6.074515113141388e-11,1250,0.0003,-2.194084967185807e-10,0.047678971281484336,0.039372559636831284,0.2
20807680,302,68849,127,912.2472,450.0,0.0,0.0,0.9421135783195496,-1.874741428764537e-10,1260,0.0003,-2.0961447601928617e-10,0.06325696048437748,0.04071676731109619,0.2
20971520,302,69431,128,981.7385,450.0,0.0,0.0,0.9535152018070221,-1.8902255760622212e-10,1270,0.0003,-1.9438279162420923e-10,0.04758880736627361,0.0027357107028365135,0.2
