time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss
53,450.0,1453.2228,6512640,749,8687,0.10339906474197051,810,-2.393316872101277,0.0002,0.7380262613296509,0.2,0.10483308,-0.01504932314105948,0.48010904947916666,-0.04053420200943947
54,444.2,1408.7247,6635520,749,8856,0.11250276168614315,820,-2.402327751554549,0.0002,0.7230114042758942,0.2,0.104732595,-0.014661274938722879,0.4803385416666667,-0.0051801567897200584
55,450.0,1475.1648,6758400,748,9024,0.09921575541991236,830,-2.33812136285007,0.0002,0.7122083008289337,0.2,0.108462684,-0.014527680705068633,0.48277099609375,-0.023937039077281952
56,450.0,1483.9011,6881280,748,9192,0.10994026167352179,840,-2.427568542373677,0.0002,0.7129269242286682,0.2,0.1020023,-0.015030305633202564,0.4788566080729167,0.012779749929904938
57,433.0,1404.1769,7004160,748,9357,0.11478829110230436,850,-2.4312923031797014,0.0002,0.7013344466686249,0.2,0.102507405,-0.014937332790953708,0.47705322265625,-0.006636131554841995
58,437.8,1446.95,7127040,748,9526,0.12653838972735684,860,-2.416525493686398,0.0002,0.6486022174358368,0.2,0.10125089,-0.014782764133948755,0.4785107421875,-0.015910441055893898
59,450.0,1497.1667,7249920,747,9694,0.12234743439126759,870,-2.40308470432957,0.0002,0.6246890425682068,0.2,0.10362527,-0.014464685622321364,0.48028157552083334,-0.001386888325214386
60,450.0,1502.6019,7372800,744,9896,0.1359470904028664,880,-2.471814445567628,0.0002,0.6405470669269562,0.2,0.09729903,-0.014548409137266087,0.47451416015625,0.04915715381503105
61,450.0,1489.9401,7495680,744,10064,0.13220828018151223,890,-2.4264219360922774,0.0002,0.6051043570041656,0.2,0.10123186,-0.014852976209904228,0.47705973307291666,0.15857775509357452
62,450.0,1436.2172,7618560,743,10244,0.12667182648772723,900,-2.34617927181224,0.0002,0.6869628131389618,0.2,0.10590602,-0.013318053881248489,0.4807234700520833,0.048522915691137314
63,450.0,1449.8995,7741440,743,10412,0.13570999674251652,910,-2.39529706661279,0.0002,0.608073890209198,0.2,0.10607691,-0.014831562034117573,0.47967692057291667,0.03055597096681595
64,450.0,1496.6681,7864320,743,10581,0.12606936783685038,920,-2.3056638979601365,0.0002,0.6732123494148254,0.2,0.10738074,-0.01317409668513695,0.48189615885416665,-0.018358170986175537
65,450.0,1481.8405,7987200,742,10755,0.1268333586625522,930,-2.297781310106317,0.0002,0.6679882705211639,0.2,0.10693676,-0.013430130091243579,0.4765543619791667,0.15992256999015808
66,450.0,1500.1984,8110080,742,10923,0.1282263550495069,940,-2.2955262866367896,0.0002,0.6670360267162323,0.2,0.10526791,-0.013509649201077991,0.47681559244791666,0.08420693129301071
67,450.0,1505.7593,8232960,742,11092,0.1385624476862237,950,-2.330155197332303,0.0002,0.6071869730949402,0.2,0.1035086,-0.01366521286533801,0.47249430338541665,0.0035542836412787437
68,432.73333333333335,1429.8931,8355840,741,11261,0.1253882835088977,960,-2.2910577554441987,0.0002,0.677055150270462,0.2,0.10560908,-0.012574689129172232,0.47642822265625,-0.008868400007486343
69,450.0,1490.8196,8478720,741,11428,0.1306536933875759,970,-2.286542227411022,0.0002,0.6508673131465912,0.2,0.105630584,-0.012628282366749772,0.47284342447916666,0.1276865005493164
70,450.0,1535.8655,8601600,741,11598,0.13307385024488516,980,-2.3163383458927274,0.0002,0.6452323198318481,0.2,0.10280724,-0.012294908399496004,0.4721370442708333,-0.024800635874271393
71,450.0,1553.3518,8724480,741,11768,0.14012369397979152,990,-2.3096474770766995,0.0002,0.6165262162685394,0.2,0.10388028,-0.012589404577726478,0.4680485026041667,0.10159778594970703
72,427.93333333333334,1451.141,8847360,741,11938,0.14325911680915548,1000,-2.362328714001924,0.0002,0.5850788652896881,0.2,0.10038434,-0.013090405854430477,0.4677880859375,0.06659828126430511
73,450.0,1482.6178,8970240,738,12141,0.13026112243280902,1010,-2.270445481799543,0.0002,0.6242999136447906,0.2,0.10933534,-0.012443210556866688,0.47240641276041667,-0.005853146314620972
74,450.0,1525.4126,9093120,738,12308,0.13734315250510312,1020,-2.258371858733396,0.0002,0.6139506697654724,0.2,0.10973177,-0.012231945472534183,0.47171712239583335,-0.011131183244287968
75,450.0,1496.2421,9216000,738,12476,0.12498971057585247,1030,-2.1752283134746055,0.0002,0.6961527764797211,0.2,0.11536166,-0.010696621032930126,0.47259358723958333,0.02241586521267891
76,450.0,1434.7416,9338880,738,12643,0.13008458932386324,1040,-2.2198554521488645,0.0002,0.6209238469600677,0.2,0.110403985,-0.011963328280453425,0.47438395182291665,-0.01929350197315216
77,442.8666666666667,1422.7131,9461760,738,12810,0.12901044116796886,1050,-2.1466390398020545,0.0002,0.6505752801895142,0.2,0.11933666,-0.01204261993582501,0.47851725260416667,-0.03216272592544556
78,450.0,1495.4976,9584640,738,12980,0.10962259766480807,1060,-1.9252534834295512,0.0002,0.7408396303653717,0.2,0.14021668,-0.008515237026252483,0.480009765625,0.017871182411909103
79,436.46666666666664,1426.9998,9707520,738,13151,0.12166150485893013,1070,-2.025960267484188,0.0002,0.6913284063339233,0.2,0.12687603,-0.010407665564495497,0.47946533203125,-0.02841431088745594
80,450.0,1466.7678,9830400,738,13318,0.10791223100022762,1080,-1.9765749046641092,0.0002,0.7095267176628113,0.2,0.13252045,-0.010362566500086056,0.47970133463541664,0.012378264218568802
81,407.3333333333333,1334.8142,9953280,737,13503,0.123300111352922,1090,-2.0400949850740533,0.0002,0.6970324218273163,0.2,0.13048898,-0.010917459376499513,0.48085856119791665,0.02926306053996086
82,421.6666666666667,1345.8761,10076160,736,13672,0.1262758267946386,1100,-1.9341641134768723,0.0002,0.7042717337608337,0.2,0.1363261,-0.008804232080865403,0.4796223958333333,0.2160111963748932
