time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl
4769,721,1387.0731,28,3440640,386.73333333333335,0.42924886067708334,2200,0.2,0.0002,0.07115915417671204,-0.0075563749249461885,0.14029005780010873,0.6670413315296173,-1.1772958287099997,0.15914133
4945,720,1488.0653,29,3563520,396.46666666666664,0.43076009114583336,2210,0.2,0.0002,0.0653807669878006,-0.0067841019316983876,0.13526284821913578,0.684033215045929,-1.180751937686776,0.1575845
5121,719,1443.2675,30,3686400,393.0,0.4318212890625,2220,0.2,0.0002,0.01837761700153351,-0.007884200528569635,0.1402816538726135,0.6848310828208923,-1.1966870445664972,0.15491897
5331,714,1503.2675,31,3809280,406.3333333333333,0.42795654296875,2230,0.2,0.0002,0.029850170016288757,-0.007367517177353875,0.13278116856701672,0.6875723004341125,-1.1997481106811514,0.15459658
5505,714,1593.134,32,3932160,425.8666666666667,0.42811442057291665,2240,0.2,0.0002,0.04352652654051781,-0.007068486083996201,0.14417410377548853,0.6757763028144836,-1.1813676984856527,0.15609364
5681,713,1429.0521,33,4055040,387.2,0.4326904296875,2250,0.2,0.0002,0.057516470551490784,-0.007105270905231009,0.13902709632238838,0.6816731095314026,-1.1852655111004908,0.16024162
5867,712,1600.486,34,4177920,431.06666666666666,0.4285457356770833,2260,0.2,0.0002,-0.004057334735989571,-0.007431549054090283,0.14409714974298063,0.6939656436443329,-1.2028043836572517,0.15620102
6043,711,1466.2853,35,4300800,393.53333333333336,0.4278263346354167,2270,0.2,0.0002,0.009607665240764618,-0.006852620983669719,0.13652867734383714,0.6933029294013977,-1.1885125378891825,0.15420605
6254,707,1308.6686,36,4423680,353.46666666666664,0.42940104166666665,2280,0.2,0.0002,0.05190831422805786,-0.007004258060430099,0.13950693253233717,0.6886725425720215,-1.1979235932944963,0.15157515
6430,707,1407.028,37,4546560,376.53333333333336,0.43029622395833333,2290,0.2,0.0002,0.025568600744009018,-0.007566031812233026,0.13828361719487778,0.7075333595275879,-1.2035642830096185,0.159038
6605,706,1343.502,38,4669440,364.26666666666665,0.4294913736979167,2300,0.2,0.0002,-0.02307169884443283,-0.007160165471741493,0.1341454153881447,0.7093654572963715,-1.1920665180155388,0.15773878
6781,706,1398.5748,39,4792320,384.26666666666665,0.42832600911458335,2310,0.2,0.0002,0.04756419360637665,-0.006717189642167796,0.1397180233191466,0.6926144957542419,-1.2005417523812503,0.15447998
6992,702,1238.054,40,4915200,333.93333333333334,0.4304964192708333,2320,0.2,0.0002,-0.0008946377784013748,-0.00430375917035235,0.1384453126982165,0.756125271320343,-1.2013608703110368,0.15751323
7169,702,1337.9117,41,5038080,349.6666666666667,0.4285050455729167,2330,0.2,0.0002,0.020618237555027008,-0.007127299331168615,0.1380306349088399,0.6770153939723969,-1.2063792743626982,0.15164945
7342,702,1521.7805,42,5160960,412.93333333333334,0.42964029947916665,2340,0.2,0.0002,0.022376731038093567,-0.007731896248575746,0.1387016757489376,0.6871605813503265,-1.2271405725336324,0.15268163
7533,701,1448.6307,43,5283840,386.93333333333334,0.42603922526041665,2350,0.2,0.0002,0.10214290767908096,-0.007961737092552237,0.13510393198075082,0.7069724798202515,-1.1906061849494776,0.16109158
7709,701,1605.176,44,5406720,444.53333333333336,0.42677652994791665,2360,0.2,0.0002,0.014757703989744186,-0.008012453757558735,0.13100724399778604,0.7089630663394928,-1.201827169119691,0.15706949
7885,701,1350.912,45,5529600,376.26666666666665,0.4274064127604167,2370,0.2,0.0002,0.13996712863445282,-0.00772733092834945,0.13902186157928859,0.6981239020824432,-1.2050566232266526,0.1556926
8057,701,1518.545,46,5652480,415.73333333333335,0.4287215169270833,2380,0.2,0.0002,0.025048183277249336,-0.007462607631102097,0.13697862224042182,0.678153395652771,-1.2115370496983329,0.15502234
8233,701,1331.3763,47,5775360,360.73333333333335,0.42868245442708336,2390,0.2,0.0002,0.03205832093954086,-0.00751168965026712,0.13773559453130776,0.6972421407699585,-1.2059580524327855,0.15368305
8409,701,1269.7207,48,5898240,335.6,0.42777587890625,2400,0.2,0.0002,0.11010144650936127,-0.008238399793541854,0.14246931888250403,0.6784506738185883,-1.209922847347334,0.15624341
8584,701,1332.139,49,6021120,364.53333333333336,0.4309326171875,2410,0.2,0.0002,-0.02536267787218094,-0.007800414896646544,0.1441985210494992,0.6654966473579407,-1.2169333438606311,0.15714188
8757,701,1476.1711,50,6144000,402.06666666666666,0.428515625,2420,0.2,0.0002,0.007359068840742111,-0.007975087312546142,0.13134347323153633,0.7017024457454681,-1.2226276966774214,0.15310834
8935,701,1347.5978,51,6266880,365.2,0.43084635416666667,2430,0.2,0.0002,0.05086277797818184,-0.007541946510603642,0.13725788303738226,0.6777915358543396,-1.2365991864105066,0.15879862
9108,701,1509.4467,52,6389760,411.73333333333335,0.4288028971354167,2440,0.2,0.0002,0.08132311701774597,-0.008660051514719574,0.13020799862832064,0.7050521671772003,-1.246997987770786,0.14896277
9284,701,1572.9899,53,6512640,415.6666666666667,0.43103271484375,2450,0.2,0.0002,0.018838556483387947,-0.007524559206576669,0.14580802916219301,0.6541689932346344,-1.226659993759046,0.15503672
9459,701,1369.3737,54,6635520,369.1333333333333,0.4291837565104167,2460,0.2,0.0002,0.10215778648853302,-0.008557339452357458,0.1364701418550491,0.6810913980007172,-1.213563575608035,0.15541795
9634,701,1532.9017,55,6758400,411.8666666666667,0.4284236653645833,2470,0.2,0.0002,0.027589403092861176,-0.007531068328995995,0.1307014025657554,0.7217240929603577,-1.2161632395039002,0.14839116
9813,701,1407.5084,56,6881280,376.06666666666666,0.4242781575520833,2480,0.2,0.0002,-0.008030470460653305,-0.006847348649456156,0.13067632555563857,0.7146667838096619,-1.2110604293396074,0.15008876
9990,701,1419.1274,57,7004160,378.53333333333336,0.42590494791666667,2490,0.2,0.0002,0.06388187408447266,-0.007881158405367994,0.1325127446024756,0.7196081280708313,-1.207579494000723,0.15302458
10165,701,1349.0906,58,7127040,364.73333333333335,0.42584147135416667,2500,0.2,0.0002,0.02141004428267479,-0.008705940293687793,0.1345025859797412,0.701469898223877,-1.2106140205450355,0.15171057
10341,701,1546.7416,59,7249920,412.4,0.42288411458333336,2510,0.2,0.0002,0.04075424373149872,-0.007405304768902473,0.13671435462107184,0.6946905255317688,-1.1907051003631204,0.15277074
10518,700,1524.1218,60,7372800,416.1333333333333,0.42472249348958335,2520,0.2,0.0002,-0.008867930620908737,-0.007896518974121136,0.1387478642251032,0.6754661202430725,-1.1964466677016268,0.15259077
10693,700,1357.3839,61,7495680,362.53333333333336,0.4229964192708333,2530,0.2,0.0002,0.03437667712569237,-0.007462277543815314,0.13609029857771626,0.6797186434268951,-1.1886044625503323,0.15489544
10902,698,1564.6483,62,7618560,426.46666666666664,0.4180525716145833,2540,0.2,0.0002,-0.0030404794961214066,-0.007695440519304005,0.13240909894647,0.7065694332122803,-1.1908104781496027,0.15065996
11077,698,1512.7795,63,7741440,401.73333333333335,0.4242236328125,2550,0.2,0.0002,0.08116324245929718,-0.00703167226060638,0.1365533138247944,0.6737533211708069,-1.1791985939815641,0.15899089
11254,698,1532.6328,64,7864320,413.53333333333336,0.42255777994791666,2560,0.2,0.0002,0.00015536881983280182,-0.007141175544960182,0.13646776413962167,0.6812854707241058,-1.1744363255674641,0.15603322
11430,698,1138.1465,65,7987200,306.6666666666667,0.4227701822916667,2570,0.2,0.0002,0.07707775384187698,-0.007599998154764762,0.13469153991997398,0.667883574962616,-1.1491328747291119,0.15573691
11608,698,1498.4781,66,8110080,407.2,0.42165771484375,2580,0.2,0.0002,-0.029019661247730255,-0.007216609827828506,0.1422437050945397,0.6544986069202423,-1.142842603304113,0.15722188
11781,698,1406.7845,67,8232960,393.06666666666666,0.4230704752604167,2590,0.2,0.0002,0.052958954125642776,-0.007067388259468619,0.13298258468848265,0.6915928721427917,-1.1311420192476362,0.16231664
11957,698,1535.3134,68,8355840,422.6666666666667,0.42434244791666664,2600,0.2,0.0002,-0.014648977667093277,-0.006941550055677605,0.14371927476488053,0.6718999743461609,-1.1640592002837609,0.16145068
12132,698,1487.7738,69,8478720,402.1333333333333,0.4259562174479167,2610,0.2,0.0002,0.07241270691156387,-0.007606104044934909,0.13574236204100695,0.6707504391670227,-1.1737587557795146,0.16031794
12307,698,1296.4833,70,8601600,356.8666666666667,0.4219637044270833,2620,0.2,0.0002,0.043973471969366074,-0.00781087428007595,0.13646322814485756,0.680609405040741,-1.1550442262397458,0.15287167
12485,698,1361.3145,71,8724480,365.73333333333335,0.42339436848958334,2630,0.2,0.0002,0.043780744075775146,-0.006702567982320034,0.1416887796741018,0.6817911267280579,-1.1337891624774783,0.1621216
12661,698,1535.5122,72,8847360,424.93333333333334,0.42233723958333336,2640,0.2,0.0002,0.051778070628643036,-0.006972222694518374,0.158877126701312,0.6607066094875336,-1.1452511210211862,0.16057801
12836,698,1274.6957,73,8970240,339.6666666666667,0.42209554036458335,2650,0.2,0.0002,0.01037212647497654,-0.006579304459895259,0.13980136975762433,0.6665476858615875,-1.1427198471097897,0.1559313
13011,698,1649.8093,74,9093120,442.6666666666667,0.4233984375,2660,0.2,0.0002,-0.005161508917808533,-0.007802052841758875,0.13030544288165402,0.6878611445426941,-1.1397600922050575,0.15966894
13187,698,1653.925,75,9216000,450.0,0.42198486328125,2670,0.2,0.0002,0.051756903529167175,-0.007771152075547434,0.14927649419667433,0.6300359070301056,-1.164077493402486,0.15549631
13364,698,1475.0105,76,9338880,389.73333333333335,0.4212825520833333,2680,0.2,0.0002,0.02532203681766987,-0.007031607208155037,0.15404286264034453,0.5788283944129944,-1.147373440771674,0.158947
13541,698,1309.1615,77,9461760,356.46666666666664,0.42109619140625,2690,0.2,0.0002,-0.015050850808620453,-0.00691497043129857,0.14319785612276367,0.6421442627906799,-1.1667776327114552,0.15563051
13718,698,1402.4196,78,9584640,378.1333333333333,0.42248616536458333,2700,0.2,0.0002,0.026772083714604378,-0.007447693173550457,0.1390633021031196,0.6452231109142303,-1.1593869327629607,0.15471694
13892,698,1459.3032,79,9707520,381.8,0.41786865234375,2710,0.2,0.0002,0.01528458297252655,-0.0066869350730242635,0.1367963371424897,0.6509550511837006,-1.134365405306841,0.15553752
14068,698,1498.1821,80,9830400,390.06666666666666,0.41924560546875,2720,0.2,0.0002,0.06335514783859253,-0.005984522792223288,0.13406664208334404,0.6584378182888031,-1.138037007836004,0.15780002
14243,698,1507.1346,81,9953280,399.8,0.41907633463541666,2730,0.2,0.0002,0.037070222198963165,-0.006548069221401723,0.13818192430053994,0.6372946202754974,-1.1389771815078953,0.15718095
