time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/approx_kl
948,13336,103,12656640,1438.0253,419.1333333333333,-0.0063886922784089015,0.8987466245889664,1020,-3.085423257040481,0.10450498845568897,0.0003,0.2,0.27734456380208333,0.001588156446814537,0.028965581
949,13465,104,12779520,1430.9695,409.53333333333336,-0.008106497395504751,0.8822602555155754,1030,-3.0949998862172166,0.10424922618956771,0.0003,0.2,0.27973795572916665,0.03435742110013962,0.030383967
949,13595,105,12902400,1495.5897,433.73333333333335,-0.00682451224711258,0.8707197904586792,1040,-3.0852458316336073,0.08709503664382888,0.0003,0.2,0.27702962239583334,0.009551972150802612,0.028898226
949,13725,106,13025280,1542.192,446.2,-0.007081804650615595,0.8901933133602142,1050,-3.068364024075369,0.09835582234198227,0.0003,0.2,0.2823193359375,0.22528141736984253,0.029843383
949,13854,107,13148160,1530.6309,450.0,-0.006869408466506381,0.8714414983987808,1060,-3.0714012417569756,0.09688251432070198,0.0003,0.2,0.2757177734375,0.004858635365962982,0.028827202
948,13985,108,13271040,1414.4071,410.8,-0.007484471098123322,0.8257601261138916,1070,-3.089524314813316,0.09256873599297251,0.0003,0.2,0.28003173828125,0.026680679991841316,0.029527124
948,14115,109,13393920,1524.6384,433.53333333333336,-0.007035529106754742,0.9039862751960754,1080,-3.0713555812711517,0.09588472670666913,0.0003,0.2,0.27564697265625,0.048032645136117935,0.028649095
948,14243,110,13516800,1486.7338,429.73333333333335,-0.00725033094798467,0.8942617103457451,1090,-3.065297952455779,0.08899630868754078,0.0003,0.2,0.27522135416666665,0.023153824731707573,0.028741837
948,14372,111,13639680,1308.7635,372.1333333333333,-0.00728393284436,0.8615779429674149,1100,-3.0728166419019303,0.09268225816694516,0.0003,0.2,0.27662353515625,0.0529746450483799,0.029157758
949,14501,112,13762560,1602.3323,448.1333333333333,-0.006951647509995382,0.8612866997718811,1110,-3.038508771136403,0.12256669252276575,0.0003,0.2,0.2805281575520833,0.005474718287587166,0.02937854
949,14630,113,13885440,1492.4816,424.2,-0.007050511377274233,0.8660106658935547,1120,-3.0373803532123564,0.09476400932685161,0.0003,0.2,0.2723746744791667,-0.0014237090945243835,0.028270077
949,14759,114,14008320,1491.0271,431.8666666666667,-0.006673806855014845,0.8813305273652077,1130,-3.0253575784464677,0.09989777582353175,0.0003,0.2,0.2796785481770833,0.2062320113182068,0.029700248
949,14888,115,14131200,1446.8644,421.3333333333333,-0.006718576243013861,0.8350782543420792,1140,-3.022677618265152,0.09171232818325127,0.0003,0.2,0.27037923177083334,0.043568506836891174,0.028637672
948,15023,116,14254080,1508.7896,430.2,-0.0069916440587621765,0.8420017808675766,1150,-2.9957555056735874,0.0984061246184865,0.0003,0.2,0.27781087239583335,-0.008953645825386047,0.02942449
948,15152,117,14376960,1507.191,434.4,-0.006799572886132713,0.8882895335555077,1160,-2.9784134048844377,0.10550583247968462,0.0003,0.2,0.2815861002604167,0.05521306395530701,0.029875005
948,15280,118,14499840,1548.4175,438.73333333333335,-0.006750445751419344,0.8887110278010368,1170,-2.9826894618819155,0.09712613732233877,0.0003,0.2,0.27813069661458334,0.025647630915045738,0.028981578
948,15408,119,14622720,1439.0529,425.0,-0.0060368317912677105,0.8508844077587128,1180,-2.9347976151108743,0.1253111716856074,0.0003,0.2,0.27929036458333334,0.019768308848142624,0.02966289
948,15538,120,14745600,1500.4146,427.26666666666665,-0.006485032219716231,0.8572482317686081,1190,-2.9349767128626505,0.10031371255856357,0.0003,0.2,0.27582763671875,0.10112176835536957,0.029214937
948,15668,121,14868480,1508.1525,423.0,-0.007558219789474,0.8682211488485336,1200,-2.943099773203333,0.0995544095870476,0.0003,0.2,0.27691080729166667,0.003183683380484581,0.029439773
949,15796,122,14991360,1296.223,366.53333333333336,-0.00687263427219932,0.8801227509975433,1210,-2.9461230856304366,0.09545509794319514,0.0003,0.2,0.274697265625,0.03825068473815918,0.029251026
949,15924,123,15114240,1561.1531,439.6666666666667,-0.006547921832504168,0.8624563813209534,1220,-2.932958046371738,0.1118085742946035,0.0003,0.2,0.2734122721354167,-0.013857506215572357,0.029288338
949,16054,124,15237120,1515.2935,440.53333333333336,-0.006496849635674759,0.8487124443054199,1230,-2.9258199403434992,0.10140146275797936,0.0003,0.2,0.27469075520833336,-0.001715388149023056,0.029007029
949,16182,125,15360000,1489.8561,421.73333333333335,-0.006581907251935869,0.8540273308753967,1240,-2.9210969593996805,0.09804566504244576,0.0003,0.2,0.2768098958333333,-0.0057456716895103455,0.03052127
949,16310,126,15482880,1461.8152,411.0,-0.006143139772314801,0.8701576441526413,1250,-2.897587093214194,0.08610354025595977,0.0003,0.2,0.27025472005208334,0.019778568297624588,0.029054454
949,16438,127,15605760,1596.6744,442.1333333333333,-0.006574200754663859,0.8674731552600861,1260,-2.9119063452010354,0.11771534583890267,0.0003,0.2,0.2749812825520833,0.08103741705417633,0.029670782
949,16566,128,15728640,1465.7218,412.26666666666665,-0.006463013222388933,0.8546825498342514,1270,-2.8845919071262083,0.10031489789772119,0.0003,0.2,0.27013997395833333,0.02856782078742981,0.028759686
949,16694,129,15851520,1389.5376,388.2,-0.007710621104082141,0.8785376697778702,1280,-2.875097966728111,0.10017231301719827,0.0003,0.2,0.2791878255208333,0.0014121215790510178,0.030244848
949,16825,130,15974400,1461.3293,412.6666666666667,-0.006539514758896985,0.8759416788816452,1290,-2.857807792549332,0.11010227161934988,0.0003,0.2,0.27376871744791664,0.017104703933000565,0.02969232
949,16953,131,16097280,1554.3391,429.8,-0.007064158718361189,0.8786240294575691,1300,-2.837593997468551,0.11662810971907069,0.0003,0.2,0.27440022786458335,0.022753044962882996,0.029615937
949,17084,132,16220160,1570.2134,448.3333333333333,-0.006685772949088763,0.8707047402858734,1310,-2.807908177040517,0.11034029446338536,0.0003,0.2,0.2720540364583333,0.03896971046924591,0.029368619
949,17214,133,16343040,1586.8298,448.2,-0.006357947008024591,0.8728698790073395,1320,-2.81875396185865,0.1043893791634279,0.0003,0.2,0.27056396484375,0.017610862851142883,0.028956026
949,17341,134,16465920,1523.577,417.0,-0.0062119168877446404,0.8515759706497192,1330,-2.7879939359426498,0.10935398153271914,0.0003,0.2,0.2720670572916667,0.0384790301322937,0.030043654
949,17471,135,16588800,1343.441,374.0,-0.006121466323032412,0.854124441742897,1340,-2.796691073427598,0.09931701185147783,0.0003,0.2,0.26845621744791665,0.022304534912109375,0.028372923
949,17601,136,16711680,1515.2485,424.6666666666667,-0.006851160332171275,0.8806736096739769,1350,-2.7878425190225244,0.10377665934167453,0.0003,0.2,0.27258138020833333,-0.007303506135940552,0.03035407
949,17729,137,16834560,1463.7445,406.8,-0.0063489883789952725,0.8445199280977249,1360,-2.792312660329044,0.09788649894355331,0.0003,0.2,0.26904703776041666,0.04256361722946167,0.029334266
949,17858,138,16957440,1503.409,423.8,-0.006830594779936898,0.874829888343811,1370,-2.7656131575380765,0.09683438889789008,0.0003,0.2,0.27065673828125,-0.0030050892382860184,0.029344304
949,17986,139,17080320,1595.4065,450.0,-0.006207938620476246,0.8932212144136429,1380,-2.7342285537471374,0.09922569202545371,0.0003,0.2,0.27125,0.06766734272241592,0.029733745
949,18117,140,17203200,1415.1998,396.4,-0.005976704037542125,0.8529430627822876,1390,-2.7232416546717286,0.10306420656314003,0.0003,0.2,0.2724153645833333,0.074293352663517,0.029901369
949,18248,141,17326080,1543.9369,432.46666666666664,-0.0057169788691377715,0.8680436909198761,1400,-2.7162284793456397,0.10765248577285093,0.0003,0.2,0.26767415364583336,0.06511440128087997,0.029510465
949,18376,142,17448960,1468.9044,412.93333333333334,-0.006006083106440201,0.8373806178569794,1410,-2.7125078607474764,0.10723957631853409,0.0003,0.2,0.267001953125,0.04510455206036568,0.029330738
949,18515,143,17571840,1513.9028,415.4,-0.006554551022715411,0.8462435305118561,1420,-2.688904503012697,0.11445167076885507,0.0003,0.2,0.27145182291666664,0.027042154222726822,0.030718477
949,18644,144,17694720,1494.8164,412.06666666666666,-0.006431447518243658,0.8724850863218307,1430,-2.696226877893011,0.10539351821852809,0.0003,0.2,0.26998697916666664,0.04032079130411148,0.030645395
948,18775,145,17817600,1389.4846,389.46666666666664,-0.006280261702177086,0.8757320418953896,1440,-2.67024309878548,0.11470135073754742,0.0003,0.2,0.2679720052083333,0.03327052295207977,0.029729275
949,18903,146,17940480,1411.0405,388.6666666666667,-0.005984769302437296,0.8816270679235458,1450,-2.6525766904403767,0.1232984249976774,0.0003,0.2,0.27000813802083334,0.08418934047222137,0.030112814
949,19031,147,18063360,1518.6714,418.4,-0.005910968933036808,0.8897364363074303,1460,-2.678069552965462,0.12447233290086539,0.0003,0.2,0.27250325520833335,0.032698582857847214,0.030045597
949,19160,148,18186240,1557.4032,429.26666666666665,-0.006031398335641522,0.8786426782608032,1470,-2.695118594430387,0.1081796026218702,0.0003,0.2,0.26854817708333334,0.009575184434652328,0.030300992
949,19289,149,18309120,1501.6838,412.93333333333334,-0.006014194634529606,0.8613554239273071,1480,-2.6657784088452656,0.1208135889347371,0.0003,0.2,0.2703955078125,0.09954406321048737,0.030664317
949,19417,150,18432000,1520.5946,419.53333333333336,-0.005986452589131659,0.8800959140062332,1490,-2.6506296088794867,0.13025190886779456,0.0003,0.2,0.27026692708333333,0.09019257128238678,0.030451553
949,19547,151,18554880,1490.0012,412.26666666666665,-0.005646998035099386,0.8524274379014969,1500,-2.651880888963739,0.13209441377044034,0.0003,0.2,0.27379475911458334,0.035318173468112946,0.030683156
948,19688,152,18677760,1444.8722,404.3333333333333,-0.0060862400599459455,0.8744263648986816,1510,-2.642310415506363,0.1269672588101336,0.0003,0.2,0.2721891276041667,-0.00042920559644699097,0.030340513
948,19823,153,18800640,1605.7286,443.46666666666664,-0.006032932256233229,0.8751031830906868,1520,-2.6264739446466168,0.11225343705300475,0.0003,0.2,0.26936279296875,0.008436675183475018,0.030972524
948,19953,154,18923520,1411.1002,394.93333333333334,-0.005606353263920028,0.8868631273508072,1530,-2.5871309678504866,0.12814656442865574,0.0003,0.2,0.2691162109375,0.03660665452480316,0.030477861
948,20082,155,19046400,1442.5977,395.6,-0.005661452787286786,0.8849183768033981,1540,-2.5805165046080947,0.13231560576192958,0.0003,0.2,0.27178059895833334,0.06984695792198181,0.030931098
948,20211,156,19169280,1572.5437,435.0,-0.005571467947253647,0.9075693413615227,1550,-2.5651922276740273,0.1217070020995258,0.0003,0.2,0.2669677734375,0.08506480604410172,0.030173574
948,20343,157,19292160,1380.9408,374.6666666666667,-0.005729334069146716,0.860763743519783,1560,-2.5636461204166214,0.11976747766602784,0.0003,0.2,0.27046549479166665,0.04613099247217178,0.030032566
948,20474,158,19415040,1515.0441,415.6666666666667,-0.006141349801200704,0.8818227127194405,1570,-2.544687708603839,0.13335863744403467,0.0003,0.2,0.27282389322916667,0.06050354242324829,0.0315949
948,20605,159,19537920,1414.6349,376.4,-0.005621049338854694,0.8780656084418297,1580,-2.5062930558994414,0.13292946949222822,0.0003,0.2,0.27531087239583335,0.024095769971609116,0.031539824
948,20734,160,19660800,1524.6661,417.3333333333333,-0.0058329889066196,0.8564990162849426,1590,-2.500187195042769,0.13029614021691183,0.0003,0.2,0.2704134114583333,0.003921667113900185,0.031611692
948,20865,161,19783680,1498.627,411.2,-0.005921193111850395,0.8648721277713776,1600,-2.4863941428189476,0.16618795637400277,0.0003,0.2,0.2738753255208333,0.03668702021241188,0.03180952
948,20995,162,19906560,1403.9731,378.93333333333334,-0.005368135482203797,0.8695378005504608,1610,-2.4746668957794706,0.17503120358131127,0.0003,0.2,0.26823323567708335,0.04466503486037254,0.03056767
948,21124,163,20029440,1603.2378,435.8666666666667,-0.005557605475508656,0.8714579194784164,1620,-2.469683753463129,0.13756690535034674,0.0003,0.2,0.2692138671875,0.08513092994689941,0.03099345
948,21255,164,20152320,1471.0725,407.6666666666667,-0.00525757721363334,0.8688792735338211,1630,-2.437658150792122,0.19537120885196296,0.0003,0.2,0.2731803385416667,0.03835379332304001,0.031255256
948,21384,165,20275200,1268.7042,345.1333333333333,-0.005633558912186345,0.8717760741710663,1640,-2.451637809363504,0.15059050060313894,0.0003,0.2,0.2738142903645833,0.09610898792743683,0.031299684
948,21516,166,20398080,1552.1863,427.26666666666665,-0.005906262466093419,0.8672669976949692,1650,-2.427525032690416,0.16203244780151485,0.0003,0.2,0.27357584635416665,0.021347198635339737,0.031893488
948,21645,167,20520960,1331.6647,370.46666666666664,-0.005451720114939842,0.8809016719460487,1660,-2.4415821187819042,0.1727347985986368,0.0003,0.2,0.27321695963541665,0.07005221396684647,0.03163524
