2024-02-18 19:00:10.618245
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1195.1125   |
| time/                   |             |
|    fps                  | 939         |
|    iterations           | 22          |
|    time_elapsed         | 2877        |
|    total_timesteps      | 2703360     |
| train/                  |             |
|    approx_kl            | 0.013873679 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.13       |
|    explained_variance   | 0.81        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00933     |
|    n_updates            | 3470        |
|    policy_gradient_loss | -0.000423   |
|    value_loss           | 0.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1165.4059   |
| time/                   |             |
|    fps                  | 938         |
|    iterations           | 23          |
|    time_elapsed         | 3012        |
|    total_timesteps      | 2826240     |
| train/                  |             |
|    approx_kl            | 0.015227743 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.097       |
|    n_updates            | 3480        |
|    policy_gradient_loss | -6.74e-06   |
|    value_loss           | 0.123       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1142.167    |
| time/                   |             |
|    fps                  | 937         |
|    iterations           | 24          |
|    time_elapsed         | 3146        |
|    total_timesteps      | 2949120     |
| train/                  |             |
|    approx_kl            | 0.015311103 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.111       |
|    n_updates            | 3490        |
|    policy_gradient_loss | -0.000524   |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1206.0817   |
| time/                   |             |
|    fps                  | 936         |
|    iterations           | 25          |
|    time_elapsed         | 3280        |
|    total_timesteps      | 3072000     |
| train/                  |             |
|    approx_kl            | 0.015804678 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.773       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0673      |
|    n_updates            | 3500        |
|    policy_gradient_loss | -2.04e-06   |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1152.2094   |
| time/                   |             |
|    fps                  | 935         |
|    iterations           | 26          |
|    time_elapsed         | 3416        |
|    total_timesteps      | 3194880     |
| train/                  |             |
|    approx_kl            | 0.017271053 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.14       |
|    explained_variance   | 0.827       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.017       |
|    n_updates            | 3510        |
|    policy_gradient_loss | -0.00115    |
|    value_loss           | 0.0971      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
