time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
28145,119,1438.2003,439.06,519,14622720,0.0003,0.09310463296812183,0.49336669921875,-1.373879626551643,1180,0.2,-0.017073487862944603,-0.007140733014275611,0.60296005,0.7858760803937912
28390,120,1424.2975,437.1,519,14745600,0.0003,0.0749414047691486,0.48928629557291664,-1.273882243682941,1190,0.2,-0.019252818077802658,-0.0042720410013619885,0.68338007,0.8007565885782242
28635,121,1387.3593,435.84,519,14868480,0.0003,0.0825200431709527,0.48717366536458334,-1.363862371450911,1200,0.2,0.007766116410493851,-0.001976602450570984,0.6634979,0.8133039474487305
28888,122,1450.6968,441.26,518,14991360,0.0003,0.0805078914585465,0.48796875,-1.299149076876541,1210,0.2,-0.031228989362716675,-0.0033362113118770745,0.8648103,0.8249229192733765
29133,123,1439.1012,443.4,518,15114240,0.0003,0.0898099337828171,0.48919108072916667,-1.3178401454476019,1220,0.2,-0.013826660811901093,-0.0025301143846778967,0.64602333,0.7858629673719406
29379,124,1429.2343,432.06,518,15237120,0.0003,0.08832113530836068,0.48905843098958335,-1.337598416954279,1230,0.2,-0.021972335875034332,-0.005802979806685471,0.64703315,0.8030488789081573
29623,125,1426.0914,431.52,518,15360000,0.0003,0.08971631936530078,0.4913199869791667,-1.420306394668296,1240,0.2,0.08644276857376099,-0.00514000860842619,0.6186409,0.7859873622655869
29867,126,1412.2578,430.38,518,15482880,0.0003,0.07443128438928398,0.4784464518229167,-1.2831036235640447,1250,0.2,0.0025134682655334473,-0.002358155524252652,1.9633288,0.811942458152771
30111,127,1430.2695,438.2,518,15605760,0.0003,0.07233387549727922,0.48143961588541667,-1.2778208816579233,1260,0.2,0.0385810062289238,-0.00545809123335251,0.6602745,0.8194507211446762
30359,128,1385.7645,426.0,518,15728640,0.0003,0.08461652823641391,0.4709765625,-1.239739645558099,1270,0.2,-0.025823453441262245,-0.0035952651147272262,0.63999045,0.8140944838523865
30603,129,1408.2524,434.5,517,15851520,0.0003,0.08443257582131385,0.4737548828125,-1.2335938275853793,1280,0.2,0.03608904778957367,-0.0032519013406817976,0.62419724,0.8082736879587173
30848,130,1417.473,427.82,517,15974400,0.0003,0.08263185235472822,0.47406656901041666,-1.2934744185923288,1290,0.2,-0.0022421367466449738,-0.004137662442844885,0.6411954,0.824339285492897
31093,131,1439.375,432.12,517,16097280,0.0003,0.08202300160647913,0.47759358723958334,-1.2646229940094054,1300,0.2,-0.02041030488908291,-0.005286223950643034,0.6476067,0.7980374395847321
31337,132,1412.2327,432.84,517,16220160,0.0003,0.07312466243859186,0.4671931966145833,-1.1703174122453979,1310,0.2,-0.03984619677066803,-0.0022533056647807827,0.78696847,0.8255434930324554
31581,133,1407.8953,426.54,517,16343040,0.0003,0.07619365914312463,0.4733740234375,-1.2184832772395262,1320,0.2,-0.0070603396743535995,-0.0030473090125875996,0.7127262,0.8130849301815033
31824,134,1434.8243,435.34,517,16465920,0.0003,0.07737135159331957,0.46601318359375,-1.2374515195532392,1330,0.2,0.03673847019672394,-0.0053435002786621525,0.64980966,0.8290442377328873
32069,135,1444.305,445.68,517,16588800,0.0003,0.07434025871227884,0.46830159505208335,-1.1986821161800374,1340,0.2,0.01916298270225525,-0.0023216351344975314,0.6721132,0.8146397918462753
32313,136,1365.7439,419.46,517,16711680,0.0003,0.07426454190805089,0.4695939127604167,-1.201443510024498,1350,0.2,-0.025813665241003036,-0.0032577126345313444,0.67036694,0.8398776948451996
32558,137,1386.5054,428.46,517,16834560,0.0003,0.0742210196221519,0.46590738932291664,-1.1681927416815112,1360,0.2,-0.026506636291742325,-0.0034312861599331275,0.70643216,0.8094862252473831
32804,138,1398.0966,429.46,516,16957440,0.0003,0.08051701753827123,0.46574788411458334,-1.158708321582526,1370,0.2,-0.0011848844587802887,-0.0010278406765731538,0.6983983,0.8181956559419632
33052,139,1393.38,432.2,516,17080320,0.0003,0.07461133419938658,0.4665576171875,-1.1548252813114475,1380,0.2,-0.03842788189649582,-0.003989133234663314,0.6824034,0.8126284331083298
33296,140,1422.0713,441.5,516,17203200,0.0003,0.0765386557932652,0.46524495442708336,-1.1963667362835257,1390,0.2,-0.056253254413604736,-0.004958681421533886,0.7577771,0.8315559476613998
33542,141,1495.8445,447.2,516,17326080,0.0003,0.07269380501374446,0.46594889322916666,-1.1554368401163568,1400,0.2,-0.03219442814588547,-0.0034773515070022163,0.6803079,0.8221853077411652
33785,142,1444.6201,436.0,516,17448960,0.0003,0.09653758867857201,0.47024169921875,-1.3135263982291023,1410,0.2,-0.009656368754804134,-0.005656260590585589,0.593391,0.7825370132923126
34031,143,1433.8766,434.98,516,17571840,0.0003,0.11067156224133214,0.4765755208333333,-1.374512637813265,1420,0.2,-0.007142914459109306,-0.004964954935476271,0.5668212,0.769601583480835
34279,144,1435.0062,434.98,516,17694720,0.0003,0.0926002506854032,0.46516357421875,-1.2295687324864168,1430,0.2,-0.053779322654008865,-0.004544522399974085,0.6117829,0.7791595011949539
34524,145,1447.4194,438.9,516,17817600,0.0003,0.09172902238584356,0.46534912109375,-1.2594780237196634,1440,0.2,0.004822529852390289,-0.004673007770112841,0.591831,0.7660117298364639
