time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
3748,375.18875,450.0,983,30,3686400,0.23801188151041666,0.0120778139680624,0.020718873,0.0003,0.0662104418236413,0.6383939981460571,-3.8341760855168103,0.2,290,-0.007808493987249676
3885,370.3878,450.0,980,31,3809280,0.23825927734375,0.02780143730342388,0.020365192,0.0003,0.06866750604710736,0.586686909198761,-3.8231753469382723,0.2,300,-0.007817223728631386
4011,383.29376,450.0,980,32,3932160,0.23405436197916665,-0.025176964700222015,0.02009987,0.0003,0.07822124598368342,0.5726836919784546,-3.8208196044837437,0.2,310,-0.0066482038526252535
4137,391.52008,450.0,980,33,4055040,0.24033772786458332,0.026079770177602768,0.020662276,0.0003,0.0728935320005985,0.6507422924041748,-3.811733063745002,0.2,320,-0.007032011558803788
4262,382.96378,450.0,980,34,4177920,0.2404150390625,0.013874849304556847,0.021243095,0.0003,0.07954372646971024,0.5795986652374268,-3.7979916392887634,0.2,330,-0.007332128147136245
4388,393.31116,450.0,979,35,4300800,0.24184977213541667,0.027934178709983826,0.020995166,0.0003,0.07882713752187556,0.6198722720146179,-3.789819878973067,0.2,340,-0.007433854421663758
4536,398.74258,450.0,975,36,4423680,0.24046956380208334,0.0010366365313529968,0.02148638,0.0003,0.09254976974334568,0.43432116508483887,-3.7866844773789246,0.2,350,-0.006909603144631547
4659,395.8076,450.0,975,37,4546560,0.23854166666666668,0.03532363474369049,0.02118933,0.0003,0.08426820300019851,0.4477217197418213,-3.779255909274022,0.2,360,-0.006427403827880577
4784,397.58215,450.0,976,38,4669440,0.2413671875,0.007244644686579704,0.021396777,0.0003,0.0920310617221791,0.46060776710510254,-3.762567066885531,0.2,370,-0.0068556563979594405
4907,403.69016,450.0,976,39,4792320,0.23946695963541667,0.06658025085926056,0.021082213,0.0003,0.08676255181921685,0.4467591643333435,-3.7604163687676193,0.2,380,-0.006497143931198176
5031,402.82013,450.0,976,40,4915200,0.23910237630208334,0.048537302762269974,0.020924171,0.0003,0.09016241806408895,0.3939811587333679,-3.7545254733785987,0.2,390,-0.006698447975371285
5155,400.6846,450.0,977,41,5038080,0.23927815755208334,-0.002365274354815483,0.021460248,0.0003,0.08738187873774829,0.4399627447128296,-3.7417536998167633,0.2,400,-0.006760818590543447
5282,391.8044,450.0,977,42,5160960,0.24261555989583333,0.0007123071700334549,0.021700285,0.0003,0.08274897166712132,0.5135326981544495,-3.726434976533055,0.2,410,-0.006690114719252354
5406,398.50348,448.84,977,43,5283840,0.23984212239583333,0.03289761766791344,0.021499371,0.0003,0.09060767294683804,0.5257079601287842,-3.703773880203565,0.2,420,-0.006574183551965689
5533,406.81046,450.0,977,44,5406720,0.24421142578125,0.08069169521331787,0.021965925,0.0003,0.08446118042515688,0.5273633897304535,-3.680925011212627,0.2,430,-0.006962905846382152
5661,407.27597,450.0,976,45,5529600,0.2445556640625,0.033684395253658295,0.021612728,0.0003,0.09103665212620399,0.37857770919799805,-3.67475856145223,0.2,440,-0.006586275877192141
5787,404.70047,450.0,976,46,5652480,0.24468994140625,0.05916594713926315,0.022204084,0.0003,0.0871825443830312,0.40619730949401855,-3.681266677143673,0.2,450,-0.006659259884387817
