rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction
1435.5685,393.6,92,772,11304960,14635,0.2,0.11748743,910,-0.006118409335613251,0.0002,-2.0996112461946903,-0.016870872259811827,0.6056979596614838,0.10730529514121978,0.5052294921875
1557.8212,430.1333333333333,93,772,11427840,14795,0.2,0.11613175,920,-0.007772728800773621,0.0002,-2.073967014476657,-0.016471261557714268,0.6521088480949402,0.10124052115522014,0.50236328125
1431.8568,382.46666666666664,94,772,11550720,14955,0.2,0.11742501,930,-0.010525055229663849,0.0002,-2.0741309267592927,-0.01519958054287296,0.6141519248485565,0.10488763700190853,0.5019376627604166
1582.2963,429.6,95,772,11673600,15116,0.2,0.121008605,940,-0.03460465371608734,0.0002,-2.067225319116066,-0.01631670668882786,0.6380977034568787,0.10222936184194016,0.5040828450520833
1345.152,363.4,96,772,11796480,15276,0.2,0.12171015,950,0.014690309762954712,0.0002,-2.0136531497351826,-0.016600107915279903,0.6507977247238159,0.10466521036452225,0.5053352864583334
1367.2286,374.0,97,772,11919360,15436,0.2,0.12426412,960,-0.007942885160446167,0.0002,-1.9923522688696782,-0.015642085119864837,0.631952166557312,0.11079599919544611,0.5063924153645833
1422.2065,381.2,98,771,12042240,15599,0.2,0.12444411,970,0.006837589666247368,0.0002,-1.9706232658649485,-0.01492570758349757,0.6439347863197327,0.11023173615617755,0.5017220052083333
1409.4749,384.26666666666665,99,771,12165120,15761,0.2,0.123991124,980,0.01705778017640114,0.0002,-1.9560780366510153,-0.015149437075724564,0.6370738446712494,0.1098972078540828,0.5051090494791667
1497.4391,405.6,100,771,12288000,15923,0.2,0.12731408,990,0.016637446358799934,0.0002,-1.963883091583848,-0.015102664397042342,0.6393397748470306,0.10715656186221167,0.50405029296875
1453.1069,399.93333333333334,101,771,12410880,16085,0.2,0.12723847,1000,-0.04534343257546425,0.0002,-1.935952436234802,-0.015024109322403091,0.634568452835083,0.10945204389543506,0.50345703125
1507.1534,402.06666666666666,102,771,12533760,16249,0.2,0.12630619,1010,0.038141507655382156,0.0002,-1.9176130865948895,-0.014645368410917096,0.624392032623291,0.11338519225653726,0.5019986979166666
1393.1881,382.93333333333334,103,771,12656640,16409,0.2,0.12469631,1020,0.013494689017534256,0.0002,-1.8990496815741063,-0.014276160688338374,0.6146759986877441,0.10912555197952316,0.49960693359375
1569.8079,419.53333333333336,104,771,12779520,16572,0.2,0.13051642,1030,0.008333392441272736,0.0002,-1.8808100654619435,-0.014528177490028611,0.6309144794940948,0.11622906657634303,0.5005940755208333
1591.1008,424.2,105,771,12902400,16734,0.2,0.12833713,1040,-0.02287510596215725,0.0002,-1.892574539432923,-0.015073836523667221,0.6492597460746765,0.11034967286298827,0.49990641276041664
1480.5079,409.06666666666666,106,770,13025280,16894,0.2,0.1291133,1050,-0.04776732996106148,0.0002,-1.8524492159485817,-0.014269580026630138,0.627854734659195,0.1129220201924909,0.49991536458333335
1501.6193,403.46666666666664,107,771,13148160,17053,0.2,0.13085032,1060,0.010626783594489098,0.0002,-1.8279376987740397,-0.01373302056021809,0.6294008791446686,0.1130962174377055,0.49887288411458336
1653.6608,443.93333333333334,108,770,13271040,17216,0.2,0.12873131,1070,0.15040728449821472,0.0002,-1.8424812043954928,-0.01305926547195971,0.603466272354126,0.11670814536967858,0.50003662109375
1550.387,412.26666666666665,109,770,13393920,17379,0.2,0.13303699,1080,0.2049412727355957,0.0002,-1.8080655982842049,-0.014030841554904328,0.6440370082855225,0.10630755643496134,0.49981852213541667
1566.2596,417.8,110,770,13516800,17543,0.2,0.12892039,1090,-0.006103593856096268,0.0002,-1.7981855159252882,-0.013232370430220424,0.6613815128803253,0.11032770822494058,0.49333089192708335
1511.195,406.8666666666667,111,770,13639680,17710,0.2,0.13011153,1100,0.0200328528881073,0.0002,-1.7840731287871798,-0.013596098795733268,0.6453223824501038,0.11333094445348252,0.4965234375
1450.1355,390.26666666666665,112,769,13762560,17874,0.2,0.1308272,1110,-0.01691841147840023,0.0002,-1.7845544176486632,-0.01401316937531495,0.6484578251838684,0.10803943500116778,0.49656005859375
1413.0614,380.8666666666667,113,769,13885440,18039,0.2,0.13934647,1120,0.019687054678797722,0.0002,-1.7877521756726007,-0.014035919985447738,0.6490715742111206,0.11584067347769936,0.49922037760416665
1403.3798,374.06666666666666,114,769,14008320,18203,0.2,0.13146022,1130,0.009273100644350052,0.0002,-1.7790504275014003,-0.012901718773318862,0.6380106210708618,0.11288717603873617,0.49585611979166666
1434.9547,389.0,115,769,14131200,18365,0.2,0.130181,1140,0.003612261265516281,0.0002,-1.7544645792307954,-0.013845584858039122,0.63309046626091,0.11397166508870821,0.49272298177083335
1563.1241,427.6,116,769,14254080,18527,0.2,0.13194898,1150,0.029772484675049782,0.0002,-1.771216347447286,-0.013792894117395918,0.6547025442123413,0.11122018961439607,0.49394612630208334
1499.8416,400.6,117,769,14376960,18691,0.2,0.13292988,1160,-0.007503125816583633,0.0002,-1.7464088154646258,-0.012746097641550781,0.610939085483551,0.12100922886156089,0.49376220703125
1588.9629,431.73333333333335,118,769,14499840,18850,0.2,0.13193029,1170,0.01575838401913643,0.0002,-1.7472662145458162,-0.013392802324894244,0.6498417854309082,0.11190599006959626,0.4940388997395833
1446.4922,389.93333333333334,119,769,14622720,19011,0.2,0.13500662,1180,0.001626729965209961,0.0002,-1.7332629353242617,-0.012904000121319162,0.6197329759597778,0.1155646133722621,0.49423665364583336
1354.0697,365.06666666666666,120,769,14745600,19173,0.2,0.13362783,1190,0.0001502465456724167,0.0002,-1.7427244319332142,-0.013657242285383593,0.645842432975769,0.11104753235238604,0.49471842447916664
1560.6793,420.93333333333334,121,768,14868480,19337,0.2,0.134985,1200,0.11368714272975922,0.0002,-1.7283804740197957,-0.013042010958250406,0.6166505813598633,0.113635801912363,0.4950358072916667
1407.3727,367.3333333333333,122,768,14991360,19502,0.2,0.13229416,1210,0.06604752689599991,0.0002,-1.7222099828906356,-0.012560789711612112,0.596627801656723,0.12062428360368357,0.49376546223958334
1385.3698,369.6,123,768,15114240,19667,0.2,0.13584383,1220,0.038574378937482834,0.0002,-1.70326929198578,-0.0135900791553892,0.626898467540741,0.10861734989846203,0.49441975911458336
1496.5098,403.8666666666667,124,768,15237120,19832,0.2,0.13797984,1230,0.022165769711136818,0.0002,-1.7110828789509833,-0.012064777108880662,0.6265455186367035,0.117180049783492,0.49445556640625
1530.0511,406.8,125,768,15360000,19998,0.2,0.1367039,1240,0.030619263648986816,0.0002,-1.713650504425168,-0.012432768757183415,0.6317864954471588,0.11396320174157154,0.49468912760416667
