time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
11304960,92,443.22,1380.77,11750,962,0.025143694,0.7275702357292175,0.24943684895833335,0.2,910,0.057602010667324066,-0.0077963150674744,0.0003,-3.5165494792784253,0.1365605786270559
11427840,93,448.6,1411.0847,11878,962,0.025917603,0.8333162814378738,0.2561165364583333,0.2,920,-0.007765272632241249,-0.008047475861664377,0.0003,-3.461408006263276,0.13385927606359474
11550720,94,435.4,1381.8444,12006,962,0.024658697,0.8216371089220047,0.24704752604166666,0.2,930,0.049657538533210754,-0.007844155175613802,0.0003,-3.4631926581884422,0.124431224794583
11673600,95,444.92,1398.1168,12133,962,0.025348116,0.8398248851299286,0.24854329427083333,0.2,940,0.02618611603975296,-0.007744464025196672,0.0003,-3.4595678904404243,0.12581519057091403
11796480,96,443.3,1406.2644,12260,962,0.024941044,0.82386913895607,0.24982828776041666,0.2,950,0.0021049901843070984,-0.008114127135231684,0.0003,-3.4716819129511713,0.12593000174388483
11919360,97,436.18,1376.2906,12389,962,0.025475211,0.8112208992242813,0.24682373046875,0.2,960,0.019921068102121353,-0.007842153790237111,0.0003,-3.477232648432255,0.12557074985073996
12042240,98,428.26,1376.5088,12516,962,0.025315506,0.8495055437088013,0.24714274088541666,0.2,970,0.04308269917964935,-0.006955965373361626,0.0003,-3.433383626751602,0.13789163633608648
12165120,99,442.96,1398.3678,12645,962,0.025646893,0.839368462562561,0.25200520833333334,0.2,980,0.009540253318846226,-0.007688082433008579,0.0003,-3.4413373898218076,0.12504651411363737
12288000,100,441.46,1417.3577,12788,960,0.025754921,0.8230821788311005,0.24944661458333334,0.2,990,0.054107509553432465,-0.007824387072463045,0.0003,-3.429653275857369,0.11975114064596709
12410880,101,445.82,1411.2433,12945,958,0.025006354,0.8651428520679474,0.2462255859375,0.2,1000,0.05483289062976837,-0.00758684934646529,0.0003,-3.437734207746883,0.12354089680772934
12533760,102,446.06,1426.7322,13080,958,0.025794815,0.8248552083969116,0.24883056640625,0.2,1010,0.1411479413509369,-0.00824956084560957,0.0003,-3.4268533133094508,0.1321866061501593
12656640,103,440.14,1402.7181,13206,958,0.024744174,0.8303931057453156,0.24390787760416666,0.2,1020,0.01816631108522415,-0.007626590487052454,0.0003,-3.4300452789664266,0.11992586654159823
12779520,104,441.02,1419.6304,13335,958,0.02481598,0.8105649501085281,0.24710611979166666,0.2,1030,0.0520232692360878,-0.007685069729438207,0.0003,-3.4292832062890133,0.12554111879338356
12902400,105,450.0,1441.5579,13464,958,0.025788493,0.7701236456632614,0.25050048828125,0.2,1040,0.022600259631872177,-0.007665905096431136,0.0003,-3.4212731184562046,0.13139389455968437
13025280,106,448.56,1433.6685,13598,957,0.02474367,0.8072398602962494,0.24342041015625,0.2,1050,0.1100059226155281,-0.007052859760915453,0.0003,-3.409908954662581,0.12326036510373038
13148160,107,443.62,1433.5336,13726,957,0.024882426,0.8302792906761169,0.24631510416666666,0.2,1060,0.004344165325164795,-0.007479688221131558,0.0003,-3.3952119500314195,0.11413411553692034
13271040,108,440.14,1417.0034,13854,957,0.02513005,0.8226707428693771,0.24802571614583332,0.2,1070,0.04455579072237015,-0.006837791961594728,0.0003,-3.397820956620077,0.12999629911001345
13393920,109,436.8,1391.7289,13983,957,0.02573203,0.7700764238834381,0.2526163736979167,0.2,1080,0.017933566123247147,-0.007601652199967551,0.0003,-3.402699758236607,0.12436193644704568
13516800,110,445.14,1443.7622,14122,957,0.025829291,0.8356812298297882,0.25032470703125,0.2,1090,-0.0027961060404777527,-0.007955510761703408,0.0003,-3.382912817746401,0.11491832755777674
13639680,111,448.4,1446.2169,14251,957,0.025805356,0.7730820626020432,0.24947428385416667,0.2,1100,0.117290198802948,-0.007130697994095196,0.0003,-3.3767037240291633,0.12132203284452164
13762560,112,437.22,1404.4976,14379,957,0.025882626,0.7975425571203232,0.24514078776041667,0.2,1110,0.021611686795949936,-0.007773660218487445,0.0003,-3.3780743496244154,0.124208003787935
13885440,113,445.78,1412.1254,14508,957,0.02584355,0.827993780374527,0.24802083333333333,0.2,1120,0.013101235032081604,-0.007282813291009612,0.0003,-3.3544220517575742,0.11661970503667059
14008320,114,437.98,1445.8221,14637,956,0.026048517,0.7996352910995483,0.25086588541666666,0.2,1130,0.04060507193207741,-0.007590542366372877,0.0003,-3.31638261474669,0.12189094543355168
14131200,115,450.0,1458.3584,14766,956,0.024784576,0.7951755821704865,0.24134521484375,0.2,1140,0.03698790818452835,-0.0067744793895750865,0.0003,-3.358253422913452,0.13487058712911676
14254080,116,446.98,1471.8651,14893,957,0.02552228,0.8074931502342224,0.2420361328125,0.2,1150,0.051261767745018005,-0.007475158046199795,0.0003,-3.3426124389345446,0.12639734911363726
14376960,117,438.24,1425.9464,15022,957,0.024972524,0.7210017442703247,0.243623046875,0.2,1160,0.07740651071071625,-0.007484000261714149,0.0003,-3.3601931425432365,0.1297742746937729
14499840,118,440.48,1426.1069,15156,956,0.025230384,0.7870577871799469,0.24618326822916667,0.2,1170,0.06513194739818573,-0.006941157778634685,0.0003,-3.3379095103840033,0.12769808647557512
14622720,119,445.98,1458.2981,15284,956,0.024917705,0.7932515889406204,0.24276774088541667,0.2,1180,0.09296806156635284,-0.0076599987156259885,0.0003,-3.333375077483555,0.13178454674300155
14745600,120,443.86,1425.9648,15411,956,0.025227671,0.7967841029167175,0.2414208984375,0.2,1190,-0.014876817353069782,-0.007551193772354357,0.0003,-3.3285078525543215,0.11381219652762714
14868480,121,435.32,1425.3169,15539,956,0.025113441,0.8590352684259415,0.23933349609375,0.2,1200,0.10531963407993317,-0.007729702899984356,0.0003,-3.3487885124236345,0.11562923589255661
14991360,122,448.94,1463.1542,15668,956,0.024985082,0.7947938293218613,0.24086507161458334,0.2,1210,0.000801529735326767,-0.007562400944940843,0.0003,-3.356043386757374,0.12199414427363081
15114240,123,450.0,1460.2178,15796,956,0.024640612,0.7817739546298981,0.23709228515625,0.2,1220,0.10352812707424164,-0.007259731172446967,0.0003,-3.3767735169703763,0.12660367670890993
15237120,124,425.28,1383.5188,15924,956,0.025298262,0.7942312359809875,0.24024820963541665,0.2,1230,-0.001803516410291195,-0.007564449333852584,0.0003,-3.3465242490172384,0.1172237458055315
15360000,125,442.56,1434.2222,16053,956,0.024676984,0.8236412703990936,0.23732584635416668,0.2,1240,0.12984886765480042,-0.006483332009956939,0.0003,-3.325717518640061,0.12465904226419904
15482880,126,446.46,1463.4196,16182,956,0.025758378,0.8186202049255371,0.2428271484375,0.2,1250,0.07270815968513489,-0.007964796644511505,0.0003,-3.306079467323919,0.13611101208870727
15605760,127,450.0,1471.9016,16310,956,0.025219874,0.8305935114622116,0.23754069010416667,0.2,1260,0.046742215752601624,-0.0076026291023360195,0.0003,-3.2964960648988684,0.12194173288007733
15728640,128,445.8,1449.9901,16440,956,0.024633585,0.7849917411804199,0.23369791666666667,0.2,1270,0.03628275543451309,-0.0069999418050610985,0.0003,-3.3302261488387983,0.11762077215884346
15851520,129,448.16,1475.5415,16569,956,0.025178364,0.8019462674856186,0.23702473958333334,0.2,1280,0.04508788138628006,-0.006886347995511338,0.0003,-3.27445315040648,0.112218105095817
15974400,130,438.7,1426.8114,16714,955,0.025596427,0.7876974642276764,0.23389567057291666,0.2,1290,0.014458680525422096,-0.007204524371748751,0.0003,-3.3055061860755086,0.11962997358263237
16097280,131,445.94,1431.8547,16842,955,0.024475928,0.8507694005966187,0.23093587239583332,0.2,1300,0.15254679322242737,-0.007148646989365564,0.0003,-3.275346994660795,0.11155302351597736
16220160,132,442.5,1444.6132,16972,955,0.025594417,0.8381980359554291,0.23480387369791667,0.2,1310,0.023085705935955048,-0.007160241826610824,0.0003,-3.2369389832019806,0.11053032902180955
16343040,133,449.38,1468.2155,17101,955,0.024571415,0.7841195911169052,0.23126057942708333,0.2,1320,0.06571990251541138,-0.006324368231780682,0.0003,-3.2530849255248904,0.11513405968769802
16465920,134,434.5,1421.5978,17232,955,0.025488818,0.8488871455192566,0.23433024088541668,0.2,1330,0.002144009806215763,-0.007280593736092366,0.0003,-3.254624164601167,0.11523636311404213
16588800,135,439.12,1454.4415,17362,955,0.02496741,0.865443155169487,0.23263834635416666,0.2,1340,0.03243441879749298,-0.00680619129868622,0.0003,-3.2332161934673787,0.11462592129566473
16711680,136,436.64,1441.9117,17491,955,0.024483938,0.8342854529619217,0.23045735677083334,0.2,1350,0.009796608239412308,-0.00695901056501801,0.0003,-3.2556267833461363,0.11216557728296417
16834560,137,443.14,1445.9817,17620,955,0.02483513,0.7891429215669632,0.23203043619791666,0.2,1360,0.0340191125869751,-0.007072282648581071,0.0003,-3.272392703431348,0.12654690767483165
16957440,138,445.54,1469.271,17747,955,0.026216092,0.8179213255643845,0.23819580078125,0.2,1370,0.013157237321138382,-0.006960276343643272,0.0003,-3.2253739728902775,0.12658395295657102
17080320,139,435.66,1426.6852,17875,955,0.025431812,0.822825014591217,0.23221761067708332,0.2,1380,0.03790872171521187,-0.006992353717450896,0.0003,-3.2712940701469777,0.12033214122736051
17203200,140,437.34,1421.6316,18004,955,0.025639629,0.8130455613136292,0.23560953776041665,0.2,1390,0.022013377398252487,-0.006626443491829074,0.0003,-3.2413204956675568,0.13405506395050906
17326080,141,433.74,1425.9067,18131,955,0.025836162,0.8425522297620773,0.23460530598958335,0.2,1400,0.03219475969672203,-0.00659359852544488,0.0003,-3.237960268743336,0.1481635208747078
17448960,142,433.14,1398.1752,18258,955,0.027234143,0.8246202915906906,0.24067301432291666,0.2,1410,0.03982076048851013,-0.007100386819383857,0.0003,-3.1743034135922787,0.13497787551115228
17571840,143,430.88,1397.4419,18387,955,0.02547609,0.83701591193676,0.23192545572916667,0.2,1420,0.13723048567771912,-0.006631039298875597,0.0003,-3.1995229408641657,0.13543613507873184
