time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
3317760,27,450.0,1130.8153,3365,985,0.020616774,0.787506029009819,0.2279736328125,0.2,260,0.03652083873748779,-0.01014590387694625,0.0003,-3.996372898084422,0.12277439182692129
3440640,28,445.44,1112.7206,3493,984,0.021384168,0.8003835827112198,0.23237467447916665,0.2,270,0.04385111480951309,-0.010049250643965025,0.0003,-3.969035353474319,0.11988778973628844
3563520,29,439.74,1128.3556,3619,984,0.021110676,0.8152200430631638,0.23196207682291667,0.2,280,0.04627459868788719,-0.009733445890403042,0.0003,-3.9592674434060853,0.1100916668936649
3686400,30,442.8,1115.9532,3746,983,0.021070361,0.7818361520767212,0.22943440755208333,0.2,290,0.03965618833899498,-0.009282083293170823,0.0003,-3.96212232782195,0.10539828055538238
3809280,31,450.0,1147.8582,3872,983,0.021738285,0.7971821427345276,0.23511311848958333,0.2,300,0.021694917231798172,-0.009591599616651365,0.0003,-3.948967184126377,0.11259176849125652
3932160,32,448.08,1159.3942,4000,982,0.021272922,0.817240759730339,0.2324560546875,0.2,310,0.08169971406459808,-0.009065653240977554,0.0003,-3.9377626925582687,0.11458360047225141
4055040,33,443.34,1135.3715,4128,982,0.02109371,0.8007888197898865,0.230244140625,0.2,320,0.03579031676054001,-0.00901894724229957,0.0003,-3.9185198891038695,0.09973433587544908
4177920,34,447.32,1156.6956,4255,981,0.021994332,0.8376930207014084,0.23373779296875,0.2,330,-0.003346862271428108,-0.009330273292792603,0.0003,-3.920551673807204,0.10712049449745488
4300800,35,430.04,1169.9092,4381,981,0.021884117,0.8354865461587906,0.23629557291666667,0.2,340,0.04854852706193924,-0.009357925786613729,0.0003,-3.908382150530815,0.11822541552101029
4423680,36,444.6,1188.3784,4508,981,0.022735175,0.8572386801242828,0.2413037109375,0.2,350,0.014173589646816254,-0.010191212538908681,0.0003,-3.9048403671632212,0.11945666757708144
4546560,37,432.1,1163.962,4636,980,0.022183899,0.8329105228185654,0.23590576171875,0.2,360,0.026389341801404953,-0.009010856121767575,0.0003,-3.885290122317771,0.12686380595521768
4669440,38,439.68,1182.3827,4762,980,0.022216737,0.8140318095684052,0.23930419921875,0.2,370,-0.013500962406396866,-0.008852253988861776,0.0003,-3.874573574413856,0.12097390501929718
4792320,39,419.6,1154.3925,4889,980,0.022025902,0.8172490149736404,0.23754801432291667,0.2,380,0.047533515840768814,-0.008915478066671008,0.0003,-3.860151263040801,0.10196817077715727
4915200,40,444.4,1192.4056,5017,979,0.022686327,0.8497770875692368,0.23882161458333334,0.2,390,0.007992835715413094,-0.007957999835371083,0.0003,-3.8259250085180003,0.10273815394932172
5038080,41,446.88,1224.7819,5146,979,0.023769297,0.8002392798662186,0.24552652994791666,0.2,400,0.011887045577168465,-0.008449261093410314,0.0003,-3.8483136105537414,0.11238315176218748
5160960,42,432.8,1198.5413,5272,978,0.02279837,0.8057241439819336,0.23953206380208333,0.2,410,0.033156462013721466,-0.008870316708992809,0.0003,-3.863747523923715,0.12597146069184723
5283840,43,444.36,1251.6637,5400,978,0.022886908,0.8269504755735397,0.24135986328125,0.2,420,0.038956835865974426,-0.00890584959789218,0.0003,-3.8395125881582497,0.1231778526735919
5406720,44,436.08,1223.0712,5528,977,0.022749195,0.8407591432332993,0.24056396484375,0.2,430,0.05237726494669914,-0.008651372306782529,0.0003,-3.828574667510887,0.10382319375503964
5529600,45,441.28,1256.2804,5656,977,0.022785218,0.8282084465026855,0.24091227213541666,0.2,440,0.12850463390350342,-0.009041867948963046,0.0003,-3.824805921042959,0.11184338925222012
5652480,46,448.56,1274.5568,5785,977,0.023658013,0.8332881331443787,0.24203287760416667,0.2,450,0.04973112791776657,-0.009175954317203529,0.0003,-3.7903884434575836,0.10825701423862483
5775360,47,434.5,1247.4186,5914,976,0.023538372,0.8006761372089386,0.24713134765625,0.2,460,0.14123809337615967,-0.00913537111591116,0.0003,-3.79093604794393,0.1239693890918473
5898240,48,445.18,1271.7347,6073,971,0.023313796,0.8368275016546249,0.24489664713541667,0.2,470,0.018656276166439056,-0.008610275134421197,0.0003,-3.785046457350254,0.13117073135557197
6021120,49,446.08,1260.6008,6200,971,0.0237601,0.8098803907632828,0.24589518229166665,0.2,480,0.09960892796516418,-0.0086727356348941,0.0003,-3.7652674026787283,0.1334569646634433
6144000,50,446.06,1264.3739,6327,970,0.023725208,0.8431217074394226,0.24937337239583332,0.2,490,0.07395046204328537,-0.008991890388764053,0.0003,-3.76744207367301,0.1380109255538749
6266880,51,433.72,1255.0317,6455,970,0.024461174,0.8456776738166809,0.24974609375,0.2,500,0.03532663360238075,-0.009069281045655467,0.0003,-3.7636870274444423,0.13244268365970735
6389760,52,447.2,1310.351,6612,966,0.02441212,0.8338903188705444,0.24728271484375,0.2,510,0.08593645691871643,-0.00872610706712294,0.0003,-3.7623686954503257,0.1544268020892438
6512640,53,441.46,1280.8727,6742,965,0.023861999,0.848714292049408,0.2465087890625,0.2,520,0.031269773840904236,-0.00900139329067315,0.0003,-3.735173969976604,0.11801284778387829
6635520,54,442.68,1275.0983,6878,964,0.023853144,0.8563539683818817,0.24318684895833334,0.2,530,-0.0045568738132715225,-0.008570309043164647,0.0003,-3.7394355347007515,0.11494450552224104
6758400,55,443.94,1276.3882,7007,964,0.023601336,0.8384092748165131,0.24552490234375,0.2,540,0.005295054987072945,-0.008331633525070476,0.0003,-3.7255420494824647,0.12344493890239391
6881280,56,437.3,1276.651,7136,964,0.024526179,0.8301277458667755,0.24919759114583334,0.2,550,0.06441399455070496,-0.008759698765469087,0.0003,-3.6998117191841207,0.11854832519971145
7004160,57,436.9,1271.2441,7266,963,0.024565734,0.835032045841217,0.25305582682291666,0.2,560,0.003989559598267078,-0.008744564515285068,0.0003,-3.713429026355346,0.13635185980111905
7127040,58,439.92,1283.7933,7395,963,0.023748346,0.8297944962978363,0.24590901692708333,0.2,570,0.040795180946588516,-0.008158873750447432,0.0003,-3.695318766509493,0.1139724664768437
7249920,59,436.02,1274.6375,7522,963,0.024454704,0.8500453680753708,0.24616048177083333,0.2,580,0.04649011045694351,-0.008653878227899743,0.0003,-3.693045201425751,0.11312028051965171
7372800,60,429.64,1250.5203,7650,963,0.024735857,0.890434093773365,0.2486376953125,0.2,590,0.07364952564239502,-0.008297775214432477,0.0003,-3.680190712896486,0.12703915276069894
7495680,61,429.46,1259.5173,7777,963,0.025560642,0.8712709695100784,0.25354085286458333,0.2,600,-0.003095446154475212,-0.008434964300792368,0.0003,-3.6742048673331738,0.13077275580435527
7618560,62,437.1,1279.9952,7907,963,0.025175083,0.8786431476473808,0.2535734049479167,0.2,610,0.04056983441114426,-0.008828488463735388,0.0003,-3.663534610370795,0.13696221888977259
7741440,63,444.24,1298.8448,8033,963,0.025110958,0.8275163322687149,0.2500227864583333,0.2,620,0.019056571647524834,-0.00861506505924505,0.0003,-3.666953551992774,0.10752918881257453
7864320,64,421.42,1237.0532,8160,963,0.025271552,0.8632892966270447,0.2510148111979167,0.2,630,0.04107268154621124,-0.009080121985692434,0.0003,-3.6632718417048453,0.10369179761289464
7987200,65,445.22,1309.9432,8290,963,0.025849478,0.8953339233994484,0.25809895833333335,0.2,640,-0.010584190487861633,-0.008395233254444369,0.0003,-3.6487885969753067,0.13537575341033517
8110080,66,437.92,1300.4536,8419,963,0.02541229,0.8232064098119736,0.2555013020833333,0.2,650,0.09085555374622345,-0.00887210941682497,0.0003,-3.6388992739344634,0.09931989486503881
8232960,67,437.82,1291.0585,8548,963,0.025877722,0.8609828501939774,0.2578352864583333,0.2,660,0.021176140755414963,-0.009041899654269703,0.0003,-3.6390660743415357,0.1029431617577696
8355840,68,421.12,1252.0767,8678,962,0.025711095,0.8115635514259338,0.2587101236979167,0.2,670,0.015001144260168076,-0.008918145946960674,0.0003,-3.627295888302227,0.1144212661459945
8478720,69,440.08,1344.3359,8807,962,0.025297483,0.8686866760253906,0.25695556640625,0.2,680,0.03577708080410957,-0.007898197345493827,0.0003,-3.6038715759664774,0.106558240284794
8601600,70,439.7,1323.749,8939,962,0.025979701,0.8375864624977112,0.26014322916666666,0.2,690,0.0803646594285965,-0.008564765868613903,0.0003,-3.6205234540129703,0.10678746510757871
8724480,71,440.86,1305.304,9066,962,0.025910439,0.8248996734619141,0.2566219075520833,0.2,700,0.0862821564078331,-0.009087639373622855,0.0003,-3.6118849242975313,0.11073886978197454
