time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss
966,1618.3951,16903,16343040,133,445.53333333333336,-2.8936057017122705,-0.007150774983383599,0.8929727450013161,0.2,0.08513608544128753,1320,0.26458170572916667,0.0003,0.02856302,0.019270263612270355
966,1526.1022,17031,16465920,134,422.3333333333333,-2.882429445659121,-0.006680568280935404,0.8881034478545189,0.2,0.0972943354928672,1330,0.26935221354166666,0.0003,0.028875967,0.07609836757183075
966,1638.4187,17160,16588800,135,437.6666666666667,-2.839117998232444,-0.0061429665080807655,0.9092386811971664,0.2,0.09570461540681814,1340,0.26669189453125,0.0003,0.028706055,0.04471477493643761
966,1485.0219,17287,16711680,136,403.73333333333335,-2.83936128385365,-0.007162078579931404,0.9135467857122421,0.2,0.09152088956495087,1350,0.26493001302083335,0.0003,0.029602533,-0.01359255239367485
966,1464.1953,17414,16834560,137,404.0,-2.831694932046036,-0.006761861671147926,0.877854585647583,0.2,0.10010330736389733,1360,0.2697607421875,0.0003,0.030032627,0.014719421043992043
966,1632.5045,17541,16957440,138,450.0,-2.8428269559765855,-0.006379914233345213,0.886417418718338,0.2,0.08561081936767247,1370,0.2678304036458333,0.0003,0.029897539,0.03552228957414627
966,1643.343,17668,17080320,139,444.1333333333333,-2.8369008408735197,-0.006968663714775782,0.8781107068061829,0.2,0.09029853251583214,1380,0.26890625,0.0003,0.030056179,0.08018727600574493
965,1580.3787,17823,17203200,140,434.53333333333336,-2.8179139532893895,-0.006525597935821376,0.9060947969555855,0.2,0.09201411859098395,1390,0.26698404947916665,0.0003,0.029511707,0.06540210545063019
965,1580.7325,17950,17326080,141,432.4,-2.8059147966404754,-0.006611430101359777,0.8915415853261948,0.2,0.09432804891747461,1400,0.27071044921875,0.0003,0.030495433,0.048313796520233154
965,1616.9667,18078,17448960,142,443.4,-2.8192123414948584,-0.005781511942453411,0.8855765610933304,0.2,0.08462287956790533,1410,0.26496744791666665,0.0003,0.028940072,-0.0021121185272932053
965,1597.0027,18206,17571840,143,439.53333333333336,-2.79526769892623,-0.006572769241138303,0.9015989601612091,0.2,0.09844861586456924,1420,0.270107421875,0.0003,0.029636526,-0.005547684617340565
965,1518.728,18333,17694720,144,417.26666666666665,-2.794684845022857,-0.006098293401131135,0.8775727450847626,0.2,0.10408332656748825,1430,0.2720670572916667,0.0003,0.03070942,0.0031429193913936615
965,1547.8027,18461,17817600,145,425.26666666666665,-2.782081439482669,-0.006329814865166554,0.8778218328952789,0.2,0.11526157378602268,1440,0.27057373046875,0.0003,0.03054357,0.010364236310124397
965,1445.2032,18590,17940480,146,395.6,-2.7336430564771095,-0.006715740490144526,0.8742388784885406,0.2,0.0995279753037903,1450,0.27013753255208334,0.0003,0.030121496,0.06385000050067902
965,1486.4423,18717,18063360,147,401.26666666666665,-2.740122014172375,-0.0065899225880821175,0.8941474035382271,0.2,0.10458712498880535,1460,0.27282470703125,0.0003,0.030744553,0.017200209200382233
965,1644.5742,18845,18186240,148,450.0,-2.7291853372504313,-0.006601310247660876,0.8869930356740952,0.2,0.09912072822543753,1470,0.26925048828125,0.0003,0.03007791,-0.010088933631777763
