rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss
1412.823,979,6389760,6523,52,432.24,0.8321631103754044,510,0.2,0.10700256589276251,0.02579968,-0.008528529816382312,0.26321858723958336,-3.569059240544836,0.0003,0.02608802355825901
1382.6165,979,6512640,6649,53,423.76,0.814715251326561,520,0.2,0.10295414301275742,0.026587896,-0.008580078204637782,0.2699503580729167,-3.5314614331225553,0.0003,0.0030439943075180054
1426.2601,979,6635520,6775,54,439.84,0.8586138039827347,530,0.2,0.10429468718362235,0.025750779,-0.009062572345865192,0.2693912760416667,-3.533484229867657,0.0003,0.025379041209816933
1469.1311,979,6758400,6901,55,441.96,0.8393955379724503,540,0.2,0.09675477083656006,0.02607849,-0.009076752379078243,0.2702303059895833,-3.527115449284514,0.0003,-0.0014179088175296783
1374.4231,979,6881280,7027,56,421.88,0.8380058705806732,550,0.2,0.10843442570631548,0.026170796,-0.008482187730651276,0.2681803385416667,-3.5362926714370646,0.0003,0.05074387043714523
1406.697,978,7004160,7154,57,431.68,0.8132164925336838,560,0.2,0.10770089534358704,0.026796047,-0.008592176510683202,0.27522623697916665,-3.5191863896573583,0.0003,-0.0023834221065044403
1488.1349,978,7127040,7282,58,441.76,0.8269565254449844,570,0.2,0.10752477483348533,0.02637325,-0.008191277008324201,0.26965983072916666,-3.5164991514136394,0.0003,0.03089294582605362
1466.4135,978,7249920,7409,59,436.06,0.7726388573646545,580,0.2,0.11411128031657426,0.027135698,-0.009405369242328258,0.27807047526041667,-3.5157375653957326,0.0003,0.052541691809892654
1417.8059,978,7372800,7536,60,425.92,0.8122486770153046,590,0.2,0.11831695752431794,0.027452739,-0.009542563260559593,0.27474853515625,-3.5212373170504967,0.0003,0.05834750831127167
1427.9604,977,7495680,7664,61,431.98,0.7979792952537537,600,0.2,0.11892761264753063,0.026797539,-0.008817682189019252,0.2746834309895833,-3.5134143073360127,0.0003,0.03499070554971695
1433.5914,977,7618560,7790,62,431.72,0.8217783868312836,610,0.2,0.10629950186383212,0.027350111,-0.008819860061763999,0.2717366536458333,-3.4775265369067587,0.0003,0.005489818751811981
1428.6462,977,7741440,7916,63,425.92,0.8103402107954025,620,0.2,0.1006339766609987,0.027270077,-0.00905106939519707,0.2747623697916667,-3.46374266376098,0.0003,-0.003451686352491379
1422.9524,977,7864320,8043,64,425.86,0.798041433095932,630,0.2,0.11141746589797549,0.026975144,-0.008602573903784409,0.2727360026041667,-3.455547023291389,0.0003,0.009166693314909935
1423.756,977,7987200,8168,65,428.14,0.8126142919063568,640,0.2,0.09586433991450273,0.027296614,-0.008468661747623021,0.27387858072916665,-3.4388309352844955,0.0003,0.008340906351804733
