time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
37,272,6062080,450.0,22260,574.1666,-9.313339432992507e-11,0.0,0.7764967083930969,0.08597201529721132,0.009096885100007057,0.2,0.0003,360,-2.4719201077571076e-17,0.0
38,271,6225920,450.0,22892,558.25775,-8.477627488900908e-11,0.0,0.748854011297226,0.10524663310001416,0.03360787406563759,0.2,0.0003,370,-3.095332595256671e-17,0.0
39,271,6389760,450.0,23521,573.3293,1.3508781648852163e-10,0.0,0.7802073955535889,0.08704473367059108,0.01671871542930603,0.2,0.0003,380,-2.539988204535957e-17,0.0
40,271,6553600,450.0,24155,565.2355,4.201069714326877e-11,0.0,0.7509202361106873,0.10868011384902275,0.020202619954943657,0.2,0.0003,390,-2.478137276789123e-17,0.0
41,270,6717440,450.0,24790,580.16614,1.9304025045130402e-12,0.0,0.7267492413520813,0.11482039857368363,0.08818183839321136,0.2,0.0003,400,-2.3128509920412088e-17,0.0
42,270,6881280,450.0,25424,572.4193,-7.848257155274041e-11,0.0,0.7548792362213135,0.08969252531912389,0.08669420331716537,0.2,0.0003,410,-2.7320667515900258e-17,0.0
43,270,7045120,450.0,26060,567.8929,-2.8371687221806497e-11,0.0,0.7464324533939362,0.10940775705148553,0.015025319531559944,0.2,0.0003,420,-2.5066111511618617e-17,0.0
44,270,7208960,450.0,26696,548.8832,1.330590748693794e-10,0.0,0.7484022676944733,0.09291242138957387,0.07212595641613007,0.2,0.0003,430,-2.328686842503478e-17,0.0
45,269,7372800,450.0,27327,573.31866,-7.262656254169997e-11,0.0,0.7551374286413193,0.11502074087549773,0.054105326533317566,0.2,0.0003,440,-2.799693745208567e-17,0.0
46,269,7536640,450.0,27957,569.75525,3.39014150085859e-11,0.0,0.7542940080165863,0.10134199028057082,0.07904122769832611,0.2,0.0003,450,-2.920267336868171e-17,0.0
47,269,7700480,450.0,28588,576.08527,2.1801724869874307e-11,0.0,0.7161043882369995,0.11699208836991602,0.0934690609574318,0.2,0.0003,460,-3.27564182302736e-17,0.0
48,269,7864320,450.0,29218,590.9955,-1.0432813724037259e-10,0.0,0.770794689655304,0.09310522518748257,0.03331585228443146,0.2,0.0003,470,-2.8137261805451594e-17,0.0
49,268,8028160,450.0,29848,584.0046,3.999730324721895e-11,0.0,0.7146676480770111,0.11659169486936662,0.023026971146464348,0.2,0.0003,480,-3.851918386391871e-17,0.0
